radius,power_mean,power_std
0,104333541.83333333,123171168.35534503
1,17448880.70703125,20725509.0188418
2,15967.355803489685,12192.164792022231
3,1533.073612944285,938.0938252901697
4,214.02175175481372,109.36131714895176
5,41.98619889219602,26.44542904440049
6,21.039378045609705,16.641446161448293
7,17.089118576919038,13.546656177194482
8,6.725847658612544,4.21194521867405
9,4.351886887635503,3.078175786130435
10,1.8331682891037095,0.9435439179081903
11,1.037200346395063,0.5952699849193352
12,0.9642785299103708,0.5254883189145055
13,0.6400458788599623,0.3909859550693149
14,0.37880850000687083,0.2161881878065031
15,0.2778210201535734,0.1952901243181297
16,0.1919686437358147,0.1173423934074664
17,0.17990704386691755,0.1149739842753866
18,0.11693941070580978,0.08223754110992869
19,0.08698596491140052,0.04279918128196412
20,0.0668373149685106,0.035988988853727755
21,0.048674196156012095,0.031680952098499485
22,0.0412058647289443,0.02173282198282849
23,0.031315237309484344,0.02133369253928352
24,0.028841615033837895,0.020376864456211823
25,0.01726085360463676,0.01125097369034167
26,0.016383636851418432,0.012832019469514929
27,0.011074541337154917,0.005959022770502173
28,0.010360318138788486,0.0060733065532417125
29,0.009328629466864413,0.004029978777038058
30,0.008122718190756613,0.004795792354930919
31,0.008779784154162721,0.006515383348188692
32,0.0053985243057862444,0.002483578214207244
33,0.004922127428308625,0.0025079983587489685
34,0.004607613615128722,0.0029111579147458756
35,0.004052025934184619,0.002535284039488898
36,0.0038686254782734305,0.002533000889123178
37,0.0027260261986157275,0.0013869104622505767
38,0.002858122381145023,0.0015921314214482776
39,0.0024914710719821983,0.0014857777229089586
40,0.0019427237827905352,0.000978566566524756
41,0.0016795211604225117,0.0007562310604371958
42,0.0014803152164136423,0.00070127023658746
43,0.0013071007524186763,0.0005704863908827957
44,0.001321088270911778,0.0006156879132279626
45,0.0013193403601035267,0.0006493445277502693
46,0.0013394940954457,0.0007002855738165185
47,0.0011917283180691246,0.0006254112749355602
48,0.0011134174754574176,0.0006214718950794417
