step,test_mse,train_mse,recovery_slope
1,1.1489246970707674,0.9762267966094246,-0.05129431980826879
2,1.1481025977008184,0.9752222471748823,-0.05228386374976085
5,1.1459829016785166,0.9725897555138951,-0.054835297838322326
10,1.1429213678581154,0.9687304281510999,-0.05852040252808503
20,1.1375442689629163,0.9618658793357868,-0.06499270481786364
50,1.1238177341784896,0.9441031206254925,-0.08151504971936606
100,1.1043386346996629,0.918645860357908,-0.10496163729695306
200,1.0710985240118895,0.8750361674545982,-0.1449720683323667
400,1.0158275828456453,0.8028713426702969,-0.2115005525653584
800,0.9280223294116587,0.6905946424795872,-0.31718991293080945
1600,0.7992636660920435,0.5340222401801191,-0.4721740424167701
3200,0.6350934629907777,0.3540081902044492,-0.6697823070507731
6400,0.4708219896848101,0.2061673530674602,-0.8675124685273959
