task,sobolev,rank,weighted_risk
sparse,0.0,1,0.9064442813298529
sparse,0.0,2,0.4952460251738477
sparse,0.0,3,0.313606206594225
sparse,0.0,4,0.24951243004206863
sparse,0.0,5,0.26167701569381374
sparse,0.0,6,0.28572499586518385
sparse,0.0,7,0.29227443113035195
sparse,0.0,8,0.290332719153822
sparse,0.0,9,0.29661674868825316
sparse,0.0,10,0.3105456872625954
sparse,0.0,11,0.31762371081958735
sparse,0.0,12,0.3120085190612038
sparse,0.0,13,0.3050648722570168
sparse,0.0,14,0.30869870813991185
sparse,0.0,15,0.3186277670411459
sparse,0.0,16,0.32146436769533776
sparse,0.0,17,0.3143637368813075
sparse,0.0,18,0.30864373307974197
sparse,0.0,19,0.3129974956135507
sparse,0.0,20,0.3212204435378608
sparse,0.0,21,0.3217749850309349
sparse,0.0,22,0.31455018263782114
sparse,0.0,23,0.31054081053479404
sparse,0.0,24,0.3156391415785945
sparse,0.0,25,0.32240741341553786
sparse,0.0,26,0.3212858345445117
sparse,0.0,27,0.3143938150400472
sparse,0.0,28,0.3120380306474141
sparse,0.0,29,0.3176058467035509
sparse,0.0,30,0.32296080619690226
sparse,0.0,31,0.3205577242279421
sparse,0.0,32,0.3142678042290225
sparse,0.0,33,0.3134094321368611
sparse,0.0,34,0.31915652789077287
sparse,0.0,35,0.32312868187880794
sparse,0.0,36,0.31977478071350496
sparse,0.0,37,0.3142721773182161
sparse,0.0,38,0.314722109864449
sparse,0.0,39,0.3203861437641605
sparse,0.0,40,0.3230290011227205
sparse,0.0,41,0.3190213407088815
sparse,0.0,42,0.3144319719404608
sparse,0.0,43,0.3159846288167165
sparse,0.0,44,0.3213401270324544
sparse,0.0,45,0.3227361163595093
sparse,0.0,46,0.31834535404702285
sparse,0.0,47,0.3147450340579239
sparse,0.0,48,0.31718597617618766
sparse,0.0,49,0.32204683292314007
sparse,0.0,50,0.3223061326347175
