task,label,rank,target_rank,test_mse,recovery_slope,high_low_ratio,full_mse,full_recovery_slope
narrow,narrow spectrum,1,4.0,0.030487403151282275,-0.3120689655172414,0.3091959367476876,0.021,-0.88
narrow,narrow spectrum,2,4.0,0.017576325771840342,-0.2833333333333333,0.4413508970115233,0.021,-0.88
narrow,narrow spectrum,3,4.0,0.010563571593313508,-0.25952380952380955,0.48603007532532255,0.021,-0.88
narrow,narrow spectrum,4,4.0,0.007228046347475357,-0.25,0.4920258921538648,0.021,-0.88
narrow,narrow spectrum,5,4.0,0.007972456099612954,-0.27152380952380956,0.48159050260354114,0.021,-0.88
narrow,narrow spectrum,6,4.0,0.010639547903462577,-0.30603871685474765,0.4640280214978886,0.021,-0.88
narrow,narrow spectrum,7,4.0,0.013298603634317872,-0.3450400172202744,0.443403905990934,0.021,-0.88
narrow,narrow spectrum,8,4.0,0.015472552996566665,-0.3818500922934316,0.4215590590290794,0.021,-0.88
narrow,narrow spectrum,9,4.0,0.017257733077779107,-0.4138624698035645,0.39937637514993357,0.021,-0.88
narrow,narrow spectrum,10,4.0,0.0187419419751179,-0.44095645973990727,0.37731522616058993,0.021,-0.88
narrow,narrow spectrum,11,4.0,0.01993514571584647,-0.4639194753618476,0.35563852957365233,0.021,-0.88
narrow,narrow spectrum,12,4.0,0.020854332948143584,-0.483668502367755,0.3345107487909787,0.021,-0.88
narrow,narrow spectrum,13,4.0,0.021583635126450163,-0.5009868938043001,0.3140415302411639,0.021,-0.88
narrow,narrow spectrum,14,4.0,0.022256995009990316,-0.5164783191989871,0.29430622594698624,0.021,-0.88
narrow,narrow spectrum,15,4.0,0.022987311960356978,-0.5305900570628601,0.2753563942700277,0.021,-0.88
narrow,narrow spectrum,16,4.0,0.023803441412897176,-0.5436494276538689,0.2572257990252565,0.021,-0.88
narrow,narrow spectrum,17,4.0,0.02464519834081055,-0.5558960605119807,0.23993426554137803,0.021,-0.88
narrow,narrow spectrum,18,4.0,0.025419828441393087,-0.5675065767890701,0.22349042596770344,0.021,-0.88
narrow,narrow spectrum,19,4.0,0.026077134169298195,-0.5786124506255985,0.20789382406722232,0.021,-0.88
narrow,narrow spectrum,20,4.0,0.026648142670744425,-0.5893126628740191,0.19313660713836056,0.021,-0.88
