rank_label,step,test_mse,train_mse,excess_test_mse,recovery_slope
1,1,1.5484200665172192,1.314933793687241,0.9975733192241809,-0.05058358366410781
1,2,1.5472894089477074,1.313036596615183,0.9958366986525734,-0.05100121725087471
1,5,1.5444727050733504,1.3082343251495434,0.9915104145288605,-0.052041629638876465
1,10,1.5405378304304755,1.3014278082892694,0.985466688792815,-0.053495063335244564
1,20,1.5338370156454522,1.2896981929811964,0.9751746489073635,-0.05597015870310065
1,50,1.5173973071571363,1.2605789291182043,0.9499242665441459,-0.062042531635908824
1,100,1.495027089993779,1.2206801745453904,0.9155649871612758,-0.07030547019715863
1,200,1.4584860332441365,1.155565407550034,0.8594401686743618,-0.08380272436686839
1,400,1.4008897334023627,1.0542493765366623,0.7709757902004399,-0.10507720210092678
1,800,1.3154791443933882,0.9091002734059735,0.6397903721696382,-0.13662550779271615
1,1600,1.2013310022854653,0.7287312879955804,0.4644658378979708,-0.17878866956405326
1,3200,1.0734310548672967,0.5529862691700773,0.26801937542940013,-0.22603136728960332
1,6400,0.966848428197835,0.43937173289257725,0.10431500812916923,-0.26540003722406236
1,12800,0.91242746221345,0.4020816001526128,0.02072774740261634,-0.2855016345884998
1,25600,0.8998591459659215,0.3979880526109945,0.0014235857054983349,-0.2901440224657974
1,50000,0.899040839483497,0.3979116975417469,0.00016671721624230158,-0.29044628221317353
1,100000,0.8990322979841727,0.39791159912428925,0.00015359799797596492,-0.2904494372064229
2,1,1.5468450202442654,1.3137054893760103,0.9970198718250588,-0.050610800012230804
2,2,1.5445882780307625,1.3109017646392902,0.9948882001267493,-0.05104770239460069
2,5,1.5389701726028788,1.3038107842148041,0.9895814547363887,-0.05213536036065511
2,10,1.5311311727395351,1.2937749895174362,0.9821768987123293,-0.05365298062547757
2,20,1.5178071855921236,1.276520916158506,0.9695913379243777,-0.056232487355373145
2,50,1.4852546799608413,1.2339117622791025,0.9388429190096814,-0.06253461046776063
2,100,1.4412763494160918,1.176062423876884,0.8973019038240658,-0.0710487585493123
2,200,1.3702515693044046,1.08303209578322,0.8302133756187389,-0.08479906438948584
2,400,1.2604594501682875,0.9419263502830562,0.7265060262992026,-0.10605467707267055
2,800,1.1029658096104653,0.7484822198265677,0.5777408132269776,-0.13654524278997385
2,1600,0.9040316350478697,0.5255892820120379,0.389831734731288,-0.17505864245128516
2,3200,0.7013664018215037,0.33453341881487586,0.19839837592094678,-0.2142943702585449
2,6400,0.5572261378916635,0.23476755586631054,0.06224648432798558,-0.24219973948041318
2,12800,0.5004016994575929,0.21162934945808545,0.008571303149794311,-0.25320087748373954
2,25600,0.491720787083947,0.21017549760915588,0.0003714941012973982,-0.25488149092487483
2,50000,0.4914285633930095,0.21016472535565395,9.546568838436968e-05,-0.2549380650546056
2,100000,0.4914274965471178,0.21016472232076322,9.445796797210748e-05,-0.2549382715945944
3,1,1.5456850975649026,1.3127070043056719,0.9964964530862968,-0.05071806915363589
3,2,1.5426000595290739,1.3091673708986948,0.9939915122094956,-0.05123146909364451
3,5,1.5349249866191552,1.3002222675730892,0.9877596266893806,-0.05250872464957335
3,10,1.5242279819997906,1.2875797937746485,0.9790740403792006,-0.054288878237980724
