task,rank,rank_label,width,test_mse,train_mse,recovery_slope,high_low_ratio,approx_floor,opt_residual,gen_term,bound_proxy,final_step
dense,1,1,32768,1.2631748440997739,0.5342322731350785,-0.32517241379310347,0.3919147464737058,0.6907691883001457,0.560150848069289,0.001762914343888821,1.2526829507133237,1600
dense,2,2,32768,0.7342241099351999,0.2995982513156925,-0.2853846153846154,0.5360921243933001,0.48240392521425246,0.25077876152882533,0.002794153127047222,0.735976839870125,1600
dense,3,3,32768,0.5142519314938292,0.19794309501701934,-0.27,0.5830286856683283,0.4245829310049606,0.09678986112573529,0.003525828687777642,0.5248986208184735,1600
dense,4,4,32768,0.44269718184224555,0.15992874258787163,-0.2853846153846154,0.5822098083412078,0.4008233852739485,0.04164812586051654,0.004093360343955374,0.4465648714784204,1600
dense,5,5,32768,0.4553079338981363,0.16075995369610607,-0.32517241379310347,0.5644271843290279,0.38883907344222374,0.052775114346485026,0.005757067470936043,0.4473712552596448,1600
dense,6,6,32768,0.4754880061905036,0.17112459602856017,-0.3758823529411765,0.539887896757311,0.38197443478343934,0.07843715050829016,0.007349126260482232,0.4677607115522117,1600
dense,7,7,32768,0.4810154562518683,0.17928228076418165,-0.4410975609756098,0.5125916927662867,0.37768524139698134,0.09787721365995733,0.008888743031666462,0.48445119808860515,1600
dense,8,8,32768,0.48665080102178226,0.18447362641916001,-0.49799098974610423,0.4842672074376144,0.3748301343127695,0.11047374762040915,0.010388306254094443,0.49569218818727306,1600
dense,9,9,32768,0.5018311579187836,0.18770796911919882,-0.5463837044633262,0.45576299940583553,0.3728357951764991,0.11860030136721943,0.011856274687844195,0.5032923712315628,1600
dense,10,10,32768,0.5164511765573165,0.18976471957525035,-0.5870978986626323,0.427559074186472,0.3713888463668897,0.12399832220558471,0.013298681622198213,0.5086858501946726,1600
dense,11,11,32768,0.5181529252145335,0.19110900770913763,-0.6214909436272612,0.39996122064417755,0.37030636255103516,0.1277075155140308,0.014719981814824864,0.5127338598798908,1600
dense,12,12,32768,0.5114132360966571,0.19201079245183436,-0.6508966695455048,0.3731791211951846,0.3694757966723985,0.13033862931202028,0.016123558257806835,0.5159379842422256,1600
dense,13,13,32768,0.5111049867647833,0.192629723966302,-0.6764329816692697,0.34736088976366436,0.36882485020970485,0.1322589735658505,0.017512040604371053,0.5185958643799264,1600
dense,14,14,32768,0.5212771656784166,0.193062906983696,-0.6989771368778168,0.3226105812547874,0.3683053758575373,0.13369640952059358,0.018887513471002596,0.5208892988491335,1600
dense,15,15,32768,0.530251287625227,0.19337108787055207,-0.7191985132044951,0.2989985526612452,0.36788431494729473,0.13479666141912466,0.02025165737555528,0.5229326337419746,1600
dense,16,16,32768,0.5282508182631912,0.19359327274329305,-0.7376028434560651,0.27656847982207533,0.3675383651166427,0.13565558917778464,0.021605846872952778,0.52479980116738,1600
dense,17,17,32768,0.5213720250696082,0.19375511401584025,-0.754572049184187,0.25534258006942856,0.3672507221726691,0.13633790198498613,0.022951220597983265,0.5265398447556385,1600
dense,18,18,32768,0.5221951050749476,0.19387385589556935,-0.7703958855427746,0.23532572917780917,0.36700902325285417,0.13688832856482006,0.02428873234524967,0.5281860841629239,1600
dense,19,19,32768,0.5315622695522684,0.19396132597624666,-0.7852957994348153,0.21650881469639371,0.3668040107678252,0.13733846619781603,0.025619189031733013,0.5297616659973743,1600
dense,20,20,32768,0.5379496319820789,0.19402578774204557,-0.7994425131506876,0.19887151797590452,0.3666286424234416,0.1377110852187277,0.026943279387529454,0.5312830070296988,1600
dense,21,21,32768,0.5345287548159525,0.19407311284181902,-0.8129688761721623,0.18238464596456258,0.3664774849789881,0.13802289699060877,0.02826159596608703,0.5327619779356838,1600
dense,22,22,32768,0.5287494891068029,0.1941075380913383,-0.8259792522299525,0.1670120961750758,0.36634629293661525,0.13828637230032367,0.02957465225780268,0.5342073174947416,1600
dense,23,23,32768,0.5310733119063041,0.19413216370277606,-0.8385564004411791,0.15271251618926146,0.36623171042854585,0.13851096011799216,0.03088289615871368,0.5356255667052516,1600
dense,24,24,32768,0.5398710146484823,0.19414928712031307,-0.8507665499482095,0.13944070504467873,0.36613105681081126,0.13870391994758718,0.032186720687910744,0.5370216974463091,1600
dense,25,25,32768,0.5442635981945779,0.19416063049363683,-0.8626631699581014,0.12714879432021578,0.36604217015707513,0.1388709003614536,0.033486472601695655,0.5383995431202244,1600
dense,26,26,32768,0.5401002602466208,0.19416749813317352,-0.8742897932158389,0.11578723992906194,0.3659632914595416,0.13901634777002633,0.03478245938114166,0.5397620986107096,1600
dense,27,27,32768,0.5356506545572304,0.194170887109996,-0.885682148299378,0.10530565056220786,0.3658929778786956,0.13914379968961124,0.03607495494825987,0.5411117325165667,1600
dense,28,28,32768,0.539258400541292,0.19417156601144714,-0.8968697835165355,0.09565347482834612,0.3658300370079107,0.13925609815426135,0.037364204378649686,0.5424503395408218,1600
dense,29,29,32768,0.5473622110542364,0.19417013173676895,-0.9078773139215688,0.08678056604909129,0.36577347653371195,0.13935554707816153,0.03865042781489142,0.5437794514267649,1600
dense,30,30,32768,0.5500581049340986,0.19416705094055026,-0.9187253867053724,0.07863764116054225,0.3657224653072119,0.13944402971862777,0.039933823738022095,0.5451003187638618,1600
dense,31,31,32768,0.5455642077467001,0.19416269060528557,-0.9294314344477391,0.07117664808951576,0.36567630296534215,0.139523097359082,0.0412145717194441,0.5464139720438682,1600
dense,32,32,32768,0.5424907929010706,0.19415734082364902,-0.9400102673079962,0.06435105421064675,0.3656343960226972,0.13959403697513081,0.04249283474924544,0.5477212677470735,1600
dense,33,33,32768,0.5470933401998165,0.19415123193542289,-0.9504745419857593,0.05811606697643126,0.3655962389065388,0.13965792337517038,0.0437687612168416,0.5490229234985508,1600
dense,34,34,32768,0.5543578902157519,0.19414454753058194,-0.9608351356885705,0.05242879649501648,0.3655613988012911,0.13971565974810193,0.045042486604437604,0.5503195451538307,1600
dense,35,35,32768,0.5556014084456481,0.1941374343957408,-0.9711014463412146,0.04724836867338003,0.36552950345303836,0.1397680094671246,0.04631413494187209,0.551611647862035,1600
dense,36,36,32768,0.5510932528400339,0.19413001017982895,-0.9812816351239932,0.04253599651960501,0.36550023129174264,0.13981562123604432,0.04758382006208717,0.5528996725898742,1600
dense,37,37,32768,0.54937209781489,0.19412236934339344,-0.9913828236151989,0.0382550162871684,0.36547330338145995,0.13985904912173291,0.04885164668913849,0.5541839991923313,1600
dense,38,38,32768,0.5546805367531403,0.1941145878059453,-1.0014112549695429,0.03437089433117741,0.3654484768221781,0.13989876862576103,0.050117711384854054,0.5554649568327933,1600
dense,39,39,32768,0.5609912561390871,0.19410672659831787,-1.0113724264282307,0.03085120981928885,0.36542553931184557,0.13993518966424778,0.05138210337562184,0.5567428323517152,1600
dense,40,40,32768,0.561016090242693,0.19409883474929662,-1.0212711988406924,0.02766561778897664,0.36540430464133095,0.13996866711650813,0.052644905277071524,0.5580178770349106,1600
dense,41,41,32768,0.5567503619019288,0.1940909515790757,-1.0311118876476866,0.024785796459903035,0.3653846089439106,0.13999950944865278,0.05390619373141827,0.5592903121239816,1600
dense,42,42,32768,0.5563130332099264,0.19408310853037034,-1.0408983388326425,0.02218538218866989,0.3653663075583399,0.14002798580291062,0.055166039969802676,0.5605603333310532,1600
dense,43,43,32768,0.5620544808612927,0.19407533063706464,-1.0506339926209671,0.01983989498735332,0.3653492723934932,0.14005433185652638,0.05642451030997585,0.5618281145599955,1600
dense,44,44,32768,0.5673373512534325,0.19406763770714136,-1.0603219371429338,0.017726657111832165,0.365333389705035,0.14007875468810219,0.05768166659804981,0.563093810991187,1600
dense,45,45,32768,0.5663755144287266,0.1940600452792329,-1.0699649538355192,0.015824706856411946,0.36531855821216247,0.14010143683879958,0.0589375666016915,0.5643575616526535,1600
dense,46,46,32768,0.5625598820311819,0.19405256539893853,-1.0795655560131192,0.014114709363463814,0.3653046874962906,0.14012253971696578,0.06019226436102743,0.5656194915742838,1600
dense,47,47,32768,0.5633036656309076,0.1940452072509908,-1.0891260217644911,0.012578865966934276,0.36529169663448513,0.140142206464636,0.0614458105026025,0.5668797136017235,1600
dense,48,48,32768,0.5692271451765443,0.19403797767563508,-1.0986484221171138,0.01120082333313821,0.3652795130291524,0.14016056438087612,0.06269825252096446,0.568138329930993,1600
dense,49,49,32768,0.5734494732384716,0.19403088159162768,-1.1081346452378507,0.00996558343799123,0.36526807140244505,0.14017772697850156,0.06394963503179957,0.5693954334127462,1600
dense,50,50,32768,0.5717313116116297,0.19402392234363589,-1.117586417300798,0.008859415223777974,0.3652573129294327,0.14019379573616433,0.0652,0.5706511086655971,1600
