variant,seed,n_context,method,mse,se,episodes,parameters
transformer,4,4,model,0.521040678024292,0.004997132811695337,5120,100865
transformer,4,4,exact_krr,0.5067724585533142,0.004896026104688644,5120,100865
transformer,4,4,nw,0.8295276761054993,0.009050258435308933,5120,100865
transformer,4,8,model,0.2627066671848297,0.0030782166868448257,5120,100865
transformer,4,8,exact_krr,0.23802193999290466,0.0029353522695600986,5120,100865
transformer,4,8,nw,0.4563285708427429,0.005222649779170752,5120,100865
transformer,4,12,model,0.13958506286144257,0.002028671558946371,5120,100865
transformer,4,12,exact_krr,0.11452273279428482,0.0018878800328820944,5120,100865
transformer,4,12,nw,0.33020275831222534,0.0037504713982343674,5120,100865
transformer,4,16,model,0.07832567393779755,0.0012717568315565586,5120,100865
transformer,4,16,exact_krr,0.05658448487520218,0.0011137031251564622,5120,100865
transformer,4,16,nw,0.25999850034713745,0.002569168573245406,5120,100865
transformer,4,24,model,0.033200494945049286,0.0004593457852024585,5120,100865
transformer,4,24,exact_krr,0.017173752188682556,0.00035374180879443884,5120,100865
transformer,4,24,nw,0.2109755575656891,0.0017788097029551864,5120,100865
