step,variant,seed,n_context,train_mse
1,transformer,4,9,1.1240710020065308
100,transformer,4,7,0.712299108505249
200,transformer,4,15,0.3097926080226898
300,transformer,4,7,0.4143906831741333
400,transformer,4,7,0.3784985840320587
500,transformer,4,8,0.3923482894897461
600,transformer,4,8,0.31289511919021606
700,transformer,4,9,0.28039050102233887
800,transformer,4,11,0.24981047213077545
900,transformer,4,14,0.16464835405349731
1000,transformer,4,6,0.3326897919178009
1100,transformer,4,14,0.12107489258050919
1200,transformer,4,11,0.19197237491607666
1300,transformer,4,13,0.12196385860443115
1400,transformer,4,15,0.11471913754940033
1500,transformer,4,11,0.19792072474956512
1600,transformer,4,7,0.29799768328666687
1700,transformer,4,15,0.10604365170001984
1800,transformer,4,9,0.2319258749485016
1900,transformer,4,10,0.19085267186164856
2000,transformer,4,16,0.080222949385643
2100,transformer,4,10,0.16708588600158691
2200,transformer,4,16,0.06164340302348137
2300,transformer,4,14,0.08860011398792267
2400,transformer,4,14,0.10087662935256958
2500,transformer,4,10,0.19584079086780548
2600,transformer,4,11,0.17760178446769714
2700,transformer,4,12,0.15842613577842712
2800,transformer,4,12,0.13549228012561798
2900,transformer,4,12,0.15295001864433289
3000,transformer,4,9,0.24589529633522034
3100,transformer,4,7,0.2874583899974823
3200,transformer,4,13,0.13723048567771912
3300,transformer,4,14,0.12400766462087631
3400,transformer,4,11,0.1820763498544693
3500,transformer,4,12,0.1276787519454956
3600,transformer,4,14,0.09558165073394775
3700,transformer,4,15,0.07773028314113617
3800,transformer,4,12,0.15520724654197693
3900,transformer,4,14,0.10131368041038513
4000,transformer,4,13,0.11565595120191574
4100,transformer,4,15,0.09629029035568237
4200,transformer,4,6,0.37794405221939087
4300,transformer,4,10,0.1646863967180252
4400,transformer,4,14,0.10830596089363098
4500,transformer,4,10,0.24692769348621368
4600,transformer,4,12,0.1455499827861786
4700,transformer,4,10,0.20166070759296417
4800,transformer,4,13,0.09659115970134735
4900,transformer,4,11,0.15497297048568726
5000,transformer,4,9,0.2198655903339386
