step,seed,loss,tau,selected
1,0,0.4319134056568146,1.2495977052722038,19 63 0 43 31 53 10 17
100,0,0.3164854645729065,1.2104047321570373,31 43 20 58 7 32 30 33
200,0,0.3302231729030609,1.1720636925025194,33 21 45 56 12 31 30 32
300,0,0.27394723892211914,1.1349371518356002,32 20 43 56 9 31 30 29
400,0,0.3280937671661377,1.098986639426112,33 44 21 56 11 39 38 37
500,0,0.2775998115539551,1.0641749031509808,33 44 21 10 56 40 41 39
600,0,0.2737868130207062,1.0304658708933632,30 42 19 53 9 28 27 29
700,0,0.2988094985485077,0.9978246131645195,31 42 20 10 52 28 29 27
800,0,0.26412639021873474,0.9662173069096798,30 41 18 8 52 27 26 28
900,0,0.29913419485092163,0.9356112004604039,32 21 43 9 54 33 31 34
1000,0,0.2792959213256836,0.9059745795971195,33 21 44 9 63 0 32 31
1100,0,0.2905101776123047,0.8772767346866686,28 41 17 52 6 24 25 23
1200,0,0.2709988057613373,0.8494879288608139,30 41 20 9 53 29 28 27
1300,0,0.2573161721229553,0.822579367202728,31 42 20 9 53 0 30 32
1400,0,0.2644523084163666,0.7965231669095385,30 42 19 8 52 0 63 15
1500,0,0.2766858637332916,0.7712923284000122,32 43 22 11 54 0 40 41
1600,0,0.2913791537284851,0.7468607073374355,31 42 21 51 10 41 40 43
1700,0,0.30733758211135864,0.723202987538707,29 40 20 51 30 10 28 31
1800,0,0.2923157215118408,0.7002946547415665,28 39 19 50 26 25 24 27
1900,0,0.30104953050613403,0.6781119712027766,28 42 18 52 10 45 46 44
2000,0,0.28975316882133484,0.6566319511009417,30 42 21 52 27 26 25 28
2100,0,0.2865936756134033,0.6358323367184706,36 24 47 14 55 44 45 22
2200,0,0.3310432434082031,0.6156915753780029,29 41 19 52 44 43 45 46
2300,0,0.27029383182525635,0.5961887971094048,29 41 19 52 44 43 45 46
2400,0,0.3490407466888428,0.5773037930241883,27 41 16 51 44 45 46 43
2500,0,0.3251608610153198,0.5590169943749475,28 41 18 51 44 43 45 46
2600,0,0.27466294169425964,0.5413094522781122,28 40 18 51 10 44 45 43
2700,0,0.27215003967285156,0.5241628180790088,28 39 19 51 10 43 44 42
2800,0,0.2998736500740051,0.5075593243388804,29 39 20 51 11 45 44 46
2900,0,0.3083265721797943,0.4914817664241675,27 39 16 51 7 45 44 46
3000,0,0.2837739884853363,0.47591348467896966,27 36 17 51 44 45 43 46
3100,0,0.3096576929092407,0.4608383471622164,25 52 34 15 44 43 42 45
3200,0,0.3443859815597534,0.44624073293165945,26 51 36 15 44 45 43 46
3300,0,0.2922492027282715,0.43210551585736423,26 36 52 17 44 45 46 47
3400,0,0.29939234256744385,0.4184180489479291,26 35 17 54 44 24 25 23
3500,0,0.29755228757858276,0.40516414917319066,26 39 16 52 45 44 46 47
3600,0,0.31102579832077026,0.3923300827676878,28 41 16 52 44 43 45 46
3700,0,0.32522034645080566,0.3799025509996571,27 41 14 52 44 43 45 42
3800,0,0.2904159128665924,0.3678686763908121,28 41 15 53 43 44 45 42
3900,0,0.28896570205688477,0.3562159893726279,29 41 17 52 42 43 44 40
4000,0,0.3295236825942993,0.3449324153653037,32 20 43 10 53 41 42 40
4100,0,0.27935922145843506,0.3340062622660164,30 41 18 52 10 44 45 43
4200,0,0.3109470307826996,0.32342620833349656,28 38 18 50 10 44 45 43
4300,0,0.3052046298980713,0.31318129045637755,28 38 18 52 10 44 43 42
4400,0,0.28304508328437805,0.3032608927931576,27 38 17 52 44 43 42 45
4500,0,0.29394933581352234,0.29365473577200474,27 37 17 51 23 22 44 21
4600,0,0.3013938367366791,0.2843528654390072,28 37 19 51 11 44 45 43
4700,0,0.33453160524368286,0.2753456431438301,28 20 37 25 26 24 52 27
4800,0,0.29017674922943115,0.26662373555209185,27 37 17 51 44 45 46 43
4900,0,0.2986122667789459,0.25817810497411076,26 15 36 53 44 45 46 47
5000,0,0.3247373104095459,0.25,26 13 37 54 45 46 47 44
