seed,method,network_width,parameter_count,context_size,context_measurements,depth,batch_size,inference_ms,peak_memory_mib,matvec_proxy
17,identity-CG,0,0,8,64,32,8,7.833907351596281,190.24560546875,1622016
17,identity-CG,0,0,12,144,32,8,7.77630454977043,192.22412109375,3667968
17,identity-CG,0,0,16,256,32,8,7.8382313484326005,194.2275390625,6553600
17,identity-CG,0,0,24,576,32,8,7.98269429942593,199.41162109375,14893056
17,identity-CG,0,0,32,1024,32,8,8.021878550061956,204.31396484375,26738688
17,identity-CG,0,0,48,2304,32,8,11.539940250804648,212.248046875,61341696
17,exact,0,0,8,64,32,8,1.5094051515916362,189.35595703125,1622016
17,exact,0,0,12,144,32,8,1.5919412515359,190.92626953125,3667968
17,exact,0,0,16,256,32,8,1.6155892022652552,192.51220703125,6553600
17,exact,0,0,24,576,32,8,1.8037841509794816,196.83251953125,14893056
17,exact,0,0,32,1024,32,8,1.889325349475257,200.82470703125,26738688
17,exact,0,0,48,2304,32,8,4.014338849810883,205.90283203125,61341696
17,hybrid-PCG,128,182531,8,64,32,8,7.513261097483337,231.6494140625,1622016
17,hybrid-PCG,128,182531,12,144,32,8,7.607626551180147,233.6318359375,3667968
17,hybrid-PCG,128,182531,16,256,32,8,7.814490498276427,235.6416015625,6553600
17,hybrid-PCG,128,182531,24,576,32,8,7.980557851260528,240.84375,14893056
17,hybrid-PCG,128,182531,32,1024,32,8,8.290301449596882,245.77001953125,26738688
17,hybrid-PCG,128,182531,48,2304,32,8,12.784652298432775,253.7734375,61341696
