order,kind,coset_type,coefficient_per_pairing
1,moment,1,1
1,cumulant,1,1
2,moment,1+1,1
2,moment,2,1/r
2,cumulant,2,1/r
3,moment,1+1+1,1
3,moment,2+1,1/r
3,moment,3,r**(-2)
3,cumulant,3,r**(-2)
4,moment,1+1+1+1,1
4,moment,2+1+1,1/r
4,moment,3+1,r**(-2)
4,moment,2+2,r**(-2)
4,moment,4,r**(-3)
4,cumulant,4,r**(-3)
5,moment,1+1+1+1+1,1
5,moment,2+1+1+1,1/r
5,moment,3+1+1,r**(-2)
5,moment,2+2+1,r**(-2)
5,moment,4+1,r**(-3)
5,moment,3+2,r**(-3)
5,moment,5,r**(-4)
5,cumulant,5,r**(-4)
