tag,parameterization,seed,width,rank,rank_ratio,gamma,step,time,loss,relative_v_displacement,relative_latent_displacement,gate_flip_fraction,coefficient_1,recovery_1,coefficient_4,recovery_4,coefficient_8,recovery_8,coefficient_16,recovery_16,fourier_offdiag_ratio,lambda_1,amplification_1,lambda_4,amplification_4,lambda_8,amplification_8,lambda_16,amplification_16,fourier_matrix,coefficient_2,recovery_2,coefficient_6,recovery_6,coefficient_12,recovery_12,coefficient_24,recovery_24,coefficient_5,recovery_5,coefficient_9,recovery_9,coefficient_13,recovery_13,coefficient_21,recovery_21
hierarchy_muP_s0,muP,0,256,64,0.25,1.0,0,0.0,0.42875003814697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024141099224729314,0.08051888644695282,1.0,0.002443023258820176,1.0,0.0005013542249798775,1.0,0.00012401497224345803,1.0,"[[0.08051888644695282, 0.0013586148852482438, 5.072196654509753e-05, -0.00018932604871224612], [0.0013586148852482438, 0.002443023258820176, -8.437585347564891e-05, -2.2807318600825965e-05], [5.072196654509753e-05, -8.437585347564891e-05, 0.0005013542249798775, 1.5360035831690766e-05], [-0.00018932604871224612, -2.2807318600825965e-05, 1.5360035831690766e-05, 0.00012401497224345803]]",,,,,,,,,,,,,,,,
hierarchy_muP_s0,muP,0,256,64,0.25,1.0,50,250.0,0.1464879810810089,0.49854016304016113,3.981041193008423,0.3763885498046875,1.0123380422592163,1.0123380422592163,0.10171910375356674,0.15649092885164115,0.014383670873939991,0.03196371305319998,0.0012474637478590012,0.0041582124928633375,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy_muP_s0,muP,0,256,64,0.25,1.0,100,500.0,0.1291864514350891,0.6732685565948486,4.701518535614014,0.37652587890625,1.0210978984832764,1.0210978984832764,0.16252270340919495,0.2500349283218384,0.019312269985675812,0.04291615552372403,0.002076631411910057,0.0069221047063668575,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy_muP_s0,muP,0,256,64,0.25,1.0,150,750.0,0.11553573608398438,0.8510805368423462,5.3544111251831055,0.38153076171875,1.0252965688705444,1.0252965688705444,0.2162095010280609,0.33263000158163214,0.02453201822936535,0.05451559606525633,0.003932239953428507,0.013107466511428356,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy_muP_s0,muP,0,256,64,0.25,1.0,200,1000.0,0.10443603247404099,1.018006443977356,5.902891635894775,0.3778076171875,1.02325439453125,1.02325439453125,0.26387035846710205,0.40595439764169544,0.03048621118068695,0.06774713595708211,0.004307445138692856,0.01435815046230952,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy_muP_s0,muP,0,256,64,0.25,1.0,250,1250.0,0.09491688758134842,1.177191138267517,6.433287143707275,0.3767242431640625,1.0230679512023926,1.0230679512023926,0.3065681457519531,0.47164330115685094,0.03850246220827103,0.08556102712949117,0.0050285509787499905,0.0167618365958333,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy_muP_s0,muP,0,256,64,0.25,1.0,300,1500.0,0.08607377111911774,1.3284083604812622,6.910591125488281,0.3759613037109375,1.0198003053665161,1.0198003053665161,0.34866923093795776,0.5364142014430119,0.04782555624842644,0.10627901388539208,0.00534975528717041,0.017832517623901367,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy_muP_s0,muP,0,256,64,0.25,1.0,350,1750.0,0.07818847894668579,1.4702324867248535,7.37406587600708,0.3773193359375,1.0177054405212402,1.0177054405212402,0.38954681158065796,0.5993027870471661,0.05727728456258774,0.1272828545835283,0.005622635595500469,0.018742118651668232,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy_muP_s0,muP,0,256,64,0.25,1.0,400,2000.0,0.07162098586559296,1.600712537765503,7.803788185119629,0.3775177001953125,1.0156254768371582,1.0156254768371582,0.426239550113678,0.6557531540210431,0.06647270917892456,0.14771713150872123,0.0069944653660058975,0.023314884553352993,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy_muP_s0,muP,0,256,64,0.25,1.0,450,2250.0,0.0661727637052536,1.7198759317398071,8.205336570739746,0.3797760009765625,1.0139050483703613,1.0139050483703613,0.46003544330596924,0.7077468358553373,0.07526193559169769,0.16724874575932822,0.008686168119311333,0.028953893731037777,,,,,,,,,,,,,,,,,,,,,,,,,,
