grid_size,width,rank_ratio,gamma,dt,steps,record_every,seed,frequencies,amplitudes,bias_scale_1,bias_scale_2,rank,tag,final_loss,final_relative_latent_displacement,final_gate_flip_fraction,t20_1,t50_1,t90_1,t20_4,t50_4,t90_4,t20_8,t50_8,t90_8,t20_16,t50_16,t90_16,t20_2,t50_2,t90_2,t20_6,t50_6,t90_6,t20_12,t50_12,t90_12,t20_24,t50_24,t90_24,t20_5,t50_5,t90_5,t20_9,t50_9,t90_9,t20_13,t50_13,t90_13,t20_21,t50_21,t90_21
256,256,0.25,1.0,5.0,5000,50,0,"(1, 4, 8, 16)","(1.0, 0.65, 0.45, 0.3)",0.35,0.15,64,hierarchy_muP_s0,0.024904444813728333,15.665042877197266,0.399261474609375,250.0,250.0,250.0,500.0,1500.0,4000.0,2750.0,13500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,256,0.25,1.0,5.0,5000,50,1,"(1, 4, 8, 16)","(1.0, 0.65, 0.45, 0.3)",0.35,0.15,64,hierarchy_muP_s1,0.026499809697270393,15.54092788696289,0.401153564453125,250.0,250.0,250.0,500.0,1500.0,4500.0,3500.0,15500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,256,0.25,1.0,5.0,5000,50,2,"(1, 4, 8, 16)","(1.0, 0.65, 0.45, 0.3)",0.35,0.15,64,hierarchy_muP_s2,0.02483263611793518,17.379077911376953,0.4249267578125,250.0,250.0,250.0,500.0,1500.0,4500.0,3500.0,14500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,256,0.25,0.0001,5.0,5000,50,0,"(1, 4, 8, 16)","(1.0, 0.65, 0.45, 0.3)",0.35,0.15,64,hierarchy_lazy_s0,0.00460284948348999,0.002748690079897642,0.00103759765625,250.0,250.0,250.0,250.0,500.0,1250.0,750.0,1750.0,7000.0,2000.0,7000.0,,,,,,,,,,,,,,,,,,,,,,,,,
256,256,0.25,0.0001,5.0,5000,50,1,"(1, 4, 8, 16)","(1.0, 0.65, 0.45, 0.3)",0.35,0.15,64,hierarchy_lazy_s1,0.00448673777282238,0.002536277985200286,0.0010223388671875,250.0,250.0,250.0,250.0,500.0,1250.0,500.0,1250.0,5000.0,2000.0,7250.0,,,,,,,,,,,,,,,,,,,,,,,,,
256,256,0.25,0.0001,5.0,5000,50,2,"(1, 4, 8, 16)","(1.0, 0.65, 0.45, 0.3)",0.35,0.15,64,hierarchy_lazy_s2,0.0035813194699585438,0.0028470042161643505,0.0008697509765625,250.0,250.0,250.0,250.0,500.0,1500.0,750.0,2000.0,7500.0,1250.0,5500.0,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,0,"(1, 2)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q2_s0,3.1566321467835223e-07,4.541812419891357,0.3662109375,250.0,250.0,250.0,,,,,,,,,,250.0,250.0,250.0,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,1,"(1, 2)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q2_s1,4.336528149906371e-07,4.020114898681641,0.42803955078125,250.0,250.0,250.0,,,,,,,,,,250.0,250.0,250.0,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,2,"(1, 2)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q2_s2,3.7869847346883034e-07,4.7451910972595215,0.4305419921875,250.0,250.0,250.0,,,,,,,,,,250.0,250.0,250.0,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,0,"(1, 4)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q4_s0,7.650202860531863e-06,7.628048896789551,0.34716796875,250.0,250.0,250.0,500.0,1250.0,4750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,1,"(1, 4)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q4_s1,7.519587597926147e-06,7.648714065551758,0.38995361328125,250.0,250.0,250.0,500.0,1500.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,2,"(1, 4)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q4_s2,1.3725768440053798e-05,9.436379432678223,0.39166259765625,250.0,250.0,250.0,500.0,2000.0,6250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,0,"(1, 6)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q6_s0,0.002296694554388523,8.711469650268555,0.338134765625,250.0,250.0,250.0,,,,,,,,,,,,,2500.0,9500.0,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,1,"(1, 6)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q6_s1,0.0015171869890764356,9.397101402282715,0.41937255859375,250.0,250.0,250.0,,,,,,,,,,,,,2750.0,9250.0,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,2,"(1, 6)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q6_s2,0.0021506641060113907,10.589408874511719,0.42291259765625,250.0,250.0,250.0,,,,,,,,,,,,,3000.0,10500.0,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,0,"(1, 8)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q8_s0,0.02199339121580124,6.282362937927246,0.32952880859375,250.0,250.0,250.0,,,,9250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,1,"(1, 8)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q8_s1,0.02325955033302307,5.58341121673584,0.41156005859375,250.0,250.0,250.0,,,,9750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,2,"(1, 8)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q8_s2,0.02306796982884407,7.909732818603516,0.40460205078125,250.0,250.0,250.0,,,,10750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,0,"(1, 12)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q12_s0,0.051411062479019165,3.8487510681152344,0.32403564453125,250.0,250.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,1,"(1, 12)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q12_s1,0.05097779259085655,3.7250962257385254,0.40447998046875,250.0,250.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,2,"(1, 12)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q12_s2,0.05349256098270416,4.226144790649414,0.39996337890625,250.0,250.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,0,"(1, 16)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q16_s0,0.058982282876968384,3.465188980102539,0.31280517578125,250.0,250.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,1,"(1, 16)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q16_s1,0.05817709118127823,3.2815184593200684,0.4083251953125,250.0,250.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,2,"(1, 16)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q16_s2,0.05953297019004822,3.7530109882354736,0.39971923828125,250.0,250.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,0,"(1, 24)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q24_s0,0.06146739423274994,3.168760299682617,0.31390380859375,250.0,250.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,1,"(1, 24)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q24_s1,0.06148236244916916,3.0261075496673584,0.400146484375,250.0,250.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,0.25,1.0,5.0,5000,50,2,"(1, 24)","(1.0, 0.5)",0.35,0.15,32,gap_muP_q24_s2,0.06160697340965271,3.5778627395629883,0.40472412109375,250.0,250.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
