tag,parameterization,seed,width,rank,rank_ratio,gamma,final_loss,relative_latent_displacement,gate_flip_fraction,offdiag_ratio
spectrum_muP_s0,muP,0,256,64,0.25,1.0,2.957169726869324e-07,3.4621400833129883,0.34716796875,0.1309142455464319
spectrum_muP_s1,muP,1,256,64,0.25,1.0,3.179577561240876e-07,3.3185462951660156,0.375885009765625,0.1407310751736023
spectrum_muP_s2,muP,2,256,64,0.25,1.0,2.610475746678276e-07,3.2663257122039795,0.34918212890625,0.13745076610348297
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,7.057332550175488e-05,0.0002862090477719903,0.000152587890625,0.10011737283058653
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,9.154541476164013e-05,0.0003239971410948783,4.57763671875e-05,0.10457247223022564
spectrum_lazy_s2,lazy,2,256,64,0.25,0.0001,9.43160557653755e-05,0.00033006886951625347,7.62939453125e-05,0.08992171191908241
