tag,parameterization,seed,width,rank,rank_ratio,gamma,frequency,lambda_initial,lambda_plateau,saddle_index,dynamic_amplification,scaled_bv_proxy
spectrum_muP_s0,muP,0,256,64,0.25,1.0,1,0.08051888644695282,0.08735263347625732,11.447851772800904,1.0848713554155607,0.08735263347625732
spectrum_muP_s0,muP,0,256,64,0.25,1.0,2,0.019884003326296806,0.01576264202594757,63.44114129813114,0.7927298023080347,0.06305056810379028
spectrum_muP_s0,muP,0,256,64,0.25,1.0,3,0.005962784867733717,0.0031316347885876894,319.3220370536827,0.5251966753880111,0.028184713097289205
spectrum_muP_s0,muP,0,256,64,0.25,1.0,4,0.002443023258820176,0.0019489708356559277,513.0913104009836,0.7977700697770499,0.031183533370494843
spectrum_muP_s0,muP,0,256,64,0.25,1.0,5,0.0014188538771122694,0.0010154800256714225,984.7559525740674,0.715704444306967,0.025387000641785562
spectrum_muP_s0,muP,0,256,64,0.25,1.0,6,0.0008698230958543718,0.0007215187652036548,1385.9653389856626,0.8295005830983976,0.02597467554733157
spectrum_muP_s0,muP,0,256,64,0.25,1.0,7,0.0006652512238360941,0.0004308817151468247,2320.822547921872,0.6476977414069157,0.02111320404219441
spectrum_muP_s0,muP,0,256,64,0.25,1.0,8,0.0005013542249798775,0.00034866208443418145,2868.1065267616577,0.695440602795709,0.022314373403787613
spectrum_muP_s0,muP,0,256,64,0.25,1.0,9,0.0004047901020385325,0.00028752395883202553,3477.9710326130084,0.7103038275492609,0.023289440665394068
spectrum_muP_s0,muP,0,256,64,0.25,1.0,10,0.00030487694311887026,0.00018847573664970696,5305.722730022049,0.6182026581663181,0.018847573664970696
spectrum_muP_s0,muP,0,256,64,0.25,1.0,11,0.00021596765145659447,0.0001765409397194162,5664.408502579296,0.8174415868706971,0.02136145370604936
spectrum_muP_s0,muP,0,256,64,0.25,1.0,12,0.00019304340821690857,0.00014874424959998578,6722.948972409187,0.7705222932701897,0.021419171942397952
spectrum_muP_s0,muP,0,256,64,0.25,1.0,13,0.00018594987341202796,0.0001229984627570957,8130.182911105616,0.6614603199247979,0.020786740205949172
spectrum_muP_s0,muP,0,256,64,0.25,1.0,14,0.00013343091995920986,0.00010840544564416632,9224.628837212049,0.8124462131963575,0.0212474673462566
spectrum_muP_s0,muP,0,256,64,0.25,1.0,15,0.00013024016516283154,9.01301100384444e-05,11095.071331583382,0.6920300655773899,0.02027927475864999
spectrum_muP_s0,muP,0,256,64,0.25,1.0,16,0.00012401497224345803,8.385651017306373e-05,11925.132561994198,0.676180534141008,0.021467266604304314
spectrum_muP_s0,muP,0,256,64,0.25,1.0,17,0.00011295349395368248,6.339447281789035e-05,15774.245853777229,0.5612440182141314,0.01832100264437031
spectrum_muP_s0,muP,0,256,64,0.25,1.0,18,9.695260087028146e-05,5.320253694662824e-05,18796.09615239177,0.5487479084528224,0.01723762197070755
spectrum_muP_s0,muP,0,256,64,0.25,1.0,19,8.917070226743817e-05,4.4916916522197425e-05,22263.326991865335,0.5037183220502617,0.01621500686451327
spectrum_muP_s0,muP,0,256,64,0.25,1.0,20,7.400871982099488e-05,4.4030566641595215e-05,22711.49513336743,0.5949375526031538,0.017612226656638086
spectrum_muP_s0,muP,0,256,64,0.25,1.0,21,6.927519279997796e-05,4.4635653466684744e-05,22403.615099897263,0.6443237710729106,0.019684323178807972
spectrum_muP_s0,muP,0,256,64,0.25,1.0,22,5.8291134337196127e-05,3.736936560017057e-05,26759.88698067263,0.6410814616164506,0.018086772950482555
spectrum_muP_s0,muP,0,256,64,0.25,1.0,23,5.47592353541404e-05,4.393769268062897e-05,22759.50189894416,0.8023795875978534,0.023243039428052725
