step,split,loss,test_mse,beta_mse,R_correct_mass,conf_diag,conf_offdiag_mean,margin_mean,margin_min,slot_entropy,slot_overlap,slot_self_mass,col_load_max,col_load_var,sv1_logits,svK_logits,rank_logits,effrank_logits
1,train,1.1332756280899048,1.1332756280899048,1.1179108619689941,0.24731358885765076,0.24731358885765076,0.2508954703807831,-0.02427990362048149,-0.06780922412872314,5.541560173034668,1.1421763701946475e-05,0.0039345985278487206,0.017067717388272285,2.632569078286906e-07,1.0658986568450928,0.10013578087091446,4.0,3.025787353515625
100,train,0.038595426827669144,0.038595426827669144,0.04201911389827728,0.22141513228416443,0.22141511738300323,0.2595282793045044,-0.09311167895793915,-0.25419241189956665,5.523371696472168,1.1348186490067746e-05,0.004079743288457394,0.020273320376873016,1.920946033351356e-06,2.139359474182129,0.08101266622543335,4.0,2.823542833328247
200,train,0.022083619609475136,0.022083619609475136,0.022018741816282272,0.218765988945961,0.2187660038471222,0.2604113519191742,-0.09842893481254578,-0.2646900415420532,5.521342754364014,1.1276437362539582e-05,0.004096590913832188,0.020450815558433533,1.6022167983464897e-06,2.22735595703125,0.08242610096931458,4.0,2.6884241104125977
300,train,0.023473083972930908,0.023473083972930908,0.026173502206802368,0.2172686755657196,0.2172686755657196,0.2609104514122009,-0.10179325938224792,-0.2676750421524048,5.519993305206299,1.1231332791794557e-05,0.004106797277927399,0.02010340988636017,1.3959131592855556e-06,2.2697486877441406,0.08751208335161209,4.0,2.6890926361083984
400,train,0.017642885446548462,0.017642885446548462,0.01963471621274948,0.21571457386016846,0.21571457386016846,0.26142847537994385,-0.10661032050848007,-0.275182843208313,5.516937732696533,1.1185567927896045e-05,0.004132341593503952,0.020178548991680145,1.4157808436721098e-06,2.3956613540649414,0.0889446958899498,4.0,2.679340362548828
500,train,0.013368199579417706,0.013368199579417706,0.014136012643575668,0.2152564525604248,0.2152564376592636,0.2615812122821808,-0.10999076068401337,-0.29088854789733887,5.513208866119385,1.1134675332868937e-05,0.0041634864173829556,0.020551079884171486,1.4785321127419593e-06,2.5742580890655518,0.08974630385637283,4.0,2.63936185836792
500,test,,0.012837132439017296,0.013702522497624159,0.2136151697486639,0.21361517161130905,0.2621282935142517,-0.1136327413842082,-0.2897948920726776,5.5131842494010925,1.1125483752039145e-05,0.004163501551374793,0.020485703833401203,1.4043189366930164e-06,2.5655744075775146,0.08994326647371054,4.0,2.635975480079651
600,train,0.011537710204720497,0.011537710204720497,0.011425084434449673,0.21277964115142822,0.21277962625026703,0.2624067962169647,-0.121248260140419,-0.3070215582847595,5.509037971496582,1.1062065823352896e-05,0.0041989730671048164,0.020968183875083923,1.4249314972403226e-06,2.7601089477539062,0.09296771883964539,4.0,2.607123851776123
700,train,0.009313389658927917,0.009313389658927917,0.009127025492489338,0.20987188816070557,0.20987188816070557,0.26337605714797974,-0.13166311383247375,-0.32909226417541504,5.502887725830078,1.097897893487243e-05,0.004250511527061462,0.021272510290145874,1.5221767171169631e-06,3.0186524391174316,0.09202661365270615,4.0,2.556898593902588
800,train,0.010094856843352318,0.010094856843352318,0.010074330493807793,0.210225909948349,0.2102259248495102,0.26325803995132446,-0.1371278315782547,-0.34687721729278564,5.4974365234375,1.0902684152824804e-05,0.004297754727303982,0.021948644891381264,1.598834046490083e-06,3.2559266090393066,0.09079378843307495,4.0,2.5135245323181152
900,train,0.008520951494574547,0.008520951494574547,0.008873796090483665,0.2057553380727768,0.2057553380727768,0.264748215675354,-0.15353865921497345,-0.37409865856170654,5.489955425262451,1.0795968591992278e-05,0.004361188504844904,0.022230014204978943,1.6612108311164775e-06,3.5349013805389404,0.09169299900531769,4.0,2.463165044784546
1000,train,0.0072339195758104324,0.0072339195758104324,0.007491941563785076,0.20300588011741638,0.2030058652162552,0.2656647264957428,-0.16646713018417358,-0.4012032747268677,5.481129169464111,1.0678213584469631e-05,0.004437768831849098,0.022832486778497696,1.8130576791008934e-06,3.83152174949646,0.08889513462781906,4.0,2.4254910945892334
1000,test,,0.008489954576361924,0.008504634781274945,0.20327843725681305,0.20327844470739365,0.2655738703906536,-0.16411050967872143,-0.4016888961195946,5.481024086475372,1.0683925552257278e-05,0.004440151446033269,0.02315980871208012,1.8930325751398414e-06,3.838755249977112,0.08889672346413136,4.0,2.4325598180294037
1100,train,0.005991111509501934,0.005991111509501934,0.006550087593495846,0.19949200749397278,0.19949200749397278,0.2668359875679016,-0.17717425525188446,-0.41850945353507996,5.473731517791748,1.0588328223093413e-05,0.0045037767849862576,0.023523248732089996,2.0254242372175213e-06,4.068080902099609,0.08979525417089462,4.0,2.400412082672119
1200,train,0.0056466227397322655,0.0056466227397322655,0.006223863922059536,0.1971532106399536,0.1971532106399536,0.26761558651924133,-0.19109559059143066,-0.43970099091529846,5.46528959274292,1.0488769476069137e-05,0.004581494256854057,0.024799121543765068,2.2972494662099052e-06,4.345804214477539,0.09005561470985413,4.0,2.362626552581787
1300,train,0.007594095077365637,0.007594095077365637,0.00798050593584776,0.19342941045761108,0.19342941045761108,0.26885688304901123,-0.20266950130462646,-0.4668477177619934,5.456327438354492,1.0389740054961294e-05,0.004660507198423147,0.024915378540754318,2.5760509743122384e-06,4.621557235717773,0.08769309520721436,4.0,2.338052988052368
1400,train,0.004433934111148119,0.004433934111148119,0.0045577846467494965,0.1935577094554901,0.1935577392578125,0.2688141167163849,-0.20790694653987885,-0.4823213219642639,5.448671340942383,1.0306788681191392e-05,0.0047363596968352795,0.02627861499786377,2.914265223807888e-06,4.868237495422363,0.08783914148807526,4.0,2.2889370918273926
1500,train,0.00505824526771903,0.00505824526771903,0.005045309197157621,0.1906198263168335,0.1906198412179947,0.26979339122772217,-0.2229006290435791,-0.5048654079437256,5.441847324371338,1.0239362381980754e-05,0.004793801344931126,0.0261591374874115,3.095830834354274e-06,5.0617828369140625,0.09274016320705414,4.0,2.2933528423309326
1500,test,,0.005522707127965987,0.005448069656267762,0.1905128937214613,0.19051289185881615,0.26982904970645905,-0.21991938911378384,-0.5029568411409855,5.442118585109711,1.02386934486276e-05,0.004794036562088877,0.02641400694847107,3.108935544560154e-06,5.059489667415619,0.09345216304063797,4.0,2.2901591360569
1600,train,0.005501020699739456,0.005501020699739456,0.0061320108361542225,0.18618254363536835,0.18618252873420715,0.2712725102901459,-0.23593461513519287,-0.5247891545295715,5.434844493865967,1.016616624838207e-05,0.004858952946960926,0.0269766952842474,3.3704814086377155e-06,5.258002758026123,0.09482375532388687,4.0,2.293544292449951
1700,train,0.005118105560541153,0.005118105560541153,0.005207844544202089,0.18614032864570618,0.18614032864570618,0.2712865471839905,-0.2393132597208023,-0.537816047668457,5.428913116455078,1.0112917152582668e-05,0.004921498708426952,0.02783190831542015,3.7480231185327284e-06,5.41648006439209,0.0977950245141983,4.0,2.2689707279205322
1800,train,0.00604432076215744,0.00604432076215744,0.0061056348495185375,0.18167594075202942,0.18167594075202942,0.27277469635009766,-0.2533646821975708,-0.543180525302887,5.422885417938232,1.0055107850348577e-05,0.004973345436155796,0.02777964249253273,3.873319656122476e-06,5.563732624053955,0.09403637051582336,4.0,2.2470297813415527
1900,train,0.003471506293863058,0.003471506293863058,0.0034438769798725843,0.18240666389465332,0.18240664899349213,0.272531121969223,-0.2569999694824219,-0.5578809380531311,5.419506072998047,1.0043288057204336e-05,0.005003743804991245,0.027661195024847984,4.092995823157253e-06,5.684399604797363,0.097974494099617,4.0,2.24906849861145
2000,train,0.0027254114393144846,0.0027254114393144846,0.003017038106918335,0.18053153157234192,0.18053153157234192,0.27315616607666016,-0.26336556673049927,-0.5513826608657837,5.415588855743408,9.997010238294024e-06,0.005034778267145157,0.02761654555797577,4.105210337002063e-06,5.737893581390381,0.09751647710800171,4.0,2.2478513717651367
2000,test,,0.004166290833381936,0.00423544377554208,0.18091760016977787,0.18091760203242302,0.2730274759232998,-0.26193081215023994,-0.557234562933445,5.416578412055969,1.0017269914897042e-05,0.005025442340411246,0.027653910452499986,4.123408530176675e-06,5.75103896856308,0.09767176490277052,4.0,2.231796771287918
