L,n,r,m,max_abs_ntk_difference,relative_difference
2,128,128,8,8.881784197001252e-16,8.089799309457012e-17
3,128,128,8,1.7763568394002505e-15,1.436883892748785e-16
4,128,128,8,3.552713678800501e-15,1.3056826113845658e-16
5,128,128,8,3.552713678800501e-15,4.2299755051774314e-16
6,128,128,8,5.329070518200751e-15,4.054766737178985e-16
8,128,128,8,3.552713678800501e-15,4.1982751912291147e-16
10,128,128,8,6.217248937900877e-15,1.1351380979884247e-15
