n,r,L,m,epsilon,gamma,median_op_fluctuation,scale_L32_sqrt_m_eps,ratio
128,8,10,8,0.12410565566323441,0.11629315566323441,29.555760823374946,31.50944692161186,0.937996814000029
128,16,10,8,0.062082639309509385,0.054270139309509385,35.10398927481765,22.285894966908444,1.5751662352776208
128,32,10,8,0.03107113113264688,0.02325863113264688,37.7571801473755,15.766072721549111,2.3948373709940385
128,64,10,8,0.015565377044215626,0.007752877044215627,27.64156111297126,11.158988142019195,2.477066985033069
128,128,10,8,0.0078125,0.0,22.523434677264298,7.905694150420948,2.8490141724069873
