n,r,L,m,reps,epsilon,median_op_fluctuation,mean_op_fluctuation,scale_L32_sqrt_m_eps,median_ratio,mean_ratio
128,8,2,8,200,0.12410565566323441,18.530896293758534,22.277454115647878,2.8182906100058247,6.5752255029939,7.904597927749486
128,8,3,8,200,0.12410565566323441,24.884674968670687,32.67710021164849,5.17753045604356,4.806282682436687,6.3113294048334545
128,8,4,8,200,0.12410565566323441,30.545373182972533,42.65578747258919,7.97132960675796,3.83190442370827,5.351150884091698
128,8,5,8,200,0.12410565566323441,32.83313968031062,47.632258033484725,11.140271794854668,2.94724763317491,4.275681860426828
128,8,6,8,200,0.12410565566323441,34.87008971330387,51.377809268814744,14.644267581073116,2.381142622548872,3.5083905005408154
128,8,8,8,200,0.12410565566323441,34.14471207740247,52.04130147166185,22.546324880046598,1.514424734809902,2.3081944285171807
128,8,10,8,200,0.12410565566323441,51.589283462032554,80.52203546211885,31.50944692161186,1.637264011341571,2.5554886971656106
128,16,2,8,200,0.062082639309509385,15.738670918529776,17.636483194895618,1.9933110434171084,7.895742598982027,8.847832982785071
128,16,3,8,200,0.062082639309509385,20.382218924532577,24.61079853969646,3.6619462162699805,5.565952562048737,6.720688149473904
128,16,4,8,200,0.062082639309509385,23.900443926398182,28.24864602753742,5.6379350232570795,4.239219470924429,5.010459664932065
128,16,5,8,200,0.062082639309509385,28.44294402989488,34.27302874520635,7.879253727956055,3.6098525332389846,4.349781074266415
128,16,6,8,200,0.062082639309509385,29.946108758322147,38.751567459659704,10.357548007459691,2.8912353326052096,3.741384295950174
128,16,8,8,200,0.062082639309509385,32.54808300573116,45.642122098499804,15.946488347336867,2.041081540762348,2.862205214361332
128,16,10,8,200,0.062082639309509385,38.43127226560885,53.284536298324156,22.285894966908444,1.7244661846730462,2.3909533979875848
128,32,2,8,200,0.03107113113264688,10.45895802218482,11.87690359705797,1.4101604137435573,7.416856919433294,8.422377682215824
128,32,3,8,200,0.03107113113264688,14.842808955072485,17.162645536344872,2.590630101857794,5.729420400244868,6.6248923472467895
128,32,4,8,200,0.03107113113264688,18.98385152059491,22.04250027694791,3.988535964475587,4.759603947332316,5.52646396403901
128,32,5,8,200,0.03107113113264688,22.24988374933003,25.87251761982628,5.574148467043813,3.991620223407865,4.641519287258504
128,32,6,8,200,0.03107113113264688,24.70498563389598,28.799959722502162,7.327408450278571,3.3715857115835757,3.9304427913264823
128,32,8,8,200,0.03107113113264688,27.053674681376844,33.50645610306813,11.281283309948458,2.3981025862119267,2.9700926022769316
128,32,10,8,200,0.03107113113264688,31.582715125332527,39.95038808066945,15.766072721549111,2.0032075002524365,2.5339467086223157
128,64,2,8,200,0.015565377044215626,10.027476273082197,10.345572252266138,0.99809024182676,10.046662969802565,10.365367597754586
128,64,3,8,200,0.015565377044215626,13.065150877821921,14.512513879999888,1.8336088572949727,7.125375090681147,7.914727190732184
128,64,4,8,200,0.015565377044215626,14.98590599637145,16.604772365462814,2.823025512927292,5.3084557428714305,5.881906589021491
128,64,5,8,200,0.015565377044215626,18.69174684290424,21.834881227829065,3.945298093201023,4.737727391275184,5.534405946525907
128,64,6,8,200,0.015565377044215626,20.7678167834032,25.515982063929542,5.186229028147967,4.004415669012503,4.919948950469211
128,64,8,8,200,0.015565377044215626,25.23741554112104,29.65292421837876,7.98472193461408,3.1607131403932636,3.7137078111427
128,64,10,8,200,0.015565377044215626,31.696323840994832,40.47392845828589,11.158988142019195,2.8404299240754862,3.627024954519059
128,128,2,8,200,0.0078125,7.883031178533026,8.790949532661388,0.7071067811865476,11.148289605291367,12.432280055227157
128,128,3,8,200,0.0078125,10.428305292502564,11.4507677508095,1.299038105676658,8.027713157090606,8.814805124477001
128,128,4,8,200,0.0078125,12.704388799936375,14.357083144932565,2.0,6.352194399968187,7.178541572466282
128,128,5,8,200,0.0078125,16.83882951586329,18.14838528955511,2.7950849718747373,6.02444279344003,6.4929637102883895
128,128,6,8,200,0.0078125,17.245245694221094,20.511607312754446,3.6742346141747673,4.6935613821967035,5.582552413398716
128,128,8,8,200,0.0078125,19.479794048818185,23.55017407302382,5.656854249492381,3.4435736170091724,4.16312194628969
128,128,10,8,200,0.0078125,24.327854595293225,28.870614790753425,7.905694150420948,3.077257244260817,3.651876007525054
