name,model,optimizer,dim,target,freq,depth,width,rank,steps,batch_size,lr,seed,fix_wb,nparams,ntrainable,final_train_mse,test_mse,test_max_error,grad_effective_rank,grad_top_singular,grad_spectral_slope,weight_effective_rank,weight_spectral_slope,elapsed_sec
mmnn_sgd_chirp1d_d1_f8_r10_w512_L3_bs1024_steps20000_fixWb_s0,mmnn,sgd,1,chirp1d,8,3,512,10,20000,1024,0.001,0,True,33823,15903,0.08590314537286758,0.08413085341453552,1.0444294214248657,1.1523473723457922,1.7442602328956127,-3.9596176247879336,2.70350378058275,-0.5188244210738252,46.09791445732117
mmnn_sgd_chirp1d_d1_f8_r10_w512_L3_bs1024_steps20000_trainWb_s0,mmnn,sgd,1,chirp1d,8,3,512,10,20000,1024,0.001,0,False,33823,33823,0.07453523576259613,0.08472160995006561,0.8893151879310608,1.0607584896235296,1.079438267974183,-3.668930652677209,5.300052836975719,-0.2912970342788042,78.53163743019104
mmnn_sgd_chirp1d_d1_f8_r10_w512_L6_bs1024_steps20000_fixWb_s0,mmnn,sgd,1,chirp1d,8,6,512,10,20000,1024,0.001,0,True,66109,31293,0.668412446975708,0.6920645236968994,1.5108247995376587,0.538932911947573,0.027667421644894472,-6.349107940952933,8.574136652332106,-0.07156038669140236,76.89197254180908
mmnn_sgd_chirp1d_d1_f8_r10_w512_L6_bs1024_steps20000_trainWb_s0,mmnn,sgd,1,chirp1d,8,6,512,10,20000,1024,0.001,0,False,66109,66109,0.6684165000915527,0.6920643448829651,1.510756254196167,0.39584490513261955,0.014125498510964007,-6.307931506616786,8.566202510336435,-0.07226868876182274,137.371435880661
mmnn_sgd_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_fixWb_s0,mmnn,sgd,1,chirp1d,16,3,512,10,20000,1024,0.001,0,True,33823,15903,0.33360791206359863,0.2959339916706085,1.2821520566940308,1.1785662773998828,1.7149100825190544,-4.085045457666056,3.4604087694877146,-0.4739434829107218,45.564488649368286
mmnn_sgd_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_trainWb_s0,mmnn,sgd,1,chirp1d,16,3,512,10,20000,1024,0.001,0,False,33823,33823,0.3103342652320862,0.28982365131378174,1.4147727489471436,1.0496898134435577,1.0754596313927323,-4.305064202087354,5.472967776427988,-0.2734152158359295,79.27143096923828
mmnn_sgd_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,mmnn,sgd,1,chirp1d,16,6,512,10,20000,1024,0.001,0,True,66109,31293,0.7162097096443176,0.7304317951202393,1.442121148109436,0.5453735410388704,0.03202247213162731,-6.262964790616407,8.574110859710071,-0.07155051422579128,74.18673825263977
mmnn_sgd_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_trainWb_s0,mmnn,sgd,1,chirp1d,16,6,512,10,20000,1024,0.001,0,False,66109,66109,0.7162106037139893,0.7304319143295288,1.4421097040176392,0.405133324082251,0.016362784068283936,-6.130963027501209,8.566197484714687,-0.07225950323181869,134.88737416267395
mmnn_sgd_chirp1d_d1_f32_r10_w512_L3_bs1024_steps20000_fixWb_s0,mmnn,sgd,1,chirp1d,32,3,512,10,20000,1024,0.001,0,True,33823,15903,0.5333613157272339,0.5655971765518188,1.742245078086853,1.005992430457664,1.910348854959011,-4.179407736722088,3.617081125617391,-0.44378730769650016,45.153653383255005
mmnn_sgd_chirp1d_d1_f32_r10_w512_L3_bs1024_steps20000_trainWb_s0,mmnn,sgd,1,chirp1d,32,3,512,10,20000,1024,0.001,0,False,33823,33823,0.5320760011672974,0.5387966632843018,1.6165030002593994,1.0881373419161176,1.0869892560876906,-4.186073832738992,5.565880453422019,-0.25562926012790227,76.51884460449219
mmnn_sgd_chirp1d_d1_f32_r10_w512_L6_bs1024_steps20000_fixWb_s0,mmnn,sgd,1,chirp1d,32,6,512,10,20000,1024,0.001,0,True,66109,31293,0.7634701728820801,0.7536114454269409,1.4693607091903687,0.43068782183906035,0.011971774304194176,-6.618296413486292,8.574099722854807,-0.07155864208174724,75.46866607666016
mmnn_sgd_chirp1d_d1_f32_r10_w512_L6_bs1024_steps20000_trainWb_s0,mmnn,sgd,1,chirp1d,32,6,512,10,20000,1024,0.001,0,False,66109,66109,0.7634673118591309,0.753614068031311,1.4692295789718628,0.2844794945456731,0.0060359755007328075,-6.468655550485818,8.566216649736921,-0.0722570510764631,133.95699667930603
mmnn_sgd_sumcos_d1_f8_r10_w512_L3_bs1024_steps20000_fixWb_s0,mmnn,sgd,1,sumcos,8,3,512,10,20000,1024,0.001,0,True,33823,15903,0.014485367573797703,0.014983445405960083,0.3057980537414551,1.129747751389196,0.215652696788311,-3.5550847963506285,3.700830580457181,-0.4909082871606294,47.5380437374115
