name,root_index,q,max_residual,max_linear_rate,min_linear_rate,linearly_stable,n_center,n_each_polar
indefinite_n3,0,-0.9065249662811586,1.6946818973100072e-15,2.2033499782983963,-4.940019610414806,False,1,1
indefinite_n3,1,0.023905191282462806,1.7069679003611782e-15,-0.9144234352552312,-4.922801952778395,True,1,1
indefinite_n3,2,0.8007519660000552,4.440892098500626e-16,1.3058117598822236,-3.1182087659436277,False,1,1
negative_n3_top,0,-0.2341172382328102,7.883420244832682e-17,-0.024693838323809114,-2.19266281484158,True,1,1
negative_n3_mid,0,-0.4323657845491359,1.1188630228279524e-16,-0.01553407578668771,-1.5398331743582918,True,1,1
negative_n5,0,-0.11411242282733006,5.928593550334434e-17,-0.017734545032529914,-2.30648794802707,True,1,2
indefinite_n20,0,-0.9830920829154085,6.106226635438361e-16,2.5924558818551526,-4.999999999963386,False,4,8
indefinite_n20,1,3.775164747863115e-11,3.0201303739381794e-16,-0.19999990997694161,-4.999999999841402,True,4,8
indefinite_n20,2,0.9761453368162413,4.440892098500626e-16,2.1813262796172004,-3.2136811577160462,False,4,8
