magnitude_over_positive,beta_times_positive,root_index,q,max_linear_rate,min_linear_rate,linearly_stable,residual
0.5,0.05,0,-0.4867845372034644,0.5373403868071108,-0.27400394141213624,False,2.1334277879468753e-17
0.55,0.05,0,-0.4877014763399002,0.5363591991284605,-0.2989116304752398,False,6.538729730502721e-16
0.6,0.05,0,-0.4887072256343573,0.5352914357936394,-0.32386087068964853,False,1.0213922968026744e-17
0.65,0.05,0,-0.48980216590327824,0.5341389993570489,-0.3488559884735171,False,8.241305915632007e-17
0.7,0.05,0,-0.4909867004300201,0.5329039702152922,-0.3739032242895929,False,1.9491530832281063e-17
0.75,0.05,0,-0.49226125206391363,0.5315886085714101,-0.39901021965717887,False,2.2618026913899002e-17
0.8,0.05,0,-0.49362625999421766,0.5301953572801146,-0.4241856828799861,False,4.5002618892067853e-17
0.8500000000000001,0.05,0,-0.4950821761792121,0.5287268448450285,-0.4494391654197091,False,1.773155558379513e-16
0.9,0.05,0,-0.49662946141007297,0.5271858878079163,-0.4747809085303633,False,5.1255134520999105e-17
0.95,0.05,0,-0.49826858098885946,0.525575493035099,-0.5002217354481355,False,1.9221760511703524e-17
1.0,0.05,0,-0.49999999999999994,0.5238988607035289,-0.5257729734121931,False,4.718958039861916e-17
1.05,0.05,0,-0.5018241781551225,0.5221593856939007,-0.5514463960006352,False,6.069053483567753e-17
1.1,0.05,0,-0.5037415641920542,0.5203606601484637,-0.5772541789720793,False,3.4214094965713573e-17
1.15,0.05,0,-0.5057525898103632,0.5185064741921994,-0.6032088654516801,False,8.817047318155503e-18
1.2000000000000002,0.05,0,-0.5078576631280303,0.5166008176962028,-0.6293233360230848,False,2.186250365633538e-17
1.25,0.05,0,-0.510057161646823,0.5146478796885534,-0.6556107836509422,False,1.0007415106216802e-16
1.3,0.05,0,-0.5123514247177804,0.5126520487931919,-0.6820846901894961,False,4.1777673608052095e-17
1.35,0.05,0,-0.5147407455030016,0.5106179116536705,-0.708758803737336,False,2.676326546563981e-17
1.4,0.05,0,-0.5172253624357821,0.5085502512125184,-0.7356471156753955,False,7.505561329662603e-17
1.4500000000000002,0.05,0,-0.5198054501880938,0.506454042889218,-0.7627638372052765,False,5.003707553108401e-17
1.5,0.05,0,-0.5224811101625964,0.5043344509375923,-0.7901233747155881,False,1.734723475976807e-17
1.55,0.05,0,-0.5252523605357947,0.5021968225576089,-0.8177403025358551,False,7.664258822861523e-16
1.6,0.05,0,-0.5281191258896754,0.5000466806053209,-0.8456293332209392,False,5.594315114139762e-17
1.6500000000000001,0.05,0,-0.5310812264811853,0.497889714826994,-0.8738052863820867,False,8.694409141350492e-17
1.7000000000000002,0.05,0,-0.5341383672120839,0.49573177158029386,-0.9022830534081174,False,7.376145397762941e-17
1.75,0.05,0,-0.5372901263761269,0.4935788412125873,-0.9310775597039463,False,2.8609792490763984e-17
1.8,0.05,0,-0.540535944275784,0.4914370438006656,-0.9602037226641944,False,1.3092278833360675e-16
