all_layer_mirror_corr_median,all_layer_mirror_distance_median,all_layer_mirror_mismatch_median,batch_size,best_epoch_loss,best_last_partial_neg_defect,best_mirror_corr_median,best_mirror_mismatch_median,best_output_neg_defect,best_test_mse,best_train_mse,depth,dim,epochs,freq,last_layer_mirror_corr_median,last_layer_mirror_distance_median,last_layer_mirror_mismatch_median,last_partial_flip_first_defect,last_partial_neg_defect,last_partial_reverse_defect,last_partial_rot90_2d_defect,lr,mean_partial_flip_first_defect,mean_partial_neg_defect,mean_partial_reverse_defect,mean_partial_rot90_2d_defect,mirror_corr_median,mirror_distance_median,mirror_mismatch_median,model,n_train,name,optimizer,output_flip_first_defect,output_neg_defect,output_reverse_defect,output_rot90_2d_defect,rank,seed,target,test_mse,train_asymmetry_score,train_distribution,train_mse,width
nan,nan,nan,1,0.0001134643283718928,1.5482699871063232,nan,nan,0.03811829537153244,0.01043601892888546,0.00010175471106776968,3,2,600,1,nan,nan,nan,1.511937141418457,1.5356535911560059,0.4480464458465576,1.6312222480773926,0.003,1.3069135745366414,1.7960511048634846,1.0772329568862915,1.6023344198862712,nan,nan,nan,mlp,128,mlp_d2_axis_sum_f1_r0_w192_L3_N128_bs1_unpaired_uniform_adam_s7,adam,0.02446441724896431,0.03780432417988777,0.026039399206638336,0.03327255696058273,0,7,axis_sum,0.010440969839692116,0.1116328020580113,unpaired_uniform,0.00010124794789589942,192
nan,nan,nan,1,0.0012236330166738169,1.5640944242477417,nan,nan,0.06301280856132507,0.015046623535454273,0.0012840299168601632,4,2,600,1,nan,nan,nan,0.9905938506126404,1.487308144569397,1.5044385194778442,1.1985219717025757,0.003,1.1822706907987595,1.7540090680122375,1.416963905096054,1.468875676393509,nan,nan,nan,mlp,128,mlp_d2_axis_sum_f1_r0_w192_L4_N128_bs1_unpaired_uniform_adam_s7,adam,0.05887904018163681,0.0631888210773468,0.0535225085914135,0.06268539279699326,0,7,axis_sum,0.01513515692204237,0.1116328020580113,unpaired_uniform,0.0011916449293494225,192
nan,nan,nan,1,9.247357100142933e-05,1.5765882730484009,nan,nan,0.04054810851812363,0.009262105450034142,9.892621164908633e-05,3,2,900,1,nan,nan,nan,1.3299239873886108,1.59638249874115,1.2503530979156494,1.3198555707931519,0.004,1.49934717019399,1.8532122373580933,1.404693365097046,1.610063870747884,nan,nan,nan,mlp,192,mlp_d2_axis_sum_f1_r0_w256_L3_N192_bs1_unpaired_uniform_adam_s11,adam,0.028666550293564796,0.040431875735521317,0.03981877490878105,0.034688808023929596,0,11,axis_sum,0.009170210920274258,0.10428455227520317,unpaired_uniform,7.428115350194275e-05,256
nan,nan,nan,1,0.10865215650009355,1.5483778715133667,nan,nan,1.7723199129104614,0.5095348358154297,0.10774814337491989,3,2,600,2,nan,nan,nan,1.295862078666687,1.54691481590271,0.950488269329071,1.407601237297058,0.003,1.468612551689148,1.8065568606058757,1.1163062850634258,1.6361697514851887,nan,nan,nan,mlp,128,mlp_d2_axis_sum_f2_r0_w192_L3_N128_bs1_unpaired_uniform_adam_s7,adam,1.243652105331421,1.7784563302993774,1.4019922018051147,1.8370989561080933,0,7,axis_sum,0.5101722478866577,0.1116328020580113,unpaired_uniform,0.10752213001251221,192
nan,nan,nan,1,0.4618186606674408,1.5323959589004517,nan,nan,2.7213234901428223,0.5095771551132202,0.4755080044269562,4,2,600,2,nan,nan,nan,1.6388843059539795,2.119999885559082,2.569965124130249,2.0608530044555664,0.003,1.460840493440628,1.863613337278366,1.1872883811593056,1.5981005430221558,nan,nan,nan,mlp,128,mlp_d2_axis_sum_f2_r0_w192_L4_N128_bs1_unpaired_uniform_adam_s7,adam,1.3250411257104133e-07,1.7140203567578283e-07,2.0778199427695654e-07,1.6662023938351922e-07,0,7,axis_sum,0.4869869351387024,0.1116328020580113,unpaired_uniform,0.4875432252883911,192
,,,1,,,,,,,,2,2,200,2,,,,1.570293664932251,1.8400105237960815,1.3364770412445068,1.7064018249511719,0.001,1.2976403832435608,1.7270519137382507,1.1079513430595398,1.3529512286186218,nan,nan,nan,mlp,96,mlp_d2_axis_sum_f2_r0_w96_L2_N96_bs1_s42,,2.653933525085449,1.5388071537017822,1.286995768547058,2.865898609161377,0,42,axis_sum,0.9105548858642578,0.29692299260447425,,,96
nan,nan,nan,1,0.1380510716655179,1.7980537414550781,nan,nan,2.6314032077789307,0.6711629629135132,0.1366564929485321,2,2,200,2,nan,nan,nan,1.5439046621322632,1.7987804412841797,0.8905718326568604,1.5810078382492065,0.001,1.3169969320297241,1.7176966667175293,0.9365847110748291,1.3023002743721008,nan,nan,nan,mlp,96,mlp_d2_axis_sum_f2_r0_w96_L2_N96_bs1_unpaired_uniform_adam_s42,adam,1.4269027709960938,2.631946325302124,1.5016576051712036,1.8206955194473267,0,42,axis_sum,0.6689154505729675,0.1416836550924927,unpaired_uniform,0.13648581504821777,96
,,,1,,,,,,,,3,2,200,2,,,,1.2795448303222656,1.544551134109497,0.8475543260574341,1.3186498880386353,0.001,1.3692572315533955,1.7138928572336833,1.0902725259462993,1.4531962871551514,nan,nan,nan,mlp,96,mlp_d2_axis_sum_f2_r0_w96_L3_N96_bs1_s42,,2.460331678390503,2.0491323471069336,0.9738268256187439,2.3446850776672363,0,42,axis_sum,0.7765029668807983,0.29692299260447425,,,96
nan,nan,nan,1,0.041862476618704514,1.7478694915771484,nan,nan,2.276392936706543,0.6496025919914246,0.04111027345061302,3,2,200,2,nan,nan,nan,0.9502558708190918,1.747305154800415,1.3241621255874634,1.4162352085113525,0.001,1.2549127737681072,1.7634658813476562,1.2221110860506694,1.4169413646062214,nan,nan,nan,mlp,96,mlp_d2_axis_sum_f2_r0_w96_L3_N96_bs1_unpaired_uniform_adam_s42,adam,1.432169795036316,2.2813899517059326,1.0190712213516235,1.568207025527954,0,42,axis_sum,0.6455821990966797,0.1416836550924927,unpaired_uniform,0.04125289246439934,96
,,,1,,,,,,,,2,2,200,4,,,,1.69491708278656,1.7857617139816284,1.2324366569519043,1.6148056983947754,0.001,1.4010443091392517,1.7130301594734192,1.0968210697174072,1.326368808746338,nan,nan,nan,mlp,96,mlp_d2_axis_sum_f4_r0_w96_L2_N96_bs1_s42,,2.197319746017456,1.770681381225586,1.7150554656982422,1.6928857564926147,0,42,axis_sum,0.9196985363960266,0.29692299260447425,,,96
