case,family,beta,n_tokens,mode,eigenvalue,n_plus,n_minus,geometry,max_linear_rate,linearly_stable,linearly_neutral
pd_simple,positive_definite,0.1,2,0,3.0,0,2,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.1,2,0,3.0,1,1,sign_split,1.1260621626452274,False,False
pd_simple,positive_definite,0.1,2,0,3.0,2,0,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.1,2,1,2.0,0,2,homogeneous,1.0,False,False
pd_simple,positive_definite,0.1,2,1,2.0,1,1,sign_split,2.605249359550191,False,False
pd_simple,positive_definite,0.1,2,1,2.0,2,0,homogeneous,1.0,False,False
pd_simple,positive_definite,0.1,2,2,1.0,0,2,homogeneous,2.0,False,False
pd_simple,positive_definite,0.1,2,2,1.0,1,1,sign_split,2.900332005375044,False,False
pd_simple,positive_definite,0.1,2,2,1.0,2,0,homogeneous,2.0,False,False
pd_simple,positive_definite,0.1,2,3,0.4,0,2,homogeneous,2.6,False,False
pd_simple,positive_definite,0.1,2,3,0.4,1,1,sign_split,2.9840085278755346,False,False
pd_simple,positive_definite,0.1,2,3,0.4,2,0,homogeneous,2.6,False,False
pd_simple,positive_definite,0.1,3,0,3.0,0,3,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.1,3,0,3.0,1,2,sign_split,1.3882324409130287,False,False
pd_simple,positive_definite,0.1,3,0,3.0,2,1,sign_split,1.3882324409130287,False,False
pd_simple,positive_definite,0.1,3,0,3.0,3,0,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.1,3,1,2.0,0,3,homogeneous,1.0,False,False
pd_simple,positive_definite,0.1,3,1,2.0,1,2,sign_split,2.5607623131904793,False,False
pd_simple,positive_definite,0.1,3,1,2.0,2,1,sign_split,2.5607623131904793,False,False
pd_simple,positive_definite,0.1,3,1,2.0,3,0,homogeneous,1.0,False,False
pd_simple,positive_definite,0.1,3,2,1.0,0,3,homogeneous,2.0,False,False
pd_simple,positive_definite,0.1,3,2,1.0,1,2,sign_split,2.828976385697362,False,False
pd_simple,positive_definite,0.1,3,2,1.0,2,1,sign_split,2.828976385697362,False,False
pd_simple,positive_definite,0.1,3,2,1.0,3,0,homogeneous,2.0,False,False
pd_simple,positive_definite,0.1,3,3,0.4,0,3,homogeneous,2.6,False,False
pd_simple,positive_definite,0.1,3,3,0.4,1,2,sign_split,2.9453944415028284,False,False
pd_simple,positive_definite,0.1,3,3,0.4,2,1,sign_split,2.945394441502828,False,False
pd_simple,positive_definite,0.1,3,3,0.4,3,0,homogeneous,2.6,False,False
pd_simple,positive_definite,0.1,4,0,3.0,0,4,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.1,4,0,3.0,1,3,sign_split,1.6756191520061596,False,False
pd_simple,positive_definite,0.1,4,0,3.0,2,2,sign_split,1.1260621626452274,False,False
pd_simple,positive_definite,0.1,4,0,3.0,3,1,sign_split,1.6756191520061594,False,False
pd_simple,positive_definite,0.1,4,0,3.0,4,0,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.1,4,1,2.0,0,4,homogeneous,1.0,False,False
pd_simple,positive_definite,0.1,4,1,2.0,1,3,sign_split,2.500735821081709,False,False
pd_simple,positive_definite,0.1,4,1,2.0,2,2,sign_split,2.605249359550191,False,False
pd_simple,positive_definite,0.1,4,1,2.0,3,1,sign_split,2.5007358210817094,False,False
pd_simple,positive_definite,0.1,4,1,2.0,4,0,homogeneous,1.0,False,False
pd_simple,positive_definite,0.1,4,2,1.0,0,4,homogeneous,2.0,False,False
pd_simple,positive_definite,0.1,4,2,1.0,1,3,sign_split,2.7344894470991314,False,False
pd_simple,positive_definite,0.1,4,2,1.0,2,2,sign_split,2.900332005375044,False,False
pd_simple,positive_definite,0.1,4,2,1.0,3,1,sign_split,2.734489447099132,False,False
pd_simple,positive_definite,0.1,4,2,1.0,4,0,homogeneous,2.0,False,False
pd_simple,positive_definite,0.1,4,3,0.4,0,4,homogeneous,2.6,False,False
pd_simple,positive_definite,0.1,4,3,0.4,1,3,sign_split,2.8959576963120894,False,False
pd_simple,positive_definite,0.1,4,3,0.4,2,2,sign_split,2.9840085278755346,False,False
pd_simple,positive_definite,0.1,4,3,0.4,3,1,sign_split,2.89595769631209,False,False
pd_simple,positive_definite,0.1,4,3,0.4,4,0,homogeneous,2.6,False,False
pd_simple,positive_definite,0.1,7,0,3.0,0,7,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.1,7,0,3.0,1,6,sign_split,2.159271138800154,False,False
pd_simple,positive_definite,0.1,7,0,3.0,2,5,sign_split,1.5422391945703502,False,False
pd_simple,positive_definite,0.1,7,0,3.0,3,4,sign_split,1.1775708480651548,False,False
pd_simple,positive_definite,0.1,7,0,3.0,4,3,sign_split,1.1775708480651546,False,False
pd_simple,positive_definite,0.1,7,0,3.0,5,2,sign_split,1.5422391945703504,False,False
pd_simple,positive_definite,0.1,7,0,3.0,6,1,sign_split,2.159271138800154,False,False
pd_simple,positive_definite,0.1,7,0,3.0,7,0,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.1,7,1,2.0,0,7,homogeneous,1.0,False,False
pd_simple,positive_definite,0.1,7,1,2.0,1,6,sign_split,2.3709936417415953,False,False
pd_simple,positive_definite,0.1,7,1,2.0,2,5,sign_split,2.5300680077973228,False,False
pd_simple,positive_definite,0.1,7,1,2.0,3,4,sign_split,2.597290060212944,False,False
pd_simple,positive_definite,0.1,7,1,2.0,4,3,sign_split,2.597290060212944,False,False
pd_simple,positive_definite,0.1,7,1,2.0,5,2,sign_split,2.5300680077973228,False,False
pd_simple,positive_definite,0.1,7,1,2.0,6,1,sign_split,2.3709936417415953,False,False
pd_simple,positive_definite,0.1,7,1,2.0,7,0,homogeneous,1.0,False,False
pd_simple,positive_definite,0.1,7,2,1.0,0,7,homogeneous,2.0,False,False
pd_simple,positive_definite,0.1,7,2,1.0,1,6,sign_split,2.5365451223101227,False,False
pd_simple,positive_definite,0.1,7,2,1.0,2,5,sign_split,2.7804122797384334,False,False
pd_simple,positive_definite,0.1,7,2,1.0,3,4,sign_split,2.887478819732044,False,False
pd_simple,positive_definite,0.1,7,2,1.0,4,3,sign_split,2.887478819732044,False,False
pd_simple,positive_definite,0.1,7,2,1.0,5,2,sign_split,2.7804122797384334,False,False
pd_simple,positive_definite,0.1,7,2,1.0,6,1,sign_split,2.536545122310123,False,False
pd_simple,positive_definite,0.1,7,2,1.0,7,0,homogeneous,2.0,False,False
pd_simple,positive_definite,0.1,7,3,0.4,0,7,homogeneous,2.6,False,False
pd_simple,positive_definite,0.1,7,3,0.4,1,6,sign_split,2.7994048401970515,False,False
pd_simple,positive_definite,0.1,7,3,0.4,2,5,sign_split,2.9197349492446776,False,False
pd_simple,positive_definite,0.1,7,3,0.4,3,4,sign_split,2.9769754228892387,False,False
pd_simple,positive_definite,0.1,7,3,0.4,4,3,sign_split,2.9769754228892387,False,False
pd_simple,positive_definite,0.1,7,3,0.4,5,2,sign_split,2.9197349492446776,False,False
pd_simple,positive_definite,0.1,7,3,0.4,6,1,sign_split,2.7994048401970515,False,False
pd_simple,positive_definite,0.1,7,3,0.4,7,0,homogeneous,2.6,False,False
pd_simple,positive_definite,0.5,2,0,3.0,0,2,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.5,2,0,3.0,1,1,sign_split,-0.7154447609345994,True,False
pd_simple,positive_definite,0.5,2,0,3.0,2,0,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.5,2,1,2.0,0,2,homogeneous,1.0,False,False
pd_simple,positive_definite,0.5,2,1,2.0,1,1,sign_split,1.4768116880884705,False,False
pd_simple,positive_definite,0.5,2,1,2.0,2,0,homogeneous,1.0,False,False
pd_simple,positive_definite,0.5,2,2,1.0,0,2,homogeneous,2.0,False,False
pd_simple,positive_definite,0.5,2,2,1.0,1,1,sign_split,2.5378828427399904,False,False
pd_simple,positive_definite,0.5,2,2,1.0,2,0,homogeneous,2.0,False,False
pd_simple,positive_definite,0.5,2,3,0.4,0,2,homogeneous,2.6,False,False
pd_simple,positive_definite,0.5,2,3,0.4,1,1,sign_split,2.921049871910038,False,False
pd_simple,positive_definite,0.5,2,3,0.4,2,0,homogeneous,2.6,False,False
pd_simple,positive_definite,0.5,3,0,3.0,0,3,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.5,3,0,3.0,1,2,sign_split,-0.6079383605563361,True,False
pd_simple,positive_definite,0.5,3,0,3.0,2,1,sign_split,-0.6079383605563361,True,False
pd_simple,positive_definite,0.5,3,0,3.0,3,0,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.5,3,1,2.0,0,3,homogeneous,1.0,False,False
pd_simple,positive_definite,0.5,3,1,2.0,1,2,sign_split,1.4947115897653398,False,False
pd_simple,positive_definite,0.5,3,1,2.0,2,1,sign_split,1.4947115897653398,False,False
pd_simple,positive_definite,0.5,3,1,2.0,3,0,homogeneous,1.0,False,False
pd_simple,positive_definite,0.5,3,2,1.0,0,3,homogeneous,2.0,False,False
pd_simple,positive_definite,0.5,3,2,1.0,1,2,sign_split,2.4918664212498878,False,False
pd_simple,positive_definite,0.5,3,2,1.0,2,1,sign_split,2.4918664212498878,False,False
pd_simple,positive_definite,0.5,3,2,1.0,3,0,homogeneous,2.0,False,False
pd_simple,positive_definite,0.5,3,3,0.4,0,3,homogeneous,2.6,False,False
