name,dim,target,model,depth,width,rank,freq,n_train,batch_size,epochs,lr,optimizer,seed,train_distribution,train_mse,test_mse,best_train_mse,best_test_mse,best_epoch_loss,train_asymmetry_score,output_neg_defect,best_output_neg_defect,last_partial_neg_defect,best_last_partial_neg_defect,output_flip_first_defect,last_partial_flip_first_defect,output_reverse_defect,last_partial_reverse_defect,output_rot90_2d_defect,last_partial_rot90_2d_defect,mirror_distance_median,mirror_mismatch_median,mirror_corr_median,all_layer_mirror_distance_median,all_layer_mirror_mismatch_median,all_layer_mirror_corr_median,last_layer_mirror_distance_median,last_layer_mirror_mismatch_median,last_layer_mirror_corr_median
mlp_d2_gaussian_f1_r0_w256_L3_N128_bs1_positive_bias_adam_s315,2,gaussian,mlp,3,256,0,1,128,1,1200,0.001,adam,315,positive_bias,1.0824843599266387e-07,0.00015111608081497252,3.508319252887304e-07,0.00015634452574886382,9.591380178454456e-08,0.24233586101036053,0.0008008055156096816,0.0008055646903812885,1.338667392730713,1.3330713510513306,0.0008393350290134549,1.333975076675415,0.0012256262125447392,1.0547034740447998,0.0007902143988758326,1.2873376607894897,nan,nan,nan,nan,nan,nan,nan,nan,nan
mmnn_d2_quadratic_f1_r8_w256_L3_N128_bs1_positive_bias_adam_s315,2,quadratic,mmnn,3,256,8,1,128,1,1200,0.001,adam,315,positive_bias,7.552941383437428e-07,0.00022437344887293875,3.6928968256688677e-06,0.00022515653108712286,9.079231442013502e-07,0.24233586101036053,0.000724535551853478,0.0007473551668226719,0.013950726948678493,0.014424475841224194,0.0007120430818758905,0.013126631267368793,0.0005026832222938538,0.008492308668792248,0.0004730745276901871,0.008509043604135513,0.13109483549273804,0.7979644780648014,0.2601995977272889,0.31338901970269817,0.9455987356968015,0.29668487415022976,0.3728303770626301,0.9167652735546934,0.9999999503816751
mmnn_d2_quadratic_f1_r128_w256_L3_N128_bs1_positive_bias_adam_s315,2,quadratic,mmnn,3,256,128,1,128,1,1200,0.001,adam,315,positive_bias,8.540542921764427e-07,7.319093856494874e-05,3.6859473766526207e-06,6.807823956478387e-05,1.1386840290186773e-06,0.24233586101036053,0.000253540463745594,0.0002495321386959404,0.00136408896651119,0.001360356924124062,0.0003428034542594105,0.0013738409616053104,0.00020659789151977748,0.0007186147850006819,0.00035761602339334786,0.0009352363413199782,0.12728305106236587,0.39304768296449144,0.7384153511437204,0.5620079383485692,0.8006970775968614,0.4687215089731511,0.7090086504351714,0.9376263736054724,0.9999996207229167
mlp_d2_quadratic_f1_r0_w256_L3_N128_bs1_positive_bias_adam_s315,2,quadratic,mlp,3,256,0,1,128,1,1200,0.001,adam,315,positive_bias,1.0986921239464209e-07,0.0005162677261978388,3.1972913916433754e-07,0.0005000022938475013,1.924417574825782e-07,0.24233586101036053,0.0018737205537036061,0.0018189585534855723,1.5022249221801758,1.4998600482940674,0.0016231052577495575,1.2238094806671143,0.0011762070935219526,0.2907176911830902,0.0013449260732159019,1.364382028579712,nan,nan,nan,nan,nan,nan,nan,nan,nan
mmnn_d3_gaussian_f1_r8_w256_L3_N128_bs1_positive_bias_adam_s315,3,gaussian,mmnn,3,256,8,1,128,1,1200,0.001,adam,315,positive_bias,7.835400310796103e-07,0.00047265749890357256,1.9625449567683972e-06,0.0004928174894303083,9.702666835947893e-07,0.6031964294379577,0.003758258419111371,0.0038010701537132263,0.009070740081369877,0.009006258100271225,0.004552644677460194,0.01032223366200924,0.002332652686163783,0.004903751891106367,,,0.18983910909418455,0.8629949639249074,0.19676193501199365,0.32911247450537323,1.0254313920436937,-0.24137133851286308,0.3858525736817963,1.110514673542688,-0.9999999701036947
mmnn_d3_gaussian_f1_r128_w256_L3_N128_bs1_positive_bias_adam_s315,3,gaussian,mmnn,3,256,128,1,128,1,1200,0.001,adam,315,positive_bias,5.649682748298801e-07,0.0004990281886421144,1.4544816906436608e-07,0.0005165059701539576,2.0085341975208115e-07,0.6031964294379577,0.004454614128917456,0.0045261988416314125,0.013251012191176414,0.01350637711584568,0.0009842459112405777,0.004283284302800894,0.0014813182642683387,0.002890876028686762,,,0.18913279194858543,0.42104073883718474,0.6362959532953915,0.5772129093944878,0.8023041627514853,0.45083032562005126,0.7090799283122624,0.9438995107488195,0.9999998403388604
mlp_d3_gaussian_f1_r0_w256_L3_N128_bs1_positive_bias_adam_s315,3,gaussian,mlp,3,256,0,1,128,1,1200,0.001,adam,315,positive_bias,1.9035687159885128e-07,0.0019215402426198125,4.4229004458884447e-08,0.0019142746459692717,2.8572386720493448e-08,0.6031964294379577,0.01461343839764595,0.01464315876364708,1.247568964958191,1.2688703536987305,0.009610905312001705,1.4084604978561401,0.0036685357335954905,1.1917016506195068,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
mmnn_d3_quadratic_f1_r8_w256_L3_N128_bs1_positive_bias_adam_s315,3,quadratic,mmnn,3,256,8,1,128,1,1200,0.001,adam,315,positive_bias,1.528445409348933e-06,0.0019272000063210726,2.565949444033322e-06,0.0019206879660487175,1.3111898789653492e-06,0.6031964294379577,0.008528919890522957,0.008552097715437412,0.0375237837433815,0.03526957333087921,0.008053893223404884,0.02901388332247734,0.003821778576821089,0.027143681421875954,,,0.18983910909418455,0.7898361062814898,0.28708586979245654,0.32911247450537323,0.9243944683831531,0.31060152682948083,0.3858525736817963,0.864428189328929,0.9999999826582782
mmnn_d3_quadratic_f1_r128_w256_L3_N128_bs1_positive_bias_adam_s315,3,quadratic,mmnn,3,256,128,1,128,1,1200,0.001,adam,315,positive_bias,7.834020721020352e-07,0.0024647479876875877,1.1888384960911935e-06,0.002483566291630268,9.32584414140708e-07,0.6031964294379577,0.011381106451153755,0.011467874981462955,0.0092354416847229,0.009228778071701527,0.0024967428762465715,0.0021861924324184656,0.0021681003272533417,0.0022176045458763838,,,0.18913279194858543,0.4733444823184748,0.6649785325934315,0.5772129093944878,0.8254060371259141,0.4507107043676697,0.7090799283122624,0.9599074635342361,0.9999997009971603
mlp_d3_quadratic_f1_r0_w256_L3_N128_bs1_positive_bias_adam_s315,3,quadratic,mlp,3,256,0,1,128,1,1200,0.001,adam,315,positive_bias,2.3290111528240232e-07,0.007032829336822033,3.5286564781245033e-08,0.006986207328736782,3.848633934634693e-08,0.6031964294379577,0.02740531973540783,0.027286875993013382,2.0209906101226807,2.0153183937072754,0.008608953095972538,2.4441845417022705,0.0030257513280957937,1.620011806488037,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
