source_file,benchmark,sweep_suite,record_kind,tag,K,prompt_len,design,cond,noise_var,prior_var,depth,heads,d_head,capacity_rank,attention,head_scheme,precond,temperature,eta_multiplier,scale_linear_by_m,seed,batch_size,eval_batches,beta_mse_post,beta_mse_true,pred_mse_y,mean_mse_exact,exact_pred_mse_y,nll_iter,nll_exact,coverage_iter,width_iter,coverage_exact,width_exact,contraction_radius_mean,contraction_radius_max,precond_rank,eta_mean,proj_rank,proj_max,proj_min_nonzero,capacity_ge_K,first_grad_mse,last_grad_mse,attn_rank_first,attn_rank_last,attn_effrank_first,attn_effrank_last,layer_first_beta_mse_post,layer_last_beta_mse_post,layer_decay_ratio,log10_beta_mse_post,log10_beta_mse_true,family_priority,run_id,kappa_mean,eig_min_mean,eig_max_mean,var_mse_exact,layer_first_resid_norm,layer_last_resid_norm,task,method,eb_dim,eb_prior,eb_mixture_sep,mean_mse_emp,mean_mse_true,var_mse_emp,nll,exact_nll,attn_entropy,max_weight,projection_correction,softmax_vector_scale,attn_entropy_first,attn_entropy_last,experiment,norm,d_h,tau,eta,q_equals_k,use_mlp,residual,data_kind,steps,R_spike,S_token_var,C_col_imbalance,gap,H_attn,H_query,spike_col_load,max_col_load,n_ctx,normalized,pred_mse,mean_mse,var_mse,exact_mse,kappa,resid_last,benchmark_family,step,loss,train_context,eval_context,d_model,shared,normalize_attention,share_qk,rich_mse,rich_mean_mse,rich_var_mse,rich_kappa,rich_resid_last,trainctx_mse,trainctx_mean_mse,trainctx_var_mse,trainctx_nll,trainctx_exact_nll,trainctx_coverage,trainctx_width,trainctx_exact_coverage,trainctx_exact_width,evalctx_mse,evalctx_mean_mse,evalctx_var_mse,evalctx_nll,evalctx_exact_nll,evalctx_coverage,evalctx_width,evalctx_exact_coverage,evalctx_exact_width,capacity_regime
data/transformers/runs_attn_capacity/results.csv,constructive_attention_qkv,capacity_coord,row,K8_H1_dh8,8.0,128.0,isotropic,10.0,0.02,1.0,16.0,1.0,8.0,8.0,linear,coordinate,scalar_opt,0.5,1.0,False,0.0,1024.0,8.0,6.5083063179212356e-12,0.0013548922725021,0.0217127320356667,7.169259923136412e-12,0.0217127462383359,-0.4962034523487091,-0.4962031058967113,0.9437255859375,0.5727203488349915,0.9437255859375,0.5727203488349915,0.3905158936977386,0.5468151792883873,0.0,0.0012108712980989,8.0,1.0,1.0,1.0,9.596325067917633e-09,2.7195621976616732e-08,8.0,8.0,7.932537794113159,7.932537794113159,0.0657900338992476,6.5083063179212356e-12,9.777731058121296e-11,-11.186532014885112,-2.8680952341753745,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_attn_capacity/results.csv,constructive_attention_qkv,capacity_coord,row,K8_H1_dh16,8.0,128.0,isotropic,10.0,0.02,1.0,16.0,1.0,16.0,16.0,linear,coordinate,scalar_opt,0.5,1.0,False,0.0,1024.0,8.0,6.558965718640729e-12,0.0013391320972004,0.0211804609280079,7.887625285991212e-12,0.0211804620921611,-0.5084311254322529,-0.5084310844540596,0.9483642578125,0.5724357068538666,0.9483642578125,0.5724357143044472,0.389979675412178,0.5507275983691216,0.0,0.0012118947634007,8.0,1.0,1.0,1.0,9.835907754940363e-09,2.7376749311969213e-08,8.0,8.0,7.931392014026642,7.931392014026642,0.0663462402299046,6.558965718640729e-12,9.874970994262484e-11,-11.183164638993386,-2.873176580377386,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_attn_capacity/results.csv,constructive_attention_qkv,capacity_coord,row,K8_H1_dh32,8.0,128.0,isotropic,10.0,0.02,1.0,16.0,1.0,32.0,32.0,linear,coordinate,scalar_opt,0.5,1.0,False,0.0,1024.0,8.0,5.106609579641486e-12,0.0013325879262993,0.0212629945017397,8.52631421683573e-12,0.0212629903107881,-0.5061856880784035,-0.5061857961118221,0.948486328125,0.572666771709919,0.948486328125,0.5726667568087578,0.3913736492395401,0.5503388345241547,0.0,0.0012121536274207,8.0,1.0,1.0,1.0,9.845487314308345e-09,2.7272901492736423e-08,8.0,8.0,7.939636945724487,7.939636945724487,0.0661226473748683,5.106609579641486e-12,7.714721576557909e-11,-11.291867344394085,-2.875304125906048,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_attn_capacity/results.csv,constructive_attention_qkv,capacity_coord,row,K8_H2_dh1,8.0,128.0,isotropic,10.0,0.02,1.0,16.0,2.0,1.0,2.0,linear,coordinate,scalar_opt,0.5,1.0,False,0.0,1024.0,8.0,0.761550784111023,0.7625286281108856,0.7900403961539268,0.7667644917964935,0.0221659657545387,17.237767934799194,-0.4855866022408008,0.2823486328125,0.5726758316159248,0.9453125,0.5726758316159248,0.3902643211185932,0.5478791370987892,0.0,0.0012123995256843,2.0,1.0,1.0,0.0,515713.34765625,493172.28515625,1.0,1.0,1.0,1.0,0.7656738758087158,0.761550784111023,0.9946099796183812,-0.1183011303794285,-0.1177438466733846,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_attn_capacity/results.csv,constructive_attention_qkv,capacity_coord,row,K8_H2_dh2,8.0,128.0,isotropic,10.0,0.02,1.0,16.0,2.0,2.0,4.0,linear,coordinate,scalar_opt,0.5,1.0,False,0.0,1024.0,8.0,0.5083766281604767,0.5098741687834263,0.5200032256543636,0.4999829344451427,0.0213176670949906,10.991314172744753,-0.5053486973047256,0.3568115234375,0.5725269988179207,0.9500732421875,0.5725270137190819,0.3908107317984104,0.5512542501091957,0.0,0.0012116073048673,4.0,1.0,1.0,0.0,336499.0390625,307676.01171875,2.0,2.0,1.995377540588379,1.995377540588379,0.5254889130592346,0.5083766281604767,0.9674340929963786,-0.2938144236850135,-0.2925369896779193,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_attn_capacity/results.csv,constructive_attention_qkv,capacity_coord,row,K8_H2_dh4,8.0,128.0,isotropic,10.0,0.02,1.0,16.0,2.0,4.0,8.0,linear,coordinate,scalar_opt,0.5,1.0,False,0.0,1024.0,8.0,5.641449953670483e-12,0.0013399274321272,0.0212699088733643,1.0413935366175922e-11,0.0212699028197675,-0.5066656321287155,-0.5066657364368439,0.9508056640625,0.5725096017122269,0.9508056640625,0.5725096091628075,0.3907468356192112,0.5534785687923431,0.0,0.0012125785870011,8.0,1.0,1.0,1.0,9.681817569884288e-09,2.7415699932475945e-08,4.0,4.0,3.9829406291246414,3.9829406291246414,0.0668523134663701,5.641449953670483e-12,8.490414956448207e-11,-11.24860926021024,-2.872918721545701,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_attn_capacity/results.csv,constructive_attention_qkv,capacity_coord,row,K8_H2_dh8,8.0,128.0,isotropic,10.0,0.02,1.0,16.0,2.0,8.0,16.0,linear,coordinate,scalar_opt,0.5,1.0,False,0.0,1024.0,8.0,5.425489078185811e-12,0.0013481236092047,0.021519444650039,4.4350877679601156e-12,0.0215194346383214,-0.5008787214756012,-0.5008789598941803,0.9462890625,0.5723467394709587,0.9462890625,0.5723467394709587,0.3902331851422786,0.5493185967206955,0.0,0.001211949813296,8.0,1.0,1.0,1.0,9.739772877104258e-09,2.7001690217076657e-08,4.0,4.0,4.467176198959351,4.467176198959351,0.0662312814965844,5.425489078185811e-12,8.271026380659299e-11,-11.265561106441,-2.870270285594179,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_attn_capacity/results.csv,constructive_attention_qkv,capacity_coord,row,K8_H2_dh16,8.0,128.0,isotropic,10.0,0.02,1.0,16.0,2.0,16.0,32.0,linear,coordinate,scalar_opt,0.5,1.0,False,0.0,1024.0,8.0,3.730541944151414e-12,0.0013493132282746,0.0213566392194479,4.0787735873255154e-12,0.0213566361926496,-0.504523515701294,-0.5045235715806484,0.9495849609375,0.5726530030369759,0.9495849609375,0.5726530104875565,0.3904980085790157,0.5543320700526237,0.0,0.0012125903740525,8.0,1.0,1.0,1.0,9.741051965050929e-09,2.6419110676911828e-08,4.0,4.0,4.465441405773163,4.465441405773163,0.0655202232301235,3.730541944151414e-12,5.6671413518024383e-11,-11.42822807267985,-2.869887221921325,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_attn_capacity/results.csv,constructive_attention_qkv,capacity_coord,row,K8_H2_dh32,8.0,128.0,isotropic,10.0,0.02,1.0,16.0,2.0,32.0,64.0,linear,coordinate,scalar_opt,0.5,1.0,False,0.0,1024.0,8.0,3.4388546697738938e-12,0.0013482356735039,0.0211349781602621,4.0809444175728466e-12,0.0211349746678024,-0.5094762593507767,-0.5094763189554214,0.94873046875,0.57260612398386,0.94873046875,0.57260612398386,0.3900202959775924,0.5404420271515846,0.0,0.0012125383509555,8.0,1.0,1.0,1.0,9.721035199028453e-09,2.7200972585461614e-08,4.0,4.0,4.470116525888443,4.470116525888443,0.0662995725870132,3.4388546697738938e-12,5.1828950761195677e-11,-11.4635861776089,-2.8702341858747613,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_attn_capacity/results.csv,constructive_attention_qkv,capacity_coord,row,K8_H4_dh1,8.0,128.0,isotropic,10.0,0.02,1.0,16.0,4.0,1.0,4.0,linear,coordinate,scalar_opt,0.5,1.0,False,0.0,1024.0,8.0,0.5132434442639351,0.5144929140806198,0.5377188995480537,0.5122103095054626,0.0216254792176187,11.405313491821287,-0.4979616738855839,0.35205078125,0.5725283324718475,0.9478759765625,0.5725283473730087,0.3911595232784748,0.5551992058753967,0.0,0.0012117569422116,4.0,1.0,1.0,0.0,341857.21484375,311690.4921875,1.0,1.0,1.0,1.0,0.5300083346664906,0.5132434442639351,0.9683443701442328,-0.2896765892309819,-0.2886206022365875,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
