suite,K,M,M_over_K,cond,depth,identity_mse_z_primal_vs_dual,identity_rel_z_primal_vs_dual,z_star_mse_true,cond_H_mean,dual_unprecond_mse,dual_diag_mse,dual_rowsum_abs_mse,dual_softmax_exp_mse,dual_signed_relu_mse,primal_scalar_opt_mse,primal_jacobi_mse,step,train_cond,eval_cond,loss,eval_mse_post,eval_mse_true,eval_rel_post,dual_diag_same_depth_mse,primal_jac_same_depth_mse,layer0_mse,layerlast_mse,score_corr_linear_kernel,attn_entropy_last
dual_primal_sweep,8.0,8.0,1.0,10.0,4.0,6.187736087404083e-12,2.10985973581046e-06,0.0999320372939109,271.42893981933594,0.2926100417971611,0.2101329714059829,0.2226306945085525,22.25752878189087,0.2226307019591331,0.2926100790500641,0.3273671939969063,,,,,,,,,,,,,
dual_primal_sweep,8.0,8.0,1.0,10.0,8.0,5.796873397967417e-12,2.0790913026758062e-06,0.0959036108106374,262.7624969482422,0.2113045714795589,0.1324551925063133,0.1446326412260532,64.15933036804199,0.1446326449513435,0.2113046012818813,0.2057671323418617,,,,,,,,,,,,,
dual_primal_sweep,8.0,8.0,1.0,10.0,16.0,6.065191968454564e-12,2.0953387434019533e-06,0.0944901164621114,272.4256134033203,0.1491146981716156,0.0750903934240341,0.083883449435234,153.65362930297852,0.083883449435234,0.1491145566105842,0.1375832967460155,,,,,,,,,,,,,
dual_primal_sweep,8.0,8.0,1.0,10.0,32.0,6.101662144292197e-12,2.120550334439031e-06,0.0927462503314018,271.5415954589844,0.0972085241228342,0.0367967188358306,0.042482329532504,261.1640205383301,0.0424823341891169,0.0972087830305099,0.0777389239519834,,,,,,,,,,,,,
dual_primal_sweep,8.0,8.0,1.0,100.0,4.0,3.733721610967716e-12,1.8512995723085623e-06,0.1551961824297905,417.31646728515625,0.3405738994479179,0.2413029298186302,0.2530563473701477,28.683671951293945,0.2530563473701477,0.3405738770961761,0.7642294615507126,,,,,,,,,,,,,
dual_primal_sweep,8.0,8.0,1.0,100.0,8.0,3.729167528162408e-12,1.8085873989548416e-06,0.158424012362957,412.5670166015625,0.2684078961610794,0.1686526574194431,0.1806161105632782,78.43987846374512,0.1806161068379879,0.2684079855680465,0.5050759986042976,,,,,,,,,,,,,
dual_primal_sweep,8.0,8.0,1.0,100.0,16.0,3.5470277431372266e-12,1.8135193897705904e-06,0.1618048809468746,417.6788864135742,0.188625942915678,0.1048068702220916,0.1142937112599611,145.7236671447754,0.1142937149852514,0.1886258013546466,0.2763511911034584,,,,,,,,,,,,,
dual_primal_sweep,8.0,8.0,1.0,100.0,32.0,3.359235036404923e-12,1.8110310691099585e-06,0.1503797024488449,412.37813568115234,0.1323270387947559,0.059686959721148,0.0655701728537678,236.39043045043945,0.0655701737850904,0.1323269009590149,0.1119409967213869,,,,,,,,,,,,,
dual_primal_sweep,8.0,8.0,1.0,1000.0,4.0,2.02882909040511e-12,1.590560458453183e-06,0.2548581287264824,541.5608062744141,0.3444989323616028,0.2215346023440361,0.2328061833977699,36.28626823425293,0.2328061833977699,0.3444989621639251,1.1486515700817108,,,,,,,,,,,,,
dual_primal_sweep,8.0,8.0,1.0,1000.0,8.0,2.183935541091864e-12,1.6505565554325583e-06,0.2561825253069401,544.3009338378906,0.2704300731420517,0.1525531746447086,0.164446659386158,81.58599472045898,0.164446659386158,0.2704302296042442,0.5812924355268478,,,,,,,,,,,,,
