benchmark,experiment,n_ctx,depth,mean_mse,exact_mse,kappa,normalized,steps,eval_mean_mse,rich_mean_mse,coverage,nll,exact_nll,norm,R_mean,C_mean,max_load,n
bayes_weakform,richardson_best,16.0,64.0,0.0065220502146985,0.1658566007390618,155.13220882415771,0.0,,,,,,,,,,,
bayes_weakform,richardson_best,32.0,64.0,6.484883800794705e-05,0.0408717029495164,21.171721935272217,0.0,,,,,,,,,,,
bayes_weakform,richardson_best,64.0,64.0,5.7262354105917955e-12,0.0283661219291389,6.9425879418849945,0.0,,,,,,,,,,,
bayes_weakform,richardson_best,128.0,64.0,3.0039325519225224e-14,0.0222878063796088,3.707105308771133,0.0,,,,,,,,,,,
bayes_weakform,richardson_best,256.0,64.0,2.5788258586401973e-14,0.0199957318254746,2.469742015004158,0.0,,,,,,,,,,,
bayes_weakform,richardson_best,512.0,64.0,2.3033719300392247e-14,0.0202340598334558,1.891962967813015,0.0,,,,,,,,,,,
bayes_weakform,train_final,128.0,16.0,,,,,10000.0,0.1082232315093278,2.2598182169986106e-07,0.95263671875,0.3720874842256307,-0.4765304047614336,,,,,
bayes_weakform,train_best,128.0,16.0,,,,,8600.0,0.104401599150151,2.670466514587133e-08,0.9599609375,0.3728393130004406,-0.4925911519676447,,,,,
bayes_weakform,depth_sweep,128.0,2.0,,,,,,0.1166256093420088,0.0263490714132785,0.947265625,,,,,,,
bayes_weakform,depth_sweep,128.0,4.0,,,,,,0.1192599679343402,0.0023796423338353,0.94189453125,,,,,,,
bayes_weakform,depth_sweep,128.0,8.0,,,,,,0.1225989963859319,4.118930519325659e-05,0.94775390625,,,,,,,
bayes_weakform,depth_sweep,128.0,16.0,,,,,,0.1232183082029223,2.7595053353479677e-08,0.9521484375,,,,,,,
retrieval_smoothing,gpu_sweep_dge32,,,,,,,,,,,,,sinkhorn,0.9861277788877487,0.00259214655307,1.171590656042099,16.0
retrieval_smoothing,gpu_sweep_dge32,,,,,,,,,,,,,softmax,0.9965102635324001,0.5235038958489895,3.057457387447357,16.0
retrieval_smoothing,gpu_sweep_dge32,,,,,,,,,,,,,unbalanced_sinkhorn,0.9897836344316602,0.23451500201190353,2.248882109299302,64.0
