sweep,depth,prompt_len,K,precond,beta_mse_post,beta_mse_true,rho,kappa,eta
depth,1,128,16,scalar_opt,0.1178703671321272,0.1207775920629501,0.5721996277570724,,
depth,2,128,16,scalar_opt,0.0265020681545138,0.0293430320452898,0.5722380205988884,,
depth,4,128,16,scalar_opt,0.0022190625604707,0.0050786976353265,0.571881540119648,,
depth,8,128,16,scalar_opt,2.783993886623648e-05,0.0029083258996251,0.5712770521640778,,
depth,16,128,16,scalar_opt,1.2360469425765077e-08,0.002860117558157,0.5718460604548454,,
depth,32,128,16,scalar_opt,4.6475241342690656e-14,0.0028722160204779,0.5724862888455391,,
depth,64,128,16,scalar_opt,2.484136087818286e-14,0.0028651897446252,0.572218731045723,,
prompt,64,16,16,scalar_opt,0.0146729388507083,0.157430900260806,,155.1729907989502,
prompt,64,32,16,scalar_opt,1.3169958720027353e-05,0.0202573384158313,,21.08862400054932,
prompt,64,64,16,scalar_opt,7.378246844160017e-11,0.0066923781996592,,6.963098049163818,
prompt,64,128,16,scalar_opt,2.4940086168075376e-14,0.0028755389503203,,3.7024662792682648,
prompt,64,256,16,scalar_opt,2.024648538965145e-14,0.0013301127473823,,2.47390565276146,
prompt,64,512,16,scalar_opt,1.8736117224479792e-14,0.0006477729912148,,1.886069431900978,
precond,16,128,16,spectral_full,2.5179208651282948e-14,,1.2147572050480449e-06,,1.0
precond,16,128,16,lowrank_spectral,6.474502600717358e-09,,0.5718789547681808,,0.0022965157986618
precond,16,128,16,scalar_opt,1.2457013642830361e-08,,0.5721996277570724,,0.0022985562391113
precond,16,128,16,block_jacobi,1.655358650154426e-07,,0.5673476979136467,,1.0
precond,16,128,16,jacobi,2.6602744753745355e-06,,0.7081272080540657,,0.6042569801211357
