benchmark,suite,metric,depth,beta_mse_post,first_grad_mse,prompt_len,beta_mse_true
constructive_attention_qkv,bad_cond,depth_last,128.0,0.0031587003613822,3.788714258989856e-09,,
constructive_attention_qkv,capacity_coord,best,,3.4388546697738938e-12,9.721035199028451e-09,,
constructive_attention_qkv,capacity_random,best,,9.921144106445936e-14,1.549671457823365e-08,,
constructive_attention_qkv,depth_linear,depth_last,64.0,8.368283093519248e-14,2.756061406872234e-09,,
constructive_attention_qkv,depth_softmax,depth_last,32.0,0.4864606335759163,175659.619140625,,
constructive_attention_qkv,precond,best,,8.247067257756295e-14,2.7377557998420343e-09,,
constructive_attention_qkv,prompt_scaling,prompt_last,,1.6113196355264838e-13,,512.0,0.0006477730130427
