source_file,benchmark,suite,tag,d,K,m,R,M,z_mse_exact,z_mse_primal_jacobi,z_mse_dual_diag,u_mse_exact,u_rel_exact,u_mse_primal_jacobi,u_rel_primal_jacobi,u_mse_dual_diag,u_rel_dual_diag,A_rel_exact,A_rel_primal_jacobi,A_rel_dual_diag,step,solver,u_mse,u_rel,z_mse_true_basis,A_rel,A0_rel,Abasis_rel_raw,loss,loss_u,loss_prompt,loss_z,loss_A,z_scale,attn_entropy_last,score_corr_linear_kernel_last
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,16.0,16.0,16.0,16.0,256.0,1.6514865919248223e-08,0.0002212400722783,6.443288293667138e-05,2.170349455710152e-09,7.467406976502389e-05,1.575853457325138e-05,0.0047049466520547,4.840856490773149e-06,0.0027624224312603,5.289253749651834e-05,0.0042391279712319,0.0024407091550529,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,16.0,16.0,32.0,16.0,512.0,3.642507184764554e-09,8.646052447147667e-05,2.3224758479045704e-05,6.019316156624653e-10,3.797163662966341e-05,5.511885774467373e-06,0.0028532468713819,1.4427496353164315e-06,0.0015027469489723,2.5045443180715665e-05,0.0026711048558354,0.001391430851072,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,32.0,4.0,4.0,32.0,128.0,5.914458256484068e-08,7.843146931918454e-08,2.0665078181991706e-07,1.4612859811080623e-09,6.564722571056336e-05,1.777442415473729e-09,7.036745955701917e-05,4.965180266935931e-09,0.0001206723463837,5.597036579274573e-05,6.0566799220396206e-05,0.0001040473944158,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,32.0,4.0,8.0,32.0,256.0,1.3422384981254254e-08,1.3695315104200745e-08,4.791898788880644e-08,3.6416247795045814e-10,3.260155790485442e-05,3.716132956910201e-10,3.2844160159584135e-05,1.2377969760279939e-09,5.993319791741669e-05,2.6929015803034417e-05,2.714793663471937e-05,5.062262789579109e-05,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,32.0,4.0,16.0,32.0,512.0,3.1927362975636693e-09,3.216601873745617e-09,1.1511962938470788e-08,9.023800456864349e-11,1.6895008229766972e-05,9.072918805141937e-11,1.6945563402259722e-05,2.9637969856111113e-10,3.0454635634669103e-05,1.3245458831079304e-05,1.329015321971383e-05,2.5075700250454247e-05,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,32.0,4.0,32.0,32.0,1024.0,8.12162948005124e-10,8.182058919281586e-10,2.976531021658957e-09,2.953798317051337e-11,9.59227872954216e-06,2.968612508591484e-11,9.608719665266108e-06,8.940086171360662e-11,1.6495323507115245e-05,6.641997060796712e-06,6.659988684987184e-06,1.269023778149858e-05,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,32.0,8.0,4.0,32.0,128.0,5.6620159227804834e-08,5.677586614183383e-07,3.110748707513267e-07,3.6512659562504272e-09,0.000104424158053,2.407045229801952e-08,0.0002031720359809,1.5253885266020006e-08,0.0001956178748514,7.848400855436921e-05,0.0001668433542363,0.0001555597700644,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,32.0,8.0,8.0,32.0,256.0,1.1987373760291577e-08,2.3821613126528973e-08,2.7998025231568132e-08,7.934339851800586e-10,4.910439747618511e-05,1.287184581144629e-09,5.773089287686162e-05,1.8047684458011302e-09,7.202624692581594e-05,3.664733958430588e-05,4.434643778949976e-05,5.481065454659984e-05,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,32.0,8.0,16.0,32.0,512.0,2.896904938154421e-09,3.672303128254839e-09,6.012375486363908e-09,2.2353188744439478e-10,2.5650506358942948e-05,2.5813423620846265e-10,2.719929398153909e-05,4.3885681200173105e-10,3.577983443392441e-05,1.8042164811049588e-05,1.951728336280212e-05,2.591478914837353e-05,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,32.0,8.0,32.0,32.0,1024.0,6.675158203961472e-10,8.176275767546314e-10,1.3748124860768483e-09,5.5910373553125225e-11,1.3396800568443725e-05,6.242077688067836e-11,1.385263112752e-05,1.0237663494727656e-10,1.8078317225445065e-05,8.7024163804017e-06,9.139322173723484e-06,1.2451842849259265e-05,,,,,,,,,,,,,,,,
