source_file,benchmark,sweep_suite,K,M,cond,capacity,proj_rank,method,precond,depth,tau,z_mse_post,z_mse_true,z_rel_post,first_mse_post,last_grad_mse,attn_entropy,eta_mean,rho_mean,precond_rank,d,m_prompt,u_mse,u_rel,mode,n_context,x_dim,lengthscale,lam,mse_to_exact,mse_to_yq,rel_to_exact,eval_mse_post,eval_mse_true,eval_rel_post,eff_rho_meanH,layer0_mse_post,layerlast_mse_post,layer,target,probe_mse,probe_r2
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,below,4.0,softmax_vector_full,lowrank_spectral,32.0,5.0,7.001721996857668e-06,7.001721996857668e-06,0.0017191952792927,0.1201456803828477,2.1763962195109343e-05,4.8509827852249146,0.0461646802723407,0.8390085250139236,4.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,below,4.0,softmax_vector_projected,lowrank_spectral,32.0,5.0,0.620497077703476,0.620497077703476,0.7671165764331818,0.620206817984581,366.4346618652344,4.850984692573547,0.046157818287611,0.8391223102807999,4.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,at,8.0,linear,scalar_opt,32.0,5.0,1.304330521634256e-05,1.304330521634256e-05,0.0024134640698321,0.3736991509795189,1.5718981021331513e-11,0.0,0.0462674433365464,0.8384954631328583,0.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,at,8.0,softmax_scalar,scalar_opt,32.0,5.0,0.0027498675044625,0.0027498675044625,0.0451066307723522,0.5538762956857681,0.0168394553475081,4.849549055099487,0.0463031372055411,0.8390281796455383,0.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,at,8.0,signed_relu_scalar,scalar_opt,32.0,5.0,1.1944053767365403e-05,1.1944053767365403e-05,0.0023902838001959,0.3812731802463531,1.5511637764184516e-11,3.8740562200546265,0.0461504533886909,0.8387312144041061,0.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,at,8.0,softmax_vector_full,scalar_opt,32.0,5.0,1.5162914678512608e-05,1.5162914678512608e-05,0.0027019534027203,0.3657420054078102,3.283032856415957e-05,4.849549412727356,0.0461735697463154,0.8387922793626785,0.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,at,8.0,softmax_vector_projected,scalar_opt,32.0,5.0,1.7101534922403516e-05,1.7101534922403516e-05,0.0027952389791607,0.3788872063159942,3.305377413198585e-05,4.849550247192383,0.0461617019027471,0.8386814594268799,0.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,at,8.0,linear,jacobi,32.0,5.0,6.883199454746186e-14,6.883199454746186e-14,2.4306921631023215e-07,0.1316124685108661,1.6685072160710357e-11,0.0,0.7229149490594864,0.5241321474313736,8.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,at,8.0,softmax_scalar,jacobi,32.0,5.0,1.0061389048132696e-05,1.0061389048132696e-05,0.0030052828369662,0.5115836411714554,0.00068038686004,4.84955096244812,0.7242162823677063,0.5226974338293076,8.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,at,8.0,signed_relu_scalar,jacobi,32.0,5.0,6.789398517947475e-14,6.789398517947475e-14,2.417760391892898e-07,0.1334482505917549,1.586452583884901e-11,3.873977720737457,0.7227165997028351,0.5229279845952988,8.0,,,,,,,,,,,,,,,,,,,,,,
