tensor,component,fit_start,fit_end,effective_exponent,asymptotic_exponent
V,0000,10,30,1.0618511755732778,1
V,0101,10,30,1.3804078471554988,1
V,0022,10,30,1.5849284830437567,1
V,0103,10,30,1.375558986459085,1
V,0023,10,30,1.612212906919076,1
V,0123,10,30,1.5095761261649976,1
D,0000,10,30,2.061851175573278,2
D,0101,10,30,2.283677706240665,2
D,0022,10,30,2.651291965401186,2
D,0103,10,30,2.2712264657489842,2
D,0023,10,30,2.5398376459966108,2
D,0123,10,30,2.4314806893572873,2
F,0000,10,30,2.0618511755732785,2
F,0101,10,30,2.1910357263412426,2
F,0022,10,30,2.427765470677702,2
F,0103,10,30,1.9608267790114606,2
F,0023,10,30,2.40506824214783,2
F,0123,10,30,2.0210137235548196,2
A,0000,10,30,3.0787215490857585,3
A,0101,10,30,3.1804797088419234,3
A,0022,10,30,3.7522624758559124,3
A,0103,10,30,3.1637507484482894,3
A,0023,10,30,3.6080603150812265,3
A,0123,10,30,3.343189777852956,3
B,0000,10,30,3.091780571453266,3
B,0101,10,30,2.981573396010935,3
B,0022,10,30,3.4259142576546924,3
B,0103,10,30,2.695688978296757,3
B,0023,10,30,3.2481100600961548,3
B,0123,10,30,2.8267619659026093,3
