design,seed,step,loss,spectral_risk_mean,spectral_risk_q99,coverage_rate,upper_ratio_mean,node_loss,mass_loss,validation_spectral_risk,validation_coverage_rate,best_step
pde_elliptic_correlated,0,1,616.7984008789062,16495.029296875,21960.453125,0.8515625,188.177734375,0.2670620381832123,4.820281505584717,1847388109012992.0,0.85888671875,1
pde_elliptic_correlated,0,100,607.661376953125,0.1697867065668106,0.34956610202789307,0.8828125,193.14785766601562,0.12269487231969833,1.9778029918670654,168618928.0,0.861328125,100
pde_elliptic_correlated,0,200,605.59326171875,0.0011248227674514055,0.0024071927182376385,0.8359375,192.4757843017578,0.022008880972862244,1.4220325946807861,0.0011344929225742817,0.8623046875,200
pde_elliptic_correlated,0,300,606.3821411132812,0.00044644673471339047,0.001430171076208353,0.8359375,190.64224243164062,0.011599285528063774,1.3351681232452393,0.0005575407412834466,0.862548828125,300
pde_elliptic_correlated,0,400,602.2568969726562,0.0002690535911824554,0.0020319814793765545,0.90625,190.6630859375,0.018533382564783096,1.2967175245285034,0.000553928199224174,0.862548828125,400
pde_elliptic_correlated,0,500,604.3350830078125,0.0002800118236336857,0.0019940969068557024,0.890625,189.80990600585938,0.009651917964220047,1.3268225193023682,0.0005723565118387341,0.862548828125,400
pde_elliptic_correlated,0,600,599.4476318359375,0.00042863699491135776,0.0038615253288298845,0.875,197.37362670898438,0.01343344897031784,1.287337303161621,0.0005293816211633384,0.862548828125,600
pde_elliptic_correlated,0,700,602.478515625,0.00021025851310696453,0.0022145414259284735,0.890625,193.8436279296875,0.010291645303368568,1.29705810546875,0.0007135319756343961,0.862548828125,600
pde_elliptic_correlated,0,800,603.181884765625,0.000242078400333412,0.002489096950739622,0.8125,195.36453247070312,0.00876758061349392,1.333815336227417,0.00046629380085505545,0.862548828125,800
pde_elliptic_correlated,0,900,603.0554809570312,0.00020409542776178569,0.0029358058236539364,0.8828125,193.91091918945312,0.014138161204755306,1.3380035161972046,0.00043269078014418483,0.862548828125,900
pde_elliptic_correlated,0,1000,602.0733032226562,0.0003593419096432626,0.004356454126536846,0.84375,194.3198699951172,0.010219604708254337,1.3140130043029785,0.000458518392406404,0.862548828125,900
pde_elliptic_correlated,0,1100,605.53369140625,0.00016108746058307588,0.0013902399223297834,0.875,193.39328002929688,0.00620158389210701,1.2523006200790405,0.00038743612822145224,0.862548828125,1100
