model_kind,seed,width,rank,depth,n_train,batch_size,epochs,final_train_mse,output_symmetry_defect,mean_partial_symmetry_defect,mirror_distance_mean,mirror_distance_p20,mirror_weight_mismatch_mean,mirror_weight_mismatch_best20
mmnn,42,256,10,3,384,8,600,0.0952402651309967,0.0020042187484048714,0.4965808453158027,0.06274625595324324,0.031018240377306938,0.8097416722440234,0.6858402543633813
mlp,42,256,10,3,384,8,600,0.10947045683860779,0.00045300766859953203,1.0736652251619865,0.055658666990893835,0.02102726884186268,1.0108175530599186,1.0285383616107366
mmnn,43,256,10,3,384,8,600,0.10677826404571533,0.004209822815650002,0.8506301381149773,0.06535615308894194,0.034570690244436264,0.886851873900377,0.8280756088308364
mlp,43,256,10,3,384,8,600,0.1050797551870346,0.0031404975848256227,1.2894301289119385,0.06980823992853402,0.02803461253643036,1.018532718672102,1.0212418490865867
