L,median_op_norm,scale_L32_sqrt_m_eps,ratio
8,11.143228343280292,5.724334022399462,1.9466418800294605
12,20.54771882146919,10.51627310409919,1.9538974138528025
16,31.60895218352911,16.1908616200621,1.9522711592051685
24,58.40349309052971,29.74451209887296,1.9635048272566102
32,89.29710541455586,45.79467217919569,1.9499452920010882
48,163.71199785509134,84.13018483279352,1.9459365051968511
64,251.98911359234717,129.5268929604968,1.9454578723601357
96,465.50494702193635,237.95609679098368,1.956264005417888
128,718.748823189557,366.35737743356555,1.961878939697054
192,1316.7023020492024,673.0414786623481,1.9563464419252627
256,2012.7298763401,1036.2151436839745,1.9423860851757089
