L,V,C,A,V_over_eps_L,C_over_eps_L2,A_over_eps_L3
8,0.0397802680077315,0.06255416054307052,0.11450724012304515,4.972533500966437,0.9774087584854768,0.22364695336532256
12,0.05989469980673404,0.14457298359265253,0.39593690181576574,4.9912249838945035,1.0039790527267536,0.22913015151375332
16,0.0804944902122667,0.2619588216830431,0.9567852039325024,5.030905638266669,1.023276647199387,0.2335901376788336
24,0.11960193758377917,0.5900985417228785,3.2351148954808795,4.983414065990798,1.0244766349355527,0.23402162149022565
32,0.16053102117415297,1.0604404673011358,7.742023597857139,5.01659441169228,1.0355863938487655,0.2362678099931988
48,0.23860074683287913,2.384844854098897,26.209632059547914,4.970848892351649,1.0350889123693128,0.23699392414955797
64,0.3208176148527716,4.281967829410764,62.74929707316932,5.012775232074556,1.0454023021022372,0.23936957196490982
96,0.4846300204138421,9.722508608469846,213.3312277093057,5.048229379310856,1.0549597014398704,0.2411241632637371
128,0.6352562707695311,16.985834289021113,497.02214707882337,4.962939615386961,1.0367330498670113,0.23699862817708175
192,0.9657271606496939,38.85731657580251,1706.0698220032398,5.029828961717156,1.054072172737698,0.24104221796152184
256,1.2866231185965673,69.02764431915554,4044.549650068628,5.025871557017841,1.0532782641472709,0.24107394516877104
