r,D_or_F_coefficient_per_eps_L_over_r,A_or_B_coefficient_per_eps_L_over_r2
2,6.666666666666667,8.88888888888889
4,5.714285714285714,6.530612244897959
8,5.333333333333333,5.688888888888889
16,5.161290322580645,5.327783558792924
