seed,scenario,category,task,commutator,oracle_graph_residual,oracle_graph_condition,oracle_graph_c1,oracle_graph_c2,equivariant_epsilon,equivariant_condition_bound,equivariant_actual_condition,equivariant_certified,analytic_epsilon,analytic_actual_condition,analytic_certified
17,one obstacle,ID,0,0.06748761981725693,0.0022443390917032957,2346.38671875,0.0,0.47103258967399597,0.8133584260940552,9.715725898742676,5.641058921813965,1.0,1.5123127698898315,8.054631233215332,0.0
17,one obstacle,ID,1,0.07774506509304047,0.0015312648611143231,2810.243896484375,0.0,0.1883033961057663,0.6957623362541199,5.573808193206787,5.291797637939453,1.0,1.323786973953247,7.484249591827393,0.0
17,one obstacle,ID,2,0.07385832816362381,0.001558525487780571,2654.53759765625,0.0,0.2795640230178833,0.8501717448234558,12.348617553710938,5.7885355949401855,1.0,1.4461528062820435,7.847326755523682,0.0
17,one obstacle,ID,3,0.07555828988552094,0.25969213247299194,2298.17041015625,0.0,0.5830762386322021,1.5346823930740356,inf,8.253220558166504,0.0,0.8764404058456421,12.952760696411133,1.0
17,one obstacle,ID,4,0.0782824158668518,0.002476309658959508,2770.48876953125,0.0,0.21960431337356567,0.6779575347900391,5.210361003875732,3.036195755004883,1.0,1.3979741334915161,7.71589994430542,0.0
17,one obstacle,ID,5,0.07865364104509354,0.002037103520706296,2866.8125,0.0,0.16988244652748108,0.8531613349914551,12.620390892028809,5.785467624664307,1.0,1.334517240524292,7.535837173461914,0.0
17,one obstacle,ID,6,0.06277088820934296,0.059359416365623474,1977.3271484375,0.0,0.7911167740821838,0.7197651863098145,6.136871814727783,5.981586456298828,1.0,1.592424988746643,9.36140251159668,0.0
17,one obstacle,ID,7,0.008920012041926384,0.001090868143364787,89.5087661743164,0.0,41.24506378173828,0.6768072843551636,5.188258171081543,3.4920809268951416,1.0,1.474583387374878,7.9054646492004395,0.0
17,one obstacle,ID,8,0.06155756860971451,0.003591559361666441,2181.86572265625,0.0,0.608339786529541,0.7420569658279419,6.753650188446045,5.482996940612793,1.0,1.5362979173660278,8.177045822143555,0.0
17,one obstacle,ID,9,0.052554432302713394,0.017610806971788406,1699.6051025390625,0.0,1.0738269090652466,0.9943541884422302,353.24493408203125,321.80816650390625,1.0,1.5190716981887817,8.137918472290039,0.0
17,one obstacle,ID,10,0.06459607928991318,0.04313071072101593,2186.28125,0.0,0.6260366439819336,0.9537815451622009,42.27275848388672,39.71415710449219,1.0,1.487301230430603,8.014510154724121,0.0
17,one obstacle,ID,11,0.02902771718800068,0.029705369845032692,565.386474609375,0.0,5.6573357582092285,0.6990596652030945,5.645835876464844,5.286051273345947,1.0,1.4386180639266968,14.22438907623291,0.0
17,two obstacles,ID,0,0.061358753591775894,0.5804318189620972,2069.08544921875,0.0,0.803042471408844,0.7889071106910706,8.474501609802246,6.895676612854004,1.0,1.6614258289337158,8.109696388244629,0.0
17,two obstacles,ID,1,0.046880025416612625,0.7480096817016602,1987.386474609375,0.0,0.7849465012550354,0.9962078332901001,526.4029541015625,469.5057678222656,1.0,1.6527894735336304,7.697115421295166,0.0
17,two obstacles,ID,2,0.07123355567455292,0.4632833003997803,1853.3929443359375,0.0,1.0040570497512817,0.9396873712539673,32.16054916381836,29.839113235473633,1.0,1.5830402374267578,7.611800193786621,0.0
17,two obstacles,ID,3,0.04351239651441574,0.3326329290866852,1998.817138671875,0.0,0.9315633177757263,0.8978899121284485,18.586702346801758,17.742046356201172,1.0,1.5851773023605347,7.633139610290527,0.0
17,two obstacles,ID,4,0.058366961777210236,0.7721360325813293,1771.7628173828125,0.0,0.9924166798591614,0.8168613910675049,9.920690536499023,9.828959465026855,1.0,1.4973068237304688,7.09422492980957,0.0
17,two obstacles,ID,5,0.05243891477584839,1.0507489442825317,1910.9488525390625,0.0,0.8609395623207092,0.9826886057853699,114.53084564208984,106.63069915771484,1.0,1.5989569425582886,9.738896369934082,0.0
17,two obstacles,ID,6,0.04749321565032005,1.2427297830581665,2056.540771484375,0.0,0.7658821940422058,0.9147859215736389,22.470298767089844,20.81719970703125,1.0,1.5733331441879272,8.668181419372559,0.0
17,two obstacles,ID,7,0.07042071223258972,1.1230822801589966,1727.8416748046875,0.0,1.0146390199661255,0.8246422410011292,10.405255317687988,5.173371315002441,1.0,1.399627923965454,6.868448734283447,0.0
17,two obstacles,ID,8,0.06017974019050598,0.23872528970241547,2156.0517578125,0.0,0.6367565989494324,0.833313524723053,10.998573303222656,5.34414529800415,1.0,1.5731933116912842,7.591166973114014,0.0
17,two obstacles,ID,9,0.06922145187854767,0.7045804262161255,2520.759521484375,0.0,0.3578007221221924,0.744881272315979,6.839487075805664,5.197943210601807,1.0,1.795670509338379,15.638213157653809,0.0
17,two obstacles,ID,10,0.04889989644289017,0.8621653914451599,2412.54296875,0.48895105719566345,0.0,0.981191098690033,105.33263397216797,92.718994140625,1.0,1.5797020196914673,7.612963676452637,0.0
17,two obstacles,ID,11,0.07369104772806168,1.072671890258789,2256.883056640625,0.0,0.48071178793907166,0.9676803946495056,60.8819465637207,53.94160461425781,1.0,1.0834373235702515,6.036149501800537,0.0
17,three obstacles,ID,0,0.042284414172172546,1.725237488746643,1611.8580322265625,0.6968987584114075,0.0,0.9994040727615356,3355.114501953125,2759.24755859375,1.0,1.3764878511428833,7.351032733917236,0.0
17,three obstacles,ID,1,0.0631321370601654,0.8856940865516663,1751.078125,0.6495171189308167,0.0,0.9913535714149475,230.3093719482422,201.28443908691406,1.0,1.411394715309143,6.551951885223389,0.0
17,three obstacles,ID,2,0.0613560825586319,0.7574349641799927,1712.5909423828125,0.6403234601020813,0.0,0.9394076466560364,32.00746536254883,28.4835262298584,1.0,1.3897625207901,6.520883560180664,0.0
17,three obstacles,ID,3,0.0647769421339035,1.4298771619796753,1764.608154296875,0.6187892556190491,0.0,0.9971492886543274,700.5792846679688,557.364990234375,1.0,1.3868728876113892,6.385993480682373,0.0
17,three obstacles,ID,4,0.0646354928612709,1.2422608137130737,1785.1109619140625,0.645270049571991,0.14395110309123993,0.8702131509780884,14.409881591796875,13.773724555969238,1.0,1.3048245906829834,15.337225914001465,0.0
17,three obstacles,ID,5,0.04854912683367729,1.6194313764572144,1389.6978759765625,0.1800696700811386,0.8242010474205017,0.8989887237548828,18.79977035522461,16.785070419311523,1.0,1.3946057558059692,8.677268028259277,0.0
17,three obstacles,ID,6,0.040449101477861404,1.0433895587921143,1623.38916015625,0.7736244201660156,0.0,0.9307894110679626,27.897314071655273,25.154247283935547,1.0,1.3146508932113647,7.340147495269775,0.0
17,three obstacles,ID,7,0.05925113707780838,1.766478180885315,1468.916748046875,0.669627845287323,0.0,0.9642987251281738,55.020408630371094,51.781829833984375,1.0,1.372989535331726,12.078864097595215,0.0
17,three obstacles,ID,8,0.07830872386693954,1.3755961656570435,1655.27880859375,0.6302016377449036,0.0,0.9083103537559509,20.812713623046875,18.808406829833984,1.0,1.5223437547683716,6.556987762451172,0.0
17,three obstacles,ID,9,0.053865011781454086,1.5084352493286133,1501.0428466796875,0.42152899503707886,0.41347575187683105,0.9893696904182434,187.14126586914062,160.1016845703125,1.0,1.4610787630081177,6.482820510864258,0.0
17,three obstacles,ID,10,0.04528864100575447,1.2208212614059448,1366.3514404296875,0.05955646187067032,0.9933945536613464,0.9975810647010803,825.8099975585938,723.96240234375,1.0,1.2462491989135742,5.864393711090088,0.0
17,three obstacles,ID,11,0.06705689430236816,1.402474284172058,1283.3818359375,0.1687251478433609,0.8303309679031372,0.7096010446548462,5.887077331542969,4.323704719543457,1.0,1.4751572608947754,6.637413501739502,0.0
