model,scenario,category,n_tasks,average_precision_mean,average_precision_ci95,average_precision_q10,auc_mean,auc_ci95,auc_q10,relative_residual_mean,relative_residual_ci95,relative_residual_q10
A-equivariant,180-degree aperture,OOD aperture,12,0.7920329599516633,0.035570433275736994,0.7356132078336529,0.990006552130572,0.0012935076012407477,0.9879291626860098,0.10793200413415131,0.07776303319876761,0.0002569630916696042
A-equivariant,30% noise,OOD noise,12,0.938963087955781,0.013643188656648875,0.9072230915924469,0.9964460765614548,0.0012151066466199137,0.9941543286304575,0.20056336699053645,0.05994226682716333,0.04019705578684808
A-equivariant,four obstacles,ID,12,0.9402357168939144,0.01313641364540407,0.9110552838718332,0.9964157908138936,0.0008090227270946457,0.9952431419023843,0.05294774716215519,0.03695417232588757,0.004476597462780774
A-equivariant,heteroscedastic noise,OOD noise,12,0.9301291225448138,0.019749237602508022,0.8836148438462319,0.9968442590960085,0.0011687004941446292,0.9947298546112998,0.09286023441139453,0.076135163472249,0.0008706304419320079
A-equivariant,mirrored kites,lsmlab-inspired,12,0.9316984802900761,0.021829164833797706,0.8900576106100768,0.9977789016281816,0.0007590955546770834,0.9965363561885301,0.07440388866234571,0.06061242461354545,0.0021984878228977324
A-equivariant,one obstacle,ID,12,0.9887268136356155,0.010517134577685633,0.9596671371334913,0.9998390985386386,0.000143894742772414,0.9994440897704927,0.001209259329092068,0.0018795003894472174,1.2460589641705156e-05
A-equivariant,six obstacles,OOD count,12,0.8069180204371241,0.027340899632202285,0.7391808027022785,0.9814196066313586,0.004869780733817047,0.9687766334094918,0.09694206728696979,0.059554418635552706,0.0042297292035073045
A-equivariant,three obstacles,ID,12,0.9351355223784559,0.023571861311356426,0.885634151633474,0.9975320419911228,0.0010106129177290396,0.9955306620853293,0.11346491028234595,0.06641176891610633,0.00772864352911711
A-equivariant,three stars,OOD shape,12,0.8605468888821558,0.025919701308536443,0.830331793542962,0.9938323483517525,0.0013790184007878893,0.9912869319079184,0.14224044826308577,0.07637456381356235,0.0022557638585567474
A-equivariant,two crescents,OOD shape,12,0.740298383669011,0.05113241964775766,0.6590302730834137,0.9945664121243704,0.0013824784560554503,0.9920749470338983,0.020204018825703923,0.029680252677605153,0.0006508435530122369
A-equivariant,two obstacles,ID,12,0.9315172029460027,0.02141459534414763,0.8963014757211587,0.9979455008182895,0.0007256473821360929,0.9963509896729776,0.06495709452428855,0.04415691564305171,0.0007215022691525519
A-equivariant,wavenumber 12,OOD frequency,12,0.9753797428659144,0.004412305740104114,0.9698136878777175,0.9990733008912437,0.0002623551640019002,0.9983774446525623,0.08789261352649191,0.052624967021587525,0.002565825078636409
analytic-Chebyshev,180-degree aperture,OOD aperture,12,0.7902332481952742,0.03638963093203223,0.7356132078336529,0.9899508456096283,0.0013066109251645129,0.9878044009462768,0.03516813293875506,0.017007057273192735,0.007463841373100877
analytic-Chebyshev,30% noise,OOD noise,12,0.9409819487292705,0.013479713859800818,0.91199534669667,0.9965618634932921,0.0012231513600988904,0.9945050489643295,0.009183132875477895,0.003668817204978132,0.003121296083554626
analytic-Chebyshev,four obstacles,ID,12,0.9401843045743297,0.013160823711209156,0.9109984317858142,0.9964138184988505,0.0008123919172328381,0.9952559986508803,0.011401979776564986,0.004959090461256315,0.004040000960230827
analytic-Chebyshev,heteroscedastic noise,OOD noise,12,0.9336786868915948,0.020270987835530312,0.8836148438462319,0.9969663631339319,0.0012103025010329776,0.9947142949064897,0.02132737569627352,0.008746500857382815,0.0031491292407736186
analytic-Chebyshev,mirrored kites,lsmlab-inspired,12,0.9361414082234281,0.02059831126882845,0.8924186692620807,0.9979748858459413,0.0006886892785270186,0.9966386366306125,0.03431055706460029,0.02029542038785937,0.002326798322610557
analytic-Chebyshev,one obstacle,ID,12,0.9887268136356155,0.010517134577685631,0.9596671371334913,0.9998390985386386,0.000143894742772414,0.9994440897704927,0.00046277182354970137,0.0005453526187006479,1.9643790074042046e-05
