step,variant,seed,n_context,train_mse,eta,beta,fixed_lengthscale
1,mismatched,3,9,0.3108217716217041,1.0792738199234009,0.11396940052509308,0.09000000357627869
100,mismatched,3,7,0.38054442405700684,2.8235905170440674,0.6862415671348572,0.09000000357627869
200,mismatched,3,16,0.1419249176979065,2.409344434738159,0.5408247709274292,0.09000000357627869
300,mismatched,3,6,0.4925824999809265,2.77567720413208,0.6693534255027771,0.09000000357627869
400,mismatched,3,8,0.3451208174228668,2.7204270362854004,0.6446123123168945,0.09000000357627869
500,mismatched,3,8,0.3860374391078949,2.670649290084839,0.628944456577301,0.09000000357627869
600,mismatched,3,14,0.15079881250858307,2.5524725914001465,0.567829430103302,0.09000000357627869
700,mismatched,3,9,0.2753449082374573,2.652400493621826,0.615441083908081,0.09000000357627869
800,mismatched,3,13,0.16090400516986847,2.591141939163208,0.5831896066665649,0.09000000357627869
900,mismatched,3,16,0.11637645959854126,2.5384106636047363,0.5609138607978821,0.09000000357627869
1000,mismatched,3,8,0.35468578338623047,2.6813390254974365,0.6295239925384521,0.09000000357627869
1100,mismatched,3,13,0.17200152575969696,2.576310634613037,0.5733289122581482,0.09000000357627869
1200,mismatched,3,14,0.1275373250246048,2.570798873901367,0.5670179128646851,0.09000000357627869
1300,mismatched,3,8,0.36492621898651123,2.6427853107452393,0.6245279908180237,0.09000000357627869
1400,mismatched,3,7,0.40601933002471924,2.662896156311035,0.6343666315078735,0.09000000357627869
1500,mismatched,3,6,0.4726758897304535,2.7132277488708496,0.6632463335990906,0.09000000357627869
1600,mismatched,3,14,0.14582309126853943,2.547255039215088,0.5580872297286987,0.09000000357627869
1700,mismatched,3,11,0.2569129168987274,2.613471031188965,0.5926052331924438,0.09000000357627869
1800,mismatched,3,9,0.2928280532360077,2.630918264389038,0.6044776439666748,0.09000000357627869
1900,mismatched,3,6,0.4488683342933655,2.669015884399414,0.6492329835891724,0.09000000357627869
2000,mismatched,3,13,0.19302797317504883,2.6213455200195312,0.5922902822494507,0.09000000357627869
2100,mismatched,3,6,0.42065802216529846,2.6782455444335938,0.6410205364227295,0.09000000357627869
2200,mismatched,3,10,0.28366419672966003,2.6577906608581543,0.6198833584785461,0.09000000357627869
2300,mismatched,3,13,0.17691273987293243,2.604405164718628,0.5731051564216614,0.09000000357627869
2400,mismatched,3,13,0.18206551671028137,2.6024603843688965,0.5805568099021912,0.09000000357627869
2500,mismatched,3,15,0.11640365421772003,2.5647029876708984,0.5573536157608032,0.09000000357627869
2600,mismatched,3,16,0.13110177218914032,2.5703752040863037,0.5569186210632324,0.09000000357627869
2700,mismatched,3,12,0.20966553688049316,2.631279945373535,0.5959739089012146,0.09000000357627869
2800,mismatched,3,6,0.46959662437438965,2.681906223297119,0.6396557092666626,0.09000000357627869
2900,mismatched,3,13,0.1998269259929657,2.5875449180603027,0.5735337734222412,0.09000000357627869
3000,mismatched,3,7,0.41786983609199524,2.695168972015381,0.6507495641708374,0.09000000357627869
3100,mismatched,3,6,0.44679057598114014,2.690789222717285,0.6531565189361572,0.09000000357627869
3200,mismatched,3,15,0.14325545728206635,2.5474369525909424,0.5621588826179504,0.09000000357627869
3300,mismatched,3,13,0.18339326977729797,2.6146347522735596,0.5860016942024231,0.09000000357627869
3400,mismatched,3,9,0.32524949312210083,2.648621082305908,0.6266211271286011,0.09000000357627869
3500,mismatched,3,6,0.4524790942668915,2.7139344215393066,0.6606210470199585,0.09000000357627869
3600,mismatched,3,8,0.35389459133148193,2.699955463409424,0.6425607800483704,0.09000000357627869
3700,mismatched,3,16,0.11073261499404907,2.5873875617980957,0.5688285827636719,0.09000000357627869
3800,mismatched,3,15,0.13796409964561462,2.572262763977051,0.5679129362106323,0.09000000357627869
3900,mismatched,3,16,0.12408174574375153,2.53657865524292,0.552709698677063,0.09000000357627869
4000,mismatched,3,9,0.2958012819290161,2.627971649169922,0.6045805215835571,0.09000000357627869
4100,mismatched,3,16,0.1314155012369156,2.539938449859619,0.5477486848831177,0.09000000357627869
4200,mismatched,3,10,0.25297385454177856,2.621492385864258,0.5959475636482239,0.09000000357627869
4300,mismatched,3,6,0.4571353495121002,2.7211573123931885,0.6600191593170166,0.09000000357627869
4400,mismatched,3,14,0.16199512779712677,2.5703790187835693,0.5596042275428772,0.09000000357627869
4500,mismatched,3,13,0.1865827739238739,2.6084823608398438,0.5851335525512695,0.09000000357627869
4600,mismatched,3,12,0.2137519270181656,2.6054258346557617,0.5964897871017456,0.09000000357627869
4700,mismatched,3,10,0.27896732091903687,2.6589746475219727,0.6123480796813965,0.09000000357627869
4800,mismatched,3,16,0.13237151503562927,2.5666046142578125,0.5562601089477539,0.09000000357627869
4900,mismatched,3,14,0.1553729921579361,2.5854554176330566,0.5710222721099854,0.09000000357627869
5000,mismatched,3,15,0.1312941014766693,2.5998642444610596,0.5686625242233276,0.09000000357627869
