variant,seed,n_context,method,mse,se,episodes,parameters,eta,beta
mismatched,3,4,model,0.6037214994430542,0.005397317465394735,5120,1346,2.7168185710906982,0.6647131443023682
mismatched,3,4,exact_krr,0.5145028233528137,0.004990946967154741,5120,1346,2.7168185710906982,0.6647131443023682
mismatched,3,4,nw,0.8472551107406616,0.009375900030136108,5120,1346,2.7168185710906982,0.6647131443023682
mismatched,3,8,model,0.3547888696193695,0.0036996647249907255,5120,1346,2.6977298259735107,0.6343504786491394
mismatched,3,8,exact_krr,0.24020680785179138,0.002975265495479107,5120,1346,2.6977298259735107,0.6343504786491394
mismatched,3,8,nw,0.47212380170822144,0.005492816679179668,5120,1346,2.6977298259735107,0.6343504786491394
mismatched,3,12,model,0.20631834864616394,0.0024874466471374035,5120,1346,2.646252155303955,0.5965768694877625
mismatched,3,12,exact_krr,0.111114501953125,0.0016803126782178879,5120,1346,2.646252155303955,0.5965768694877625
mismatched,3,12,nw,0.32468581199645996,0.0034387586638331413,5120,1346,2.646252155303955,0.5965768694877625
mismatched,3,16,model,0.12153537571430206,0.0017657553544268012,5120,1346,2.5834145545959473,0.5595783591270447
mismatched,3,16,exact_krr,0.05602889135479927,0.001087087206542492,5120,1346,2.5834145545959473,0.5595783591270447
mismatched,3,16,nw,0.2640298306941986,0.0025681916158646345,5120,1346,2.5834145545959473,0.5595783591270447
mismatched,3,24,model,0.04227294400334358,0.0008009159937500954,5120,1346,2.445051908493042,0.49131184816360474
mismatched,3,24,exact_krr,0.017933592200279236,0.0004082866362296045,5120,1346,2.445051908493042,0.49131184816360474
mismatched,3,24,nw,0.21032896637916565,0.0017511793412268162,5120,1346,2.445051908493042,0.49131184816360474
