variant,seed,n_context,method,mse,se,episodes,parameters,eta,beta
matched,4,4,model,0.5086402893066406,0.004912194795906544,5120,1346,2.455859422683716,0.6267264485359192
matched,4,4,exact_krr,0.5067724585533142,0.004896026104688644,5120,1346,2.455859422683716,0.6267264485359192
matched,4,4,nw,0.8295276761054993,0.009050258435308933,5120,1346,2.455859422683716,0.6267264485359192
matched,4,8,model,0.24389581382274628,0.002981525380164385,5120,1346,2.435851812362671,0.596733033657074
matched,4,8,exact_krr,0.23802193999290466,0.0029353522695600986,5120,1346,2.435851812362671,0.596733033657074
matched,4,8,nw,0.4563285708427429,0.005222649779170752,5120,1346,2.435851812362671,0.596733033657074
matched,4,12,model,0.12200112640857697,0.0019469758262857795,5120,1346,2.425917148590088,0.5876250267028809
matched,4,12,exact_krr,0.11452273279428482,0.0018878800328820944,5120,1346,2.425917148590088,0.5876250267028809
matched,4,12,nw,0.33020275831222534,0.0037504713982343674,5120,1346,2.425917148590088,0.5876250267028809
matched,4,16,model,0.06305720657110214,0.0011779790511354804,5120,1346,2.4130985736846924,0.5810954570770264
matched,4,16,exact_krr,0.05658448487520218,0.0011137031251564622,5120,1346,2.4130985736846924,0.5810954570770264
matched,4,16,nw,0.25999850034713745,0.002569168573245406,5120,1346,2.4130985736846924,0.5810954570770264
matched,4,24,model,0.021507827565073967,0.0004022548673674464,5120,1346,2.375544309616089,0.5658268332481384
matched,4,24,exact_krr,0.017173752188682556,0.00035374180879443884,5120,1346,2.375544309616089,0.5658268332481384
matched,4,24,nw,0.2109755575656891,0.0017788097029551864,5120,1346,2.375544309616089,0.5658268332481384
