seed,preconditioner,condition_mean,hb10_mean_h_relative_squared,chebyshev10_mean_h_relative_squared,pcg4_mean_h_relative_squared,pcg8_mean_h_relative_squared,jury_violation_rate
0,global_covariance,18.040518448794952,0.07658164477177358,0.0010313635875035716,0.007042874495290247,2.0346839176083185e-07,0.000732421875
0,jacobi,14.784271020144661,0.0005887267675214345,0.0005017108855970402,0.007135722123520915,1.722248008844156e-08,0.0
0,learned_prompt_head,2.751468940175299,6.096094661757846e-12,3.8716116009663257e-11,1.6391701087248426e-07,3.154177769145005e-20,0.0
0,direct_inverse,1.0000010653942604,9.896775161676303e-81,4.6345793213235e-120,1.2370323547580598e-31,1.2370323547580598e-31,0.0
1,global_covariance,6.1562025010847625,0.01201305988973992,1.789329975512313e-06,0.0008235752758352628,4.156593025581481e-13,0.000732421875
1,jacobi,5.252368943760203,2.013162435774421e-05,4.994327135618001e-07,0.00046614102748767473,2.012539851590029e-14,0.0
1,learned_prompt_head,2.2607330053414696,1.7545742327091885e-13,4.136973568536485e-13,1.5039985882744288e-06,1.5431771482314845e-18,0.0
1,direct_inverse,1.0000002696228307,9.900195804405941e-81,1.3289191545078036e-136,6.756903765336269e-32,6.756903765336269e-32,0.0
2,global_covariance,5.062546914465335,2.0131152073159174e-05,6.624921427869862e-07,0.0004000402722517236,3.2769877158865985e-13,0.0
2,jacobi,4.393055404758453,8.721166077576053e-05,1.7806246393091426e-07,0.00022567975137136287,1.0338785435719378e-14,0.0
2,learned_prompt_head,2.2053796998274953,2.416423384287563e-13,3.3914730975021687e-13,1.1947153042307633e-06,1.3964371334841726e-18,0.0
2,direct_inverse,1.0000002291316217,9.900269495008206e-81,1.4187383784935418e-138,6.283159323234636e-32,6.283159323234636e-32,0.0
