seed,controller,steps,depth,eval_examples,u_mse,u_relative,operator_relative,subspace_overlap,step_scale,momentum
0,heavy_ball,1000,40,2048,1.109777159058467e-09,2.9777773306705058e-05,2.2410018573282287e-05,0.9999998211860657,0.7499600648880005,0.0799940973520279
1,heavy_ball,1000,40,2048,1.0503558023344794e-09,2.908823807956651e-05,2.123499143635854e-05,0.9999998211860657,0.7498714327812195,0.07994400709867477
2,heavy_ball,1000,40,2048,1.02759245557138e-09,2.901181869674474e-05,2.12606719287578e-05,0.9999999403953552,0.74995356798172,0.07999024540185928
0,richardson,1000,40,2048,1.1084030360208885e-09,2.9766859370283782e-05,2.240928733954206e-05,0.9999998211860657,0.7499704360961914,0.0
1,richardson,1000,40,2048,1.0482053003357805e-09,2.907219823100604e-05,2.1239065972622484e-05,0.9999998211860657,0.7499471306800842,0.0
2,richardson,1000,40,2048,1.028365836930334e-09,2.9019736757618375e-05,2.126468825736083e-05,0.9999998211860657,0.7499687671661377,0.0
