scenario,examples,prompt_length,z_scale,noise_std,effective_condition_mean,hb_u_mse,hb_u_mse_ci95_halfwidth,pcg_u_mse,pcg_u_mse_ci95_halfwidth,hb_solver_u_mse,richardson_u_mse
in_distribution,4096,16,0.5,0.0,1.7851116505626123,3.1162232736115696e-08,1.0104310698703723e-09,3.108038200628138e-08,1.0078794525198451e-09,3.588903637785492e-12,3.295969742294659e-08
short_prompt,2048,8,0.5,0.0,1.907709245395381,1.0176569845436658e-07,4.014507090798932e-09,1.0164651044204231e-07,4.009666739527385e-09,1.5162281833006182e-12,1.0774201800829372e-07
long_prompt,2048,32,0.5,0.0,1.7293426467222162,1.371726767197541e-08,5.018545925314887e-10,1.3628572320944231e-08,4.962780227009731e-10,1.1952257999130833e-11,1.4406318672613265e-08
latent_scale_ood,4096,16,1.0,0.0,2.019262085057562,3.360568733880903e-04,6.884204579096714e-05,3.353239116075712e-04,6.872702518276471e-05,1.0096617646225704e-07,4.576642238283904e-04
noisy_prompt,2048,16,0.5,0.01,1.7876853455090895,1.8847992107884348e-06,5.6965607282348354e-08,1.884719029178819e-06,5.6957301877583737e-08,1.7450433987717615e-12,1.8864688227059057e-06
