scenario,controller,depth,examples,u_mse,u_mse_ci95_halfwidth,u_mse_over_pcg,solver_u_mse,interval_coverage
nominal,pcg,16,4096,9.299747859016868e-10,1.8151582279699888e-11,1.0,6.83964171437814e-14,nan
nominal,robust_global_hb,32,4096,9.300603464208599e-10,1.8152887008721724e-11,1.0000920030526312,6.227389053547226e-14,nan
nominal,learned_chebyshev,32,4096,9.300967903623931e-10,1.8154100495948743e-11,1.000131191149003,6.832941962028916e-14,0.999755859375
nominal,shuffled_chebyshev,32,4096,9.300550850164157e-10,1.8161657226095224e-11,1.0000863454751099,6.834062804983476e-14,0.918212890625
nominal,constant_chebyshev,32,4096,9.301129648817315e-10,1.8154349716022198e-11,1.0001485835768231,6.585080881792812e-14,0.976806640625
ood,pcg,16,8192,1.56592257249428e-09,2.444735173258457e-11,1.0,1.1103822699692475e-13,nan
ood,robust_global_hb,32,8192,1.778433576926568e-09,3.9069918291335656e-10,1.1357097778428404,2.1019841593623412e-10,nan
ood,robust_global_hb,40,8192,1.5915425289857719e-09,5.396454937385502e-11,1.0163609344047473,2.5077957800057317e-11,nan
ood,learned_chebyshev,32,8192,1.645137401196156e-09,1.5685478297486724e-10,1.0505866829518262,7.754914134376587e-11,0.982177734375
ood,shuffled_chebyshev,32,8192,0.002041735217043906,0.0023872282176534048,1303854.5154833088,0.0020417068849689912,0.830322265625
ood,constant_chebyshev,32,8192,0.0010542482203118493,0.0014713515297082303,673244.1557647323,0.0010542441665281543,0.9813232421875
ood,oracle_chebyshev,32,8192,1.5658925212671008e-09,2.445216648555161e-11,0.9999808092509125,1.0633780813551446e-13,1.0
