prompt_length,condition_number,learned_scaled_block_pcg_mse,block_jacobi_pcg_mse,jacobi_pcg_mse,chebyshev_jacobi_mse
16,10,0.004694287848275349,0.010228466517960921,0.022666449926124592,0.05808902374916654
16,100,0.0039098410581474025,0.00980361540008865,0.046405132295022154,0.1194838047949146
16,1000,0.0012584558933619817,0.004555634797955442,0.026958677553817385,0.09478374674748162
32,10,0.0001419602160245311,0.00026746737774823543,0.0013783889404038131,0.0052927690648041726
32,100,0.00019093702258329346,0.0004916064928828395,0.0031958628479200335,0.012272312697765969
32,1000,0.00015819298377424737,0.00044011614182939035,0.004834024793007302,0.017135767842710377
64,10,0.000004304261627428681,0.00000794414723933456,0.000053859501897860634,0.0002933808351521418
64,100,0.000009357589828444248,0.00001677006945942481,0.0001608019905648477,0.0008442438990838143
64,1000,0.000024822449287703826,0.00004603108924736187,0.0004840678685537407,0.002055349717090593
128,10,0.00000033998177594837995,0.0000005050472638128662,0.000003095660934610126,0.000022530007162386962
128,100,0.0000008000496984336484,0.0000011861532449357264,0.0000116582479140834,0.00006019571361694752
128,1000,0.0000018088661675482645,0.0000025921473851263684,0.000040969252899847786,0.0002719702151414705
