refinement_steps,effective_condition_mean,learned_hb10_h_relative_squared,oracle_hb10_h_relative_squared,oracle_chebyshev10_h_relative_squared,pcg4_h_relative_squared,jury_violation_rate,interval_head_training_refinement
0,13.378575899405405,0.001067314217682025,0.0010374504328665712,0.0002891157300375924,0.0005786890131083515,0.0,2
1,13.716983885504305,0.0009486321503642259,0.0012486327849234452,0.00033984998498801794,0.0010186231229670274,0.0,2
2,14.137759061064571,0.0008355359808005502,0.001563946332249537,0.00040966372422459457,0.0015854910459358962,0.0,2
4,13.996930884895846,0.0007650085790338323,0.0017579100424493527,0.0004499145234355623,0.0022225957487443065,0.0,2
8,8.686707998043858,0.0001384038563904122,0.0002830296809450371,8.399429259008974e-05,0.0002660222053634636,0.0,12
12,5.4370744700718205,5.017559534237215e-05,4.1569263234380726e-05,1.3167699050336058e-05,3.856825961657574e-06,0.0,12
16,3.8269962786580436,3.8818019094888356e-05,1.1625332186358906e-05,4.266264900806634e-06,5.842393540807422e-09,0.0,12
24,2.6120966820744798,2.8610494956615717e-05,2.5255984650215687e-06,9.087083982748754e-07,5.587890279598305e-12,0.0,12
32,2.320361715159379,2.5018876886717667e-05,5.145047450587026e-07,1.6582173422008267e-07,1.0781658303599584e-11,0.0,12
