prompt_length,condition_number,learned_pcg_mse,jacobi_pcg_mse,chebyshev_jacobi_mse,richardson_jacobi_mse
16,10,0.016393681178090144,0.022666449926124592,0.05808902374916654,0.17249127936154718
16,100,0.029025430900486697,0.046405132295022154,0.1194838047949146,0.3359602167387839
16,1000,0.014540196623586353,0.026958677553817385,0.09478374674748162,0.4800193589141068
32,10,0.0009219364790393417,0.0013783889404038131,0.0052927690648041726,0.051940705219836056
32,100,0.001490183191653654,0.0031958628479200335,0.012272312697765969,0.13508298867337884
32,1000,0.0018358025803500667,0.004834024793007302,0.017135767842710377,0.22041781917502087
64,10,0.00002769911639739229,0.000053859501897860634,0.0002933808351521418,0.010769205150599103
64,100,0.00008290585809610317,0.0001608019905648477,0.0008442438990838143,0.02786227338939004
64,1000,0.00030254106917122585,0.0004840678685537407,0.002055349717090593,0.08571061000495747
128,10,0.0000023890906507902532,0.000003095660934610126,0.000022530007162386962,0.002013982411875985
128,100,0.000007139464340688866,0.0000116582479140834,0.00006019571361694752,0.005492428023885829
128,1000,0.000021403492286430402,0.000040969252899847786,0.0002719702151414705,0.0244928592147529
