seed,regime,hb_h_relative_squared,pcg_h_relative_squared,cheb_oracle_h_relative_squared,hb_over_pcg_h,hb_solver_u_mse,pcg_solver_u_mse,hb_over_pcg_u,fallback_rate,jury_min
0,nominal,1.0767053901399267e-11,2.416586426680656e-11,4.0057047678108833e-11,0.4455480583075417,1.8283405882873683e-13,2.1024357564016768e-13,0.8696297057925694,0.0,0.5262589454650879
0,shift,1.4698116739669127e-11,2.6276156169912116e-11,4.8137604358655214e-11,0.5593708853237603,4.479450655718272e-13,5.17206640251977e-13,0.8660852949482505,0.0,0.5200673341751099
1,nominal,1.6463129319832386e-12,3.500392802041195e-11,6.627307703318365e-13,0.0470322339545213,1.4194205654855674e-13,2.3483556930275406e-13,0.6044316751929628,0.0,0.6955490112304688
1,shift,3.593069427262017e-12,3.406277266244119e-11,2.1514579870509418e-12,0.1054837626657404,5.808304659109151e-13,5.939467756250667e-13,0.9779166917770569,0.0,0.6791064739227295
2,nominal,5.916222507634868e-13,3.60159482810097e-11,5.795119891837756e-13,0.01642667426517364,1.2051282964703916e-13,2.3878036419266733e-13,0.50470159074638,0.0,0.5962001085281372
2,shift,1.787396100625769e-12,3.513344012312085e-11,1.9696415172788827e-12,0.05087449718450734,3.583081682874318e-13,6.082320458706018e-13,0.5890978134415167,0.0,0.5695450305938721
