dimension,batch_size,exact_spectrum_head_ms,prompt_nystrom_r2_ms,prompt_nystrom_r8_ms,prompt_nystrom_r12_ms,cholesky_ms,cholesky_solve_ms,direct_solve_ms
256,1,5.718,2.028,2.640,3.047,0.143,0.216,0.604
512,1,15.103,2.051,2.672,3.078,0.261,0.366,1.263
1024,1,12.400,2.045,2.686,3.102,0.504,0.671,2.623
2048,1,31.164,4.162,4.805,5.242,1.042,1.343,6.028
