seed,scenario,examples,encoder_steps,broad_interval_steps,tail_interval_steps,hb_u_mse,hb_u_mse_ci95_halfwidth,pcg_u_mse,pcg_u_mse_ci95_halfwidth,hb_over_pcg,hb_solver_u_mse,jury_violation_rate,jury_margin_min
0,in_distribution,2048,5000,2000,2000,3.166802427429817e-08,1.3829553363378904e-09,3.162390604488337e-08,1.3808243403626915e-09,1.0013950910855915,6.819788274121027e-13,0.0,0.5825556516647339
0,latent_scale_ood,2048,5000,2000,2000,3.272004387728925e-04,9.521473737300302e-05,3.2694566819250776e-04,9.527882176910101e-05,1.000779244397986,4.4201982247260915e-07,0.0,0.5124374628067017
1,in_distribution,2048,2000,1500,2500,2.637788447070648e-08,1.2035081019856582e-09,2.6257586349903543e-08,1.1968055520420905e-09,1.0045814614945894,6.892487206145257e-13,0.0,0.6100789308547974
1,latent_scale_ood,2048,2000,1500,2500,3.380332851071566e-04,9.762258154346671e-05,3.354644720825571e-04,9.731305737072728e-05,1.0076574816064792,1.5340556273409502e-06,0.0,0.42249953746795654
2,in_distribution,2048,2000,1500,2000,2.4536911521371753e-08,1.0866081690220533e-09,2.4457417192663092e-08,1.082722909587093e-09,1.0032503157664787,3.712346961460489e-12,0.0,0.5296057462692261
2,latent_scale_ood,2048,2000,1500,2000,3.1590779802557816e-04,8.92280368055721e-05,3.1006891830349026e-04,8.841328174448807e-05,1.0188309094443737,3.413126152788275e-06,0.0,0.4525679349899292
