seed,regime,depth,z_scale,coefficients,alpha,beta,effective_condition_mean,jury_margin_min,fallback_rate,hb_h_relative_squared,pcg_h_relative_squared,hb_solver_u_mse,pcg_solver_u_mse
0,nominal,40,0.5,trained,0.7500002384185791,0.08000658452510834,2.752453739696648,0.6964207887649536,0.0,1.3097699836647108e-12,2.4112001347445836e-11,1.3419579671022755e-13,2.1107553839963262e-13
0,shifted,40,1.0,trained,0.7500002384185791,0.08000658452510834,2.7668072859814856,0.6951344013214111,0.0,1.355865715128006e-12,2.577802081955541e-11,1.8354509088798593e-13,5.096077402264747e-13
1,nominal,40,0.5,trained,0.7500002384185791,0.08000658452510834,2.259875052375719,0.7087624073028564,0.0,2.489974058616817e-13,3.476213587099646e-11,1.0313416573793163e-13,2.295387353478872e-13
1,shifted,40,1.0,trained,0.7500002384185791,0.08000658452510834,2.323459874110995,0.6889431476593018,0.0,2.5989151264738444e-13,3.440438233895831e-11,1.475495234963931e-13,5.885818988234715e-13
2,nominal,40,0.5,trained,0.7500002384185791,0.08000658452510834,2.205731889218441,0.7040365934371948,0.0,2.2264207017194178e-13,3.697253738068851e-11,1.0076360547903084e-13,2.42190816635121e-13
2,shifted,40,1.0,trained,0.7500002384185791,0.08000658452510834,2.2754660153004806,0.6851872205734253,0.0,2.39588584838444e-13,3.5623650233945136e-11,1.4459227345663082e-13,6.110336848082826e-13
0,nominal,8,0.5,trained,0.7500002384185791,0.08000658452510834,2.752453739696648,0.6964207887649536,0.30517578125,1.2434736098121448e-08,2.4112001347445836e-11,3.095739516470256e-11,2.1107553839963262e-13
0,nominal,8,0.5,spectral_predicted,0.817094997782094,0.07236087515663131,2.752453739696648,0.5501967668533325,0.0003662109375,8.775572653625819e-10,2.4112001347445836e-11,2.2121909097735325e-12,2.1107553839963262e-13
0,shifted,8,1.0,trained,0.7500002384185791,0.08000658452510834,2.7668072859814856,0.6951344013214111,0.36328125,2.025454230400277e-08,2.577802081955541e-11,4.103440362142539e-10,5.096077402264747e-13
0,shifted,8,1.0,spectral_predicted,0.817094997782094,0.07236087515663131,2.7668072859814856,0.5487953424453735,0.00537109375,1.239610484201717e-09,2.577802081955541e-11,3.3095978246660514e-11,5.096077402264747e-13
0,extrapolation,8,1.5,trained,0.7500002384185791,0.08000658452510834,2.815980919433059,0.6831153631210327,0.4793701171875,4.777188315187e-08,2.828204723788642e-11,2.7883962573732322e-08,3.704848366643985e-12
0,extrapolation,8,1.5,spectral_predicted,0.817094997782094,0.07236087515663131,2.815980919433059,0.5357010364532471,0.051513671875,4.794818249451189e-09,2.828204723788642e-11,8.4102783919921e-09,3.704848366643985e-12
