dimension,prompt_length,depth,slots,learned_pcg_mse,block_jacobi_pcg_mse,relative_reduction,slow_space_overlap,learned_runtime_ms,block_jacobi_runtime_ms,direct_runtime_ms
8,32,4,2,0.00019093702258329346,0.0004916064928828395,0.6116133021553455,0.5195140028093411,4.805373500857968,2.3548850003862754,0.1947759992617648
16,64,4,4,0.00277281817892858,0.003570523770797751,0.2234142313446703,0.39725494566427877,14.240628999687033,6.281856996793067,0.5324074991222005
32,128,8,8,0.000006117165055039493,0.000006792823443057607,0.09946502997116857,0.35902226913088253,31.167172997811576,21.313315497536678,1.5735330016468652
