scenario,component,batch,K,M,hb_depth,pcg_depth,fallback_rate,median_ms,mean_ms,q95_ms
latency_matched_ood,robust_global_hb,2048,8,512,32,16,0.0,0.7772799730300903,0.8125766515731812,0.8413040041923523
latency_matched_ood,pcg,2048,8,512,32,16,0.0,0.7660160064697266,0.8579023480415344,0.8117405772209167
naive_hybrid_nominal,certified_hb_pcg,2048,8,512,16,16,0.0,2.84879994392395,2.730721950531006,NA
naive_hybrid_ood,certified_hb_pcg,2048,8,512,16,16,0.0029296875,3.591007947921753,3.617637872695923,NA
