variant,refinement_steps,depth,condition_mean,h_risk_mean,h_risk_median,h_risk_q95,h_risk_q99,h_risk_max,jury_violation_rate,fallback_rate,notes
learned_hb,4,10,1.6465523146,3.8263292915e-05,1.0473010653e-10,2.3736199534e-10,6.7792294334e-10,2.4126520753e-01,1.2207031250e-04,0,interval MLP from matrix-free prompt invariants
certified_hb_pcg,4,10,1.6465523146,1.6058554185e-10,1.0404428707e-10,2.3004346969e-10,3.5520352326e-10,9.9044335400e-08,0,8.0566406250e-03,HB-10 with residual-triggered PCG fallback
oracle_hb,4,10,1.6465523146,1.7595641657e-12,9.4562649811e-13,4.0789577228e-12,8.8870761097e-12,1.3155110334e-09,0,0,exact endpoints used only as oracle
oracle_chebyshev,4,10,1.6465523146,1.6129528171e-12,9.4048466931e-13,3.9654722431e-12,8.9013621734e-12,6.8614497417e-10,0,0,exact endpoints used only as oracle
pcg,4,4,1.6465523146,6.3314439903e-10,2.1340988872e-12,5.0824852660e-10,7.1415293545e-09,1.0702699456e-06,0,0,same learned preconditioner; four PCG steps
