initialization,dictionary_projection,steps,u_mse,A_rel,A0_rel,Abasis_rel_raw,G_rel_oracle_raw,b_rel_oracle_raw,oracle_true_dictionary_u_mse
dense_random,none,3000,0.0013972973683848977,0.06897041201591492,0.5029727696199124,1.2459832060948128,1.8215349912643433,19.23177719116211,3.900460843198061e-09
true_A0_random_basis,elliptic_1d_euclidean_ridge,3000,1.7950103483599378e-06,0.0024075398687273264,0.0,0.974531608116781,0.9761613011360168,0.0,3.900460843198061e-09
true_A0_learned_subspace,elliptic_1d_covariant_ridge,250,9.561572644756211e-10,2.1342617401387542e-05,0.0,0.9746431432983449,0.9771407246589661,0.0,8.827120701049296e-10
