seed,coverage,depth,population_interval_mean_risk,oracle_interval_mean_risk,mean_ratio,population_interval_cvar,oracle_interval_cvar,cvar_ratio
0,0.290283203125,8,9.550564046219918e-09,7.199984446136809e-09,1.326470094160318,3.4705438634673766e-08,1.7093387371307517e-08,2.030342955482852
0,0.290283203125,10,6.501714581099368e-11,3.803947817595229e-11,1.7092018326396514,3.2723804459581544e-10,1.0426268379572728e-10,3.13859218545481
1,0.114013671875,8,5.625991208592557e-10,1.8044345168508335e-10,3.1178694244949643,4.752432646102586e-09,1.1862007329620366e-09,4.00643205997301
1,0.114013671875,10,3.348203126185564e-12,5.259157529399144e-13,6.366424864569695,3.705642833871925e-11,4.667438959123001e-12,7.939349322670532
2,0.10546875,8,5.989744056033628e-10,1.4605694996609446e-10,4.100964765746569,4.955171399448036e-09,9.64196925923873e-10,5.139169464474382
2,0.10546875,10,3.851366662685676e-12,3.8202431460106126e-13,10.08146998891305,4.183949659052404e-11,3.2420103921132554e-12,12.905417173339657
