tag,K,prompt_len,design,cond,noise_var,prior_var,depth,heads,d_head,capacity_rank,attention,head_scheme,precond,temperature,eta_multiplier,scale_linear_by_m,seed,batch_size,eval_batches,beta_mse_post,beta_mse_true,pred_mse_y,mean_mse_exact,exact_pred_mse_y,nll_iter,nll_exact,coverage_iter,width_iter,coverage_exact,width_exact,contraction_radius_mean,contraction_radius_max,precond_rank,eta_mean,proj_rank,proj_max,proj_min_nonzero,capacity_ge_K,first_grad_mse,last_grad_mse,attn_rank_first,attn_rank_last,attn_effrank_first,attn_effrank_last,layer_first_beta_mse_post,layer_last_beta_mse_post,layer_decay_ratio,log10_beta_mse_post,log10_beta_mse_true
K16_H1_dh1,16,128,isotropic,10.0,0.02,1.0,32,1,1,1.0,linear,random_orthogonal,scalar_opt,0.5,1.0,False,0,1024,8,0.9332689493894577,0.9358538687229156,0.9333731532096863,0.9154253527522087,0.022422637790441513,19.199970960617065,-0.4804525449872017,0.249267578125,0.5926328673958778,0.953369140625,0.5926328673958778,0.5721996277570724,0.6859384849667549,0.0,0.002298556239111349,1.0,1.000000238418579,1.000000238418579,0.0,168470.5234375,164893.70703125,1.0,1.0,1.0,1.0,0.9334592968225479,0.9332689493894577,0.9997949819578997,-0.029993183258900834,-0.02879195998186011
K16_H1_dh2,16,128,isotropic,10.0,0.02,1.0,32,1,2,2.0,linear,random_orthogonal,scalar_opt,0.5,1.0,False,0,1024,8,0.8921154662966728,0.8948274627327919,0.91155955940485,0.8896606490015984,0.02228853409178555,18.68307089805603,-0.4828289747238159,0.2568359375,0.5928446277976036,0.9547119140625,0.5928446277976036,0.5722380205988884,0.6881520301103592,0.0,0.0022976894106250256,2.0,1.0,1.0,0.0,159988.083984375,153190.53515625,2.0,2.0,1.9939886778593063,1.9939886778593063,0.8929153382778168,0.8921154662966728,0.999103210296965,-0.04957893135242632,-0.04826069564124837
K16_H1_dh4,16,128,isotropic,10.0,0.02,1.0,32,1,4,4.0,linear,random_orthogonal,scalar_opt,0.5,1.0,False,0,1024,8,0.7707739174365997,0.7740000188350677,0.8099111616611481,0.7861824706196785,0.022617398761212826,16.48576271533966,-0.47589724138379097,0.2705078125,0.5926507040858269,0.9521484375,0.5926507040858269,0.571881540119648,0.6873023957014084,0.0,0.002296515798661858,4.0,1.0000001192092896,1.2075570055003482e-07,0.0,137307.5390625,125415.708984375,4.0,4.0,3.980353683233261,3.980353683233261,0.7762126624584198,0.7707739174365997,0.9929894746009096,-0.11307299005318928,-0.11125902874867602
K16_H1_dh8,16,128,isotropic,10.0,0.02,1.0,32,1,8,8.0,linear,random_orthogonal,scalar_opt,0.5,1.0,False,0,1024,8,0.5330559387803078,0.5361587181687355,0.5680530518293381,0.544254295527935,0.022754090139642358,11.268119812011719,-0.4732068218290806,0.3294677734375,0.5927085652947426,0.9542236328125,0.5927085652947426,0.5712770521640778,0.6974717453122139,0.0,0.00229735832544975,8.0,1.000000238418579,1.1356920737171095e-07,0.0,91104.6923828125,75911.2861328125,8.0,8.0,7.9321576952934265,7.9321576952934265,0.5580856576561928,0.5330559387803078,0.9551510215690262,-0.27322721380857057,-0.2707066278050406
K16_H1_dh16,16,128,isotropic,10.0,0.02,1.0,32,1,16,16.0,linear,random_orthogonal,scalar_opt,0.5,1.0,False,0,1024,8,1.1621515144807307e-13,0.002860097971279174,0.022823036648333073,1.342005831819499e-13,0.02282303594984114,-0.4716106094419956,-0.471610601991415,0.9495849609375,0.5927271395921707,0.9495849609375,0.5927271395921707,0.5718460604548454,0.6937674582004547,0.0,0.002298243489349261,16.0,1.0000004768371582,0.9999993443489075,1.0,1.5737684710970257e-08,7.829296988504097e-09,16.0,16.0,15.721834540367126,15.721834540367126,0.11800932977348566,1.1621515144807307e-13,9.859969182779075e-13,-12.934737247493631,-2.5436190900677453
K16_H2_dh1,16,128,isotropic,10.0,0.02,1.0,32,2,1,2.0,linear,random_orthogonal,scalar_opt,0.5,1.0,False,0,1024,8,0.883194662630558,0.8862093985080719,0.9172563254833221,0.8911798000335693,0.02300939802080393,18.806819677352905,-0.467284731566906,0.2574462890625,0.5926118344068527,0.9476318359375,0.5926118418574333,0.5724862888455391,0.6908371597528458,0.0,0.002299491025041789,2.0,1.0,1.0,0.0,157835.78125,151090.103515625,1.0,1.0,1.0,1.0,0.8841320350766182,0.883194662630558,0.9989395543704007,-0.05394356415869495,-0.05246364846086167
K16_H2_dh2,16,128,isotropic,10.0,0.02,1.0,32,2,2,4.0,linear,random_orthogonal,scalar_opt,0.5,1.0,False,0,1024,8,0.7692205533385277,0.7721880823373795,0.784477137029171,0.7578598260879517,0.023037697887048125,15.967891931533813,-0.4669257029891014,0.2757568359375,0.5926656201481819,0.9508056640625,0.5926656126976013,0.572218731045723,0.6815916076302528,0.0,0.002296967606525868,4.0,1.000000238418579,2.424241074550082e-07,0.0,135787.380859375,124235.9345703125,2.0,2.0,1.9961170852184296,1.9961170852184296,0.7743437215685844,0.7692205533385277,0.9933833701052683,-0.11394912006245334,-0.11227690539916674
K16_H2_dh4,16,128,isotropic,10.0,0.02,1.0,32,2,4,8.0,linear,random_orthogonal,scalar_opt,0.5,1.0,False,0,1024,8,0.5336626619100571,0.5368706732988358,0.5621738061308861,0.5363884642720222,0.022595017217099667,11.122674226760864,-0.4762185961008072,0.33544921875,0.5930323600769043,0.9525146484375,0.5930323675274849,0.570952482521534,0.6874440833926201,0.0,0.0022979826608207077,8.0,1.0000003576278687,1.4237882339784846e-07,0.0,91473.5,76325.62109375,4.0,4.0,3.981549933552742,3.981549933552742,0.5591247975826263,0.5336626619100571,0.9544537968199858,-0.27273318185761963,-0.27013031883867505
K16_H2_dh8,16,128,isotropic,10.0,0.02,1.0,32,2,8,16.0,linear,random_orthogonal,scalar_opt,0.5,1.0,False,0,1024,8,1.0652318531922077e-13,0.002876420854590833,0.022219651145860553,1.0731240742079201e-13,0.022219650447368622,-0.4852350950241089,-0.4852351024746895,0.9505615234375,0.5924582257866859,0.9505615234375,0.5924582257866859,0.5727356821298599,0.6913211047649384,0.0,0.0022957307810429484,16.0,1.0000004768371582,0.999999463558197,1.0,1.530963522622386e-08,7.736409513015019e-09,8.0,8.0,7.9289937019348145,7.9289937019348145,0.11869333311915398,1.0652318531922077e-13,8.974826697847301e-13,-12.97255585550875,-2.5411475711908365
K16_H2_dh16,16,128,isotropic,10.0,0.02,1.0,32,2,16,32.0,linear,random_orthogonal,scalar_opt,0.5,1.0,False,0,1024,8,7.61971471245604e+20,7.61971471245604e+20,7.302906313860291e+20,7.302906313860291e+20,0.023326229071244597,1.573365532762902e+22,-0.45978062972426414,0.0,0.003551483154296875,0.9453125,0.5924241617321968,0.5721560791134834,0.6859020590782166,0.0,0.0022969757847022265,16.0,2.0000009536743164,1.999998688697815,1.0,180984.794921875,7.764255909672186e+25,16.0,16.0,15.726383090019226,15.726383090019226,1.1467283368110657,7.61971471245604e+20,6.632740978709164e+20,20.881938711349378,20.881938711349378
