case,family,beta,n_tokens,mode,eigenvalue,n_plus,n_minus,geometry,max_linear_rate,linearly_stable,linearly_neutral
pd_simple,positive_definite,0.03,2,0,3.0,0,2,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.03,2,0,3.0,1,1,sign_split,1.7307266457585198,False,False
pd_simple,positive_definite,0.03,2,0,3.0,2,0,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.03,2,1,2.0,0,2,homogeneous,1.0,False,False
pd_simple,positive_definite,0.03,2,1,2.0,1,1,sign_split,2.8801437929417126,False,False
pd_simple,positive_definite,0.03,2,1,2.0,2,0,homogeneous,1.0,False,False
pd_simple,positive_definite,0.03,2,2,1.0,0,2,homogeneous,2.0,False,False
pd_simple,positive_definite,0.03,2,2,1.0,1,1,sign_split,2.9700089967611802,False,False
pd_simple,positive_definite,0.03,2,2,1.0,2,0,homogeneous,2.0,False,False
pd_simple,positive_definite,0.03,2,3,0.4,0,2,homogeneous,2.6,False,False
pd_simple,positive_definite,0.03,2,3,0.4,1,1,sign_split,2.9952002303867293,False,False
pd_simple,positive_definite,0.03,2,3,0.4,2,0,homogeneous,2.6,False,False
pd_simple,positive_definite,0.03,3,0,3.0,0,3,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.03,3,0,3.0,1,2,sign_split,1.924370949139654,False,False
pd_simple,positive_definite,0.03,3,0,3.0,2,1,sign_split,1.924370949139654,False,False
pd_simple,positive_definite,0.03,3,0,3.0,3,0,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.03,3,1,2.0,0,3,homogeneous,1.0,False,False
pd_simple,positive_definite,0.03,3,1,2.0,1,2,sign_split,2.813420532102081,False,False
pd_simple,positive_definite,0.03,3,1,2.0,2,1,sign_split,2.8134205321020804,False,False
pd_simple,positive_definite,0.03,3,1,2.0,3,0,homogeneous,1.0,False,False
pd_simple,positive_definite,0.03,3,2,1.0,0,3,homogeneous,2.0,False,False
pd_simple,positive_definite,0.03,3,2,1.0,1,2,sign_split,2.8952700182194318,False,False
pd_simple,positive_definite,0.03,3,2,1.0,2,1,sign_split,2.895270018219432,False,False
pd_simple,positive_definite,0.03,3,2,1.0,3,0,homogeneous,2.0,False,False
pd_simple,positive_definite,0.03,3,3,0.4,0,3,homogeneous,2.6,False,False
pd_simple,positive_definite,0.03,3,3,0.4,1,2,sign_split,2.9562853252157355,False,False
pd_simple,positive_definite,0.03,3,3,0.4,2,1,sign_split,2.956285325215736,False,False
pd_simple,positive_definite,0.03,3,3,0.4,3,0,homogeneous,2.6,False,False
pd_simple,positive_definite,0.03,4,0,3.0,0,4,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.03,4,0,3.0,1,3,sign_split,2.1341807849653147,False,False
