case,family,beta,n_tokens,geometry,count,fraction
mixed_equal_extremes,indefinite,0.03,2,consensus,64,1.0
mixed_equal_extremes,indefinite,0.03,3,consensus,64,1.0
mixed_equal_extremes,indefinite,0.03,4,consensus,64,1.0
mixed_equal_extremes,indefinite,0.03,5,consensus,64,1.0
mixed_equal_extremes,indefinite,0.03,8,consensus,64,1.0
mixed_equal_extremes,indefinite,0.03,20,consensus,64,1.0
mixed_equal_extremes,indefinite,0.1,2,consensus,64,1.0
mixed_equal_extremes,indefinite,0.1,3,consensus,64,1.0
mixed_equal_extremes,indefinite,0.1,4,consensus,64,1.0
mixed_equal_extremes,indefinite,0.1,5,consensus,64,1.0
mixed_equal_extremes,indefinite,0.1,8,consensus,64,1.0
mixed_equal_extremes,indefinite,0.1,20,consensus,64,1.0
mixed_equal_extremes,indefinite,0.3,2,bipolar,1,0.015625
mixed_equal_extremes,indefinite,0.3,2,consensus,63,0.984375
mixed_equal_extremes,indefinite,0.3,3,bipolar,6,0.09375
mixed_equal_extremes,indefinite,0.3,3,consensus,58,0.90625
mixed_equal_extremes,indefinite,0.3,4,bipolar,1,0.015625
mixed_equal_extremes,indefinite,0.3,4,consensus,63,0.984375
mixed_equal_extremes,indefinite,0.3,5,bipolar,3,0.046875
mixed_equal_extremes,indefinite,0.3,5,consensus,61,0.953125
mixed_equal_extremes,indefinite,0.3,8,bipolar,1,0.015625
mixed_equal_extremes,indefinite,0.3,8,consensus,63,0.984375
mixed_equal_extremes,indefinite,0.3,20,consensus,64,1.0
mixed_equal_extremes,indefinite,0.7,2,bipolar,11,0.171875
mixed_equal_extremes,indefinite,0.7,2,consensus,53,0.828125
mixed_equal_extremes,indefinite,0.7,3,bipolar,8,0.125
mixed_equal_extremes,indefinite,0.7,3,consensus,56,0.875
mixed_equal_extremes,indefinite,0.7,4,bipolar,18,0.28125
mixed_equal_extremes,indefinite,0.7,4,consensus,46,0.71875
mixed_equal_extremes,indefinite,0.7,5,bipolar,14,0.21875
mixed_equal_extremes,indefinite,0.7,5,consensus,50,0.78125
mixed_equal_extremes,indefinite,0.7,8,bipolar,17,0.265625
mixed_equal_extremes,indefinite,0.7,8,consensus,47,0.734375
mixed_equal_extremes,indefinite,0.7,20,bipolar,11,0.171875
