case,family,beta,n_tokens,trial,seed,geometry,selected_eigenvalue,selected_group_mass,speed,energy_gain,min_correlation,max_correlation,mean_abs_correlation,mean_vector_norm,extreme_eigenspace_mass,mass_0,mass_1,mass_2,mass_3
pd_simple,positive_definite,0.03,3,8,260427094,consensus,3.0,1.0,1.1844894006088602e-20,11.818378868227455,1.0,1.0,1.0,1.0,1.0,1.0,1.4030151401547373e-40,1.8366604765711306e-87,2.745412362147802e-110
pd_simple,positive_definite,0.03,3,9,260427094,consensus,3.0,1.0,2.3599617774303815e-22,12.0795482549793,1.0,1.0,1.0,1.0,1.0,1.0,5.569419590932366e-44,1.6282757096428742e-87,3.520864008795629e-113
pd_simple,positive_definite,0.03,3,10,260427094,consensus,3.0,1.0,5.657008986070239e-22,9.816817720848036,1.0,1.0,1.0,1.0,1.0,1.0,3.200175066847944e-43,4.058613061779448e-87,2.1827336200712536e-113
pd_simple,positive_definite,0.03,3,11,260427094,consensus,3.0,1.0,1.4647130209590176e-21,13.14862325794374,1.0,1.0,1.0,1.0,1.0,1.0,2.145384233766891e-42,1.4874723116173684e-86,4.750748769764412e-111
pd_simple,positive_definite,0.03,3,12,260427094,consensus,3.0,1.0,5.095979923689556e-22,11.972932003047418,1.0,1.0,1.0,1.0,1.0,1.0,2.5969011382647008e-43,3.9204509650642227e-90,6.226754985942155e-114
pd_simple,positive_definite,0.03,3,13,260427094,consensus,3.0,1.0,1.990453545689455e-22,13.129694280218274,1.0,1.0,1.0,1.0,1.0,1.0,3.9619053175477246e-44,3.100164096142076e-88,3.3183853809705915e-113
pd_simple,positive_definite,0.03,3,14,260427094,consensus,3.0,1.0,1.8440432864411926e-20,10.614321349798814,1.0,1.0,1.0,1.0,1.0,1.0,3.400495642268836e-40,3.2831574012532564e-84,2.8861521564121085e-110
pd_simple,positive_definite,0.03,3,15,260427094,consensus,3.0,1.0,2.561622012308557e-22,12.513222273414613,1.0,1.0,1.0,1.0,1.0,1.0,6.561907333943743e-44,1.2855980134402614e-87,1.4922906312015724e-113
pd_simple,positive_definite,0.03,3,16,260427094,consensus,3.0,1.0,4.078922476640173e-22,12.255139458801523,1.0,1.0,1.0,1.0,1.0,1.0,1.663760857044041e-43,1.3156994384147514e-86,4.914261417773021e-117
pd_simple,positive_definite,0.03,3,17,260427094,consensus,3.0,1.0,4.6826576958780157e-23,12.764628426231013,1.0,1.0,1.0,1.0,1.0,1.0,2.1927283096765616e-45,3.0252247639230093e-87,1.2307940467563546e-114
pd_simple,positive_definite,0.03,3,18,260427094,consensus,3.0,1.0,1.621705985117551e-21,11.721527695367314,1.0,1.0,1.0,1.0,1.0,1.0,2.6299303021660857e-42,6.049165781737603e-86,2.786148949806514e-112
pd_simple,positive_definite,0.03,3,19,260427094,consensus,3.0,1.0,1.7079936755483564e-20,13.039791542684355,1.0,1.0,1.0,1.0,1.0,1.0,2.917242395713183e-40,8.589071615506067e-84,3.6457097819720044e-111
pd_simple,positive_definite,0.03,3,20,260427094,consensus,3.0,1.0,1.9837669534066378e-22,11.000191569222721,1.0,1.0,1.0,1.0,1.0,1.0,3.935331325428254e-44,6.306910860633762e-88,1.4367998007518337e-113
pd_simple,positive_definite,0.03,3,21,260427094,consensus,3.0,1.0,7.403496449875616e-22,11.84172158738616,1.0,1.0,1.0,1.0,1.0,1.0,5.4811759683320824e-43,7.105399018393448e-85,2.410052810922175e-111
pd_simple,positive_definite,0.03,3,22,260427094,consensus,3.0,1.0,1.5324310852653925e-22,13.190358558449276,1.0,1.0,1.0,1.0,1.0,1.0,2.348345031087667e-44,3.8880019512142784e-88,3.7136012882837675e-113
pd_simple,positive_definite,0.03,3,23,260427094,consensus,3.0,1.0,2.628526257146042e-24,11.762602950359508,1.0,1.0,1.0,1.0,1.0,1.0,6.909150284506185e-48,1.2593331637574195e-88,7.518535710568887e-113
pd_simple,positive_definite,0.03,3,24,260427094,consensus,3.0,1.0,2.2049188461502522e-23,12.033098031455495,1.0,1.0,1.0,1.0,1.0,1.0,4.8616671181085556e-46,1.8637127620293847e-87,2.3415619619331533e-113
pd_simple,positive_definite,0.03,3,25,260427094,consensus,3.0,1.0,8.401208293844454e-24,11.739269378294466,1.0,1.0,1.0,1.0,1.0,1.0,7.058030079656084e-47,4.3281407724851577e-85,2.5179908377420396e-112
pd_simple,positive_definite,0.03,3,26,260427094,consensus,3.0,1.0,1.8012430967800858e-22,10.714273250738188,1.0,1.0,1.0,1.0,1.0,1.0,3.244476693697914e-44,3.2138282595454388e-87,5.039471156197292e-114
pd_simple,positive_definite,0.03,3,27,260427094,consensus,3.0,1.0,2.513316880584242e-22,11.34632658321118,1.0,1.0,1.0,1.0,1.0,1.0,6.316761742229704e-44,2.2843069873837934e-87,1.0689991991546945e-113
pd_simple,positive_definite,0.03,3,28,260427094,consensus,3.0,1.0,1.190746997283196e-22,8.440318464925014,1.0,1.0,1.0,1.0,1.0,1.0,1.4178784115389482e-44,4.473242925106362e-88,2.229905027477617e-114
pd_simple,positive_definite,0.03,3,29,260427094,consensus,3.0,1.0,6.958193136259229e-22,12.077107577422566,1.0,1.0,1.0,1.0,1.0,1.0,4.841645172148502e-43,3.909795285293809e-87,4.8786086610939764e-113
pd_simple,positive_definite,0.03,3,30,260427094,consensus,3.0,1.0,1.2363893789787655e-22,13.216245422507853,1.0,1.0,1.0,1.0,1.0,1.0,1.5286586964514975e-44,2.6364262127447005e-87,4.2386081034732265e-112
pd_simple,positive_definite,0.03,3,31,260427094,consensus,3.0,1.0,2.563285964092887e-22,7.945997847133441,1.0,1.0,1.0,1.0,1.0,1.0,6.570434933715601e-44,2.8868154788911385e-88,1.0676851478562808e-114
pd_simple,positive_definite,0.03,3,32,260427094,consensus,3.0,1.0,2.7867604192296844e-24,10.781195814154614,1.0,1.0,1.0,1.0,1.0,1.0,7.766033634185198e-48,8.386187260178205e-88,2.6373717904267213e-113
pd_simple,positive_definite,0.03,3,33,260427094,consensus,3.0,1.0,2.2024049992473967e-22,13.437416257526536,1.0,1.0,1.0,1.0,1.0,1.0,4.850587780709927e-44,9.980249108085388e-87,2.327055160479009e-112
pd_simple,positive_definite,0.03,3,34,260427094,consensus,3.0,1.0,1.5585830595503847e-22,11.357291883116147,1.0,1.0,1.0,1.0,1.0,1.0,2.429181153517438e-44,1.3465071544287038e-87,1.1995336788090493e-115
pd_simple,positive_definite,0.03,3,35,260427094,consensus,3.0,1.0,8.355421505714179e-22,11.875505993091167,1.0,1.0,1.0,1.0,1.0,1.0,6.981306853815099e-43,1.44806696296938e-86,6.7759449991740905e-112
pd_simple,positive_definite,0.03,3,36,260427094,consensus,3.0,1.0,2.2956773792267914e-22,8.757632401244535,1.0,1.0,1.0,1.0,1.0,1.0,5.270134629493589e-44,2.628003422799616e-87,8.763437954170815e-114
pd_simple,positive_definite,0.03,3,37,260427094,consensus,3.0,1.0,1.871894738487742e-22,10.890634316142268,1.0,1.0,1.0,1.0,1.0,1.0,3.5039899119780933e-44,1.7593106712536592e-87,2.6462630154270702e-114
pd_simple,positive_definite,0.03,3,38,260427094,consensus,3.0,1.0,2.3215350799676387e-22,10.054861079398506,1.0,1.0,1.0,1.0,1.0,1.0,5.38952512752035e-44,4.636068799536329e-87,1.0598690982386445e-113
pd_simple,positive_definite,0.03,3,39,260427094,consensus,3.0,1.0,8.728976249832538e-22,13.100517467043403,1.0,1.0,1.0,1.0,1.0,1.0,7.619502637014054e-43,2.1793812373320615e-87,1.4083139523876892e-111
pd_simple,positive_definite,0.03,3,40,260427094,consensus,3.0,1.0,1.4265009609936212e-22,8.74061056416133,1.0,1.0,1.0,1.0,1.0,1.0,2.0349049917157225e-44,4.521334449599191e-88,1.0956014011172182e-114
pd_simple,positive_definite,0.03,3,41,260427094,consensus,3.0,1.0,8.295187811875626e-22,11.41559333739744,1.0,1.0,1.0,1.0,1.0,1.0,6.881014083428992e-43,7.317935870664349e-88,5.139166801947811e-115
pd_simple,positive_definite,0.03,3,42,260427094,consensus,3.0,1.0,2.712774819195072e-23,12.14465080747513,1.0,1.0,1.0,1.0,1.0,1.0,7.359147219658856e-46,4.2946926265174594e-87,8.622513010494995e-114
pd_simple,positive_definite,0.03,3,43,260427094,consensus,3.0,1.0,4.211079403832143e-23,12.843955002166126,1.0,1.0,1.0,1.0,1.0,1.0,1.773318974537927e-45,5.548049499587991e-87,2.669611114349811e-113
pd_simple,positive_definite,0.03,3,44,260427094,consensus,3.0,1.0,2.029675666433996e-21,13.425736894482839,1.0,1.0,1.0,1.0,1.0,1.0,4.119583310914285e-42,3.2736092308273676e-88,3.2409674706371144e-111
pd_simple,positive_definite,0.03,3,45,260427094,consensus,3.0,1.0,3.1250806220606177e-21,12.561378678386092,1.0,1.0,1.0,1.0,1.0,1.0,9.766128894378779e-42,3.5959802987695963e-85,7.52971685407703e-112
pd_simple,positive_definite,0.03,3,46,260427094,consensus,3.0,1.0,3.8085811251885407e-22,10.35401944484667,1.0,1.0,1.0,1.0,1.0,1.0,1.4505290187142408e-43,1.0624501607049592e-87,1.122485311348827e-115
pd_simple,positive_definite,0.03,3,47,260427094,consensus,3.0,1.0,2.865029506001342e-22,11.928192332958048,1.0,1.0,1.0,1.0,1.0,1.0,8.208394070258295e-44,3.695045005733491e-86,3.542203686202899e-114
pd_simple,positive_definite,0.03,3,48,260427094,consensus,3.0,1.0,2.33678911964293e-22,13.591768091470243,1.0,1.0,1.0,1.0,1.0,1.0,5.46058338968158e-44,3.0289530360470876e-86,5.328880433567978e-113
pd_simple,positive_definite,0.03,3,49,260427094,consensus,3.0,1.0,1.2774359931997138e-21,12.580496607095853,1.0,1.0,1.0,1.0,1.0,1.0,1.6318427167221386e-42,1.4528799880375326e-85,3.816261413582116e-111
pd_simple,positive_definite,0.03,3,50,260427094,consensus,3.0,1.0,4.903220738768306e-21,9.358186309682907,1.0,1.0,1.0,1.0,1.0,1.0,2.4041573613087607e-41,3.752495573930103e-86,3.8271853148500287e-112
pd_simple,positive_definite,0.03,3,51,260427094,consensus,3.0,1.0,2.499418318210318e-21,13.432450591389482,1.0,1.0,1.0,1.0,1.0,1.0,6.247091929405292e-42,1.0120479285669892e-86,6.112316886477105e-111
pd_simple,positive_definite,0.03,3,52,260427094,consensus,3.0,1.0,4.818770377906817e-22,12.260749824480058,1.0,1.0,1.0,1.0,1.0,1.0,2.3220547954992207e-43,2.2888729162328413e-87,1.0436511321935058e-112
pd_simple,positive_definite,0.03,3,53,260427094,consensus,3.0,1.0,3.98566718022866e-24,12.621072825343532,1.0,1.0,1.0,1.0,1.0,1.0,1.5885542871551877e-47,9.111066640664781e-88,5.787694512010896e-113
pd_simple,positive_definite,0.03,3,54,260427094,consensus,3.0,1.0,5.264241331201481e-22,10.674871870798256,1.0,1.0,1.0,1.0,1.0,1.0,2.7712236793129933e-43,1.0287938388116357e-86,2.211962628861623e-112
pd_simple,positive_definite,0.03,3,55,260427094,consensus,3.0,1.0,5.677457701426405e-23,9.596012364254989,1.0,1.0,1.0,1.0,1.0,1.0,3.2233525951486005e-45,6.149639666829306e-87,1.953500773749046e-114
