L,median_op_norm,scale_L32_sqrt_m_eps,ratio
8,11.242865619377863,5.724334022399462,1.9640477958456388
12,20.493665231489846,10.51627310409919,1.948757418966375
16,31.86400001160414,16.1908616200621,1.9680237382871242
24,58.21839764807948,29.74451209887296,1.9572819838011535
32,89.9140903710045,45.79467217919569,1.9634181465295446
48,164.7054386251908,84.13018483279352,1.9577448801822845
64,252.6299121296023,129.5268929604968,1.950405096234722
96,466.58497614115674,237.95609679098368,1.9608027801489638
128,716.0566207651514,366.35737743356555,1.9545303708125805
192,1316.7598816525972,673.0414786623481,1.9564319932697494
256,2025.7038242605631,1036.2151436839745,1.9549066008230078
